family,quantity,order,slope_estimate,max_observed,envelope_power,max_envelope_ratio,notes
single_label_cycle_profile,ordinary_coefficient,1,0,0,2,0,fixed-order Bell-partition envelope
single_label_cycle_profile,derivative_at_zero,1,0,0,2,0,same envelope up to the fixed factor order!
single_label_cycle_profile,log_coefficient,1,0,0,2,0,power-sum envelope from support size and max index
single_label_cycle_profile,ordinary_coefficient,2,0,0,4,0,fixed-order Bell-partition envelope
single_label_cycle_profile,derivative_at_zero,2,0,0,4,0,same envelope up to the fixed factor order!
single_label_cycle_profile,log_coefficient,2,0,0,3,0,power-sum envelope from support size and max index
single_label_cycle_profile,ordinary_coefficient,4,0,0,8,0,fixed-order Bell-partition envelope
single_label_cycle_profile,derivative_at_zero,4,0,0,8,0,same envelope up to the fixed factor order!
single_label_cycle_profile,log_coefficient,4,0,0,5,0,power-sum envelope from support size and max index
single_label_cycle_profile,ordinary_coefficient,8,0,0,16,0,fixed-order Bell-partition envelope
single_label_cycle_profile,derivative_at_zero,8,0,0,16,0,same envelope up to the fixed factor order!
single_label_path_profile,ordinary_coefficient,1,1,40,2,1,fixed-order Bell-partition envelope
single_label_path_profile,derivative_at_zero,1,1,40,2,1,same envelope up to the fixed factor order!
single_label_path_profile,log_coefficient,1,1,40,2,1,power-sum envelope from support size and max index
single_label_path_profile,ordinary_coefficient,2,0,0,4,0,fixed-order Bell-partition envelope
single_label_path_profile,derivative_at_zero,2,0,0,4,0,same envelope up to the fixed factor order!
single_label_path_profile,log_coefficient,2,2,800,3,0.5,power-sum envelope from support size and max index
single_label_path_profile,ordinary_coefficient,4,0,0,8,0,fixed-order Bell-partition envelope
single_label_path_profile,derivative_at_zero,4,0,0,8,0,same envelope up to the fixed factor order!
single_label_path_profile,log_coefficient,4,4,640000,5,0.25,power-sum envelope from support size and max index
single_label_path_profile,ordinary_coefficient,8,0,0,16,0,fixed-order Bell-partition envelope
single_label_path_profile,derivative_at_zero,8,0,0,16,0,same envelope up to the fixed factor order!
rank2_balanced_profile,ordinary_coefficient,1,2.28748,1521,2,0.950625,fixed-order Bell-partition envelope
rank2_balanced_profile,derivative_at_zero,1,2.28748,1521,2,0.950625,same envelope up to the fixed factor order!
rank2_balanced_profile,log_coefficient,1,2.28748,1521,2,0.950625,power-sum envelope from support size and max index
rank2_balanced_profile,ordinary_coefficient,2,4.80985,1096641,4,0.428375390625,fixed-order Bell-partition envelope
rank2_balanced_profile,derivative_at_zero,2,4.80985,2193282,4,0.85675078125,same envelope up to the fixed factor order!
rank2_balanced_profile,log_coefficient,2,3.35054,60079.5,3,0.9387421875,power-sum envelope from support size and max index
rank2_balanced_profile,ordinary_coefficient,4,9.48482,159366366081,8,0.0243173776369,fixed-order Bell-partition envelope
