L,variant,weight_scheme,n_power,num_profiles,pair_classes,weight_l1,coeff_order_1,coeff_order_2,coeff_order_3,coeff_order_4,notes
1,all_conflict_free,weight_exp_decay_theta_0_5,0,2,2,2.94303552937,0,0,0,0,record-level M11 pair data grouped by d=C-V before coefficient aggregation
1,all_conflict_free,weight_exp_decay_theta_0_5,1,1,2,2.94303552937,0,0,0,0,record-level M11 pair data grouped by d=C-V before coefficient aggregation
1,all_conflict_free,weight_length_inverse,0,2,2,8,0,0,0,0,record-level M11 pair data grouped by d=C-V before coefficient aggregation
1,all_conflict_free,weight_length_inverse,1,1,2,8,0,0,0,0,record-level M11 pair data grouped by d=C-V before coefficient aggregation
1,all_conflict_free,weight_unweighted,0,2,2,8,0,0,0,0,record-level M11 pair data grouped by d=C-V before coefficient aggregation
1,all_conflict_free,weight_unweighted,1,1,2,8,0,0,0,0,record-level M11 pair data grouped by d=C-V before coefficient aggregation
1,diagonal_cyclic_only,weight_exp_decay_theta_0_5,0,2,2,2.94303552937,0,0,0,0,record-level M11 pair data grouped by d=C-V before coefficient aggregation
1,diagonal_cyclic_only,weight_length_inverse,0,2,2,8,0,0,0,0,record-level M11 pair data grouped by d=C-V before coefficient aggregation
1,diagonal_cyclic_only,weight_unweighted,0,2,2,8,0,0,0,0,record-level M11 pair data grouped by d=C-V before coefficient aggregation
1,rank_two_noncyclic_remainder,weight_exp_decay_theta_0_5,1,1,2,2.94303552937,0,0,0,0,record-level M11 pair data grouped by d=C-V before coefficient aggregation
1,rank_two_noncyclic_remainder,weight_length_inverse,1,1,2,8,0,0,0,0,record-level M11 pair data grouped by d=C-V before coefficient aggregation
1,rank_two_noncyclic_remainder,weight_unweighted,1,1,2,8,0,0,0,0,record-level M11 pair data grouped by d=C-V before coefficient aggregation
1,signed_diagonal_subtracted_proxy,weight_exp_decay_theta_0_5,1,1,2,2.94303552937,0,0,0,0,record-level M11 pair data grouped by d=C-V before coefficient aggregation
1,signed_diagonal_subtracted_proxy,weight_length_inverse,1,1,2,8,0,0,0,0,record-level M11 pair data grouped by d=C-V before coefficient aggregation
1,signed_diagonal_subtracted_proxy,weight_unweighted,1,1,2,8,0,0,0,0,record-level M11 pair data grouped by d=C-V before coefficient aggregation
