L,variant,num_skeletons,total_multiplicity,weight_l1,coefficient_order,aggregate_coefficient,m7_bound_proxy,aggregate_bound_proxy,notes
1,all_conflict_free,3,16,16,1,0,1,16,positive multiplicity aggregate
1,all_conflict_free,3,16,16,2,0,1,16,positive multiplicity aggregate
1,all_conflict_free,3,16,16,3,0,1,16,positive multiplicity aggregate
1,all_conflict_free,3,16,16,4,0,1,16,positive multiplicity aggregate
1,cyclic_rank_one,2,8,8,1,0,1,8,positive multiplicity aggregate
1,cyclic_rank_one,2,8,8,2,0,1,8,positive multiplicity aggregate
1,cyclic_rank_one,2,8,8,3,0,1,8,positive multiplicity aggregate
1,cyclic_rank_one,2,8,8,4,0,1,8,positive multiplicity aggregate
1,rank_two_noncyclic,1,8,8,1,0,1,8,positive multiplicity aggregate
1,rank_two_noncyclic,1,8,8,2,0,1,8,positive multiplicity aggregate
1,rank_two_noncyclic,1,8,8,3,0,1,8,positive multiplicity aggregate
1,rank_two_noncyclic,1,8,8,4,0,1,8,positive multiplicity aggregate
1,diagonal_subtracted_proxy,3,16,16,1,0,1,16,toy signed subtraction
1,diagonal_subtracted_proxy,3,16,16,2,0,1,16,toy signed subtraction
1,diagonal_subtracted_proxy,3,16,16,3,0,1,16,toy signed subtraction
1,diagonal_subtracted_proxy,3,16,16,4,0,1,16,toy signed subtraction
2,all_conflict_free,5,40,40,1,-24,4,160,positive multiplicity aggregate
2,all_conflict_free,5,40,40,2,-24,16,640,positive multiplicity aggregate
2,all_conflict_free,5,40,40,3,-24,64,2560,positive multiplicity aggregate
2,all_conflict_free,5,40,40,4,-24,256,10240,positive multiplicity aggregate
2,cyclic_rank_one,0,0,0,1,0,4,0,positive multiplicity aggregate
2,cyclic_rank_one,0,0,0,2,0,16,0,positive multiplicity aggregate
2,cyclic_rank_one,0,0,0,3,0,64,0,positive multiplicity aggregate
2,cyclic_rank_one,0,0,0,4,0,256,0,positive multiplicity aggregate
2,rank_two_noncyclic,5,40,40,1,-24,4,160,positive multiplicity aggregate
2,rank_two_noncyclic,5,40,40,2,-24,16,640,positive multiplicity aggregate
2,rank_two_noncyclic,5,40,40,3,-24,64,2560,positive multiplicity aggregate
2,rank_two_noncyclic,5,40,40,4,-24,256,10240,positive multiplicity aggregate
2,diagonal_subtracted_proxy,5,40,40,1,-24,4,160,toy signed subtraction
2,diagonal_subtracted_proxy,5,40,40,2,-24,16,640,toy signed subtraction
2,diagonal_subtracted_proxy,5,40,40,3,-24,64,2560,toy signed subtraction
2,diagonal_subtracted_proxy,5,40,40,4,-24,256,10240,toy signed subtraction
3,all_conflict_free,40,320,320,1,-760,9,2880,positive multiplicity aggregate
3,all_conflict_free,40,320,320,2,-616,81,25920,positive multiplicity aggregate
3,all_conflict_free,40,320,320,3,-328,729,233280,positive multiplicity aggregate
3,all_conflict_free,40,320,320,4,248,6561,2099520,positive multiplicity aggregate
3,cyclic_rank_one,0,0,0,1,0,9,0,positive multiplicity aggregate
3,cyclic_rank_one,0,0,0,2,0,81,0,positive multiplicity aggregate
3,cyclic_rank_one,0,0,0,3,0,729,0,positive multiplicity aggregate
3,cyclic_rank_one,0,0,0,4,0,6561,0,positive multiplicity aggregate
3,rank_two_noncyclic,40,320,320,1,-760,9,2880,positive multiplicity aggregate
3,rank_two_noncyclic,40,320,320,2,-616,81,25920,positive multiplicity aggregate
3,rank_two_noncyclic,40,320,320,3,-328,729,233280,positive multiplicity aggregate
3,rank_two_noncyclic,40,320,320,4,248,6561,2099520,positive multiplicity aggregate
3,diagonal_subtracted_proxy,40,320,320,1,-760,9,2880,toy signed subtraction
3,diagonal_subtracted_proxy,40,320,320,2,-616,81,25920,toy signed subtraction
3,diagonal_subtracted_proxy,40,320,320,3,-328,729,233280,toy signed subtraction
3,diagonal_subtracted_proxy,40,320,320,4,248,6561,2099520,toy signed subtraction
4,all_conflict_free,332,2656,2656,1,-16392,16,42496,positive multiplicity aggregate
4,all_conflict_free,332,2656,2656,2,5080,256,679936,positive multiplicity aggregate
4,all_conflict_free,332,2656,2656,3,44424,4096,10878976,positive multiplicity aggregate
4,all_conflict_free,332,2656,2656,4,112312,65536,174063616,positive multiplicity aggregate
4,cyclic_rank_one,0,0,0,1,0,16,0,positive multiplicity aggregate
4,cyclic_rank_one,0,0,0,2,0,256,0,positive multiplicity aggregate
4,cyclic_rank_one,0,0,0,3,0,4096,0,positive multiplicity aggregate
4,cyclic_rank_one,0,0,0,4,0,65536,0,positive multiplicity aggregate
4,rank_two_noncyclic,332,2656,2656,1,-16392,16,42496,positive multiplicity aggregate
4,rank_two_noncyclic,332,2656,2656,2,5080,256,679936,positive multiplicity aggregate
4,rank_two_noncyclic,332,2656,2656,3,44424,4096,10878976,positive multiplicity aggregate
4,rank_two_noncyclic,332,2656,2656,4,112312,65536,174063616,positive multiplicity aggregate
4,diagonal_subtracted_proxy,332,2656,2656,1,-16392,16,42496,toy signed subtraction
4,diagonal_subtracted_proxy,332,2656,2656,2,5080,256,679936,toy signed subtraction
4,diagonal_subtracted_proxy,332,2656,2656,3,44424,4096,10878976,toy signed subtraction
4,diagonal_subtracted_proxy,332,2656,2656,4,112312,65536,174063616,toy signed subtraction
