L,canonical_key,multiplicity,V,count_a,count_b,conflict,rank_proxy,cyclic_proxy,profile_expression,notes
1,0a0,4,1,1,0,no,rank_one,yes,(n-0)/(n-0),folded two-loop skeleton from ordered reduced-word pairs
1,0a0;0b0,8,1,1,1,no,rank_two_noncyclic,no,(n-0)/(n-0)*(n-0),folded two-loop skeleton from ordered reduced-word pairs
1,0b0,4,1,0,1,no,rank_one,yes,(n-0)/(n-0),folded two-loop skeleton from ordered reduced-word pairs
2,0a0,12,1,1,0,yes,rank_one,yes,conflict,folded two-loop skeleton from ordered reduced-word pairs
2,0a0;0b0,72,1,1,1,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
2,0a0;0b1;1b0,8,2,1,2,no,rank_two_noncyclic,no,(n-0)*(n-1)/(n-0)*(n-0)*(n-1),folded two-loop skeleton from ordered reduced-word pairs
2,0a1;0b0;1a0,8,2,2,1,no,rank_two_noncyclic,no,(n-0)*(n-1)/(n-0)*(n-1)*(n-0),folded two-loop skeleton from ordered reduced-word pairs
2,0a1;0b1,4,2,1,1,yes,rank_two_noncyclic,yes,conflict,folded two-loop skeleton from ordered reduced-word pairs
2,0a1;0b1;1a0,24,2,2,1,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
2,0a1;0b1;1b0,24,2,1,2,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
2,0a1;0b2;1a0;2b0,8,3,2,2,no,rank_two_noncyclic,no,(n-0)*(n-1)*(n-2)/(n-0)*(n-1)*(n-0)*(n-1),folded two-loop skeleton from ordered reduced-word pairs
2,0a1;1a0,4,2,2,0,yes,rank_one,yes,conflict,folded two-loop skeleton from ordered reduced-word pairs
2,0a1;1a0;1b0,24,2,2,1,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
2,0a1;1b0,4,2,1,1,yes,rank_two_noncyclic,yes,conflict,folded two-loop skeleton from ordered reduced-word pairs
2,0a2;0b1;1a0;2b0,8,3,2,2,no,rank_two_noncyclic,no,(n-0)*(n-1)*(n-2)/(n-0)*(n-1)*(n-0)*(n-1),folded two-loop skeleton from ordered reduced-word pairs
2,0a2;0b2;1a0;1b0,8,3,2,2,no,rank_two_noncyclic,no,(n-0)*(n-1)*(n-2)/(n-0)*(n-1)*(n-0)*(n-1),folded two-loop skeleton from ordered reduced-word pairs
2,0b0,12,1,0,1,yes,rank_one,yes,conflict,folded two-loop skeleton from ordered reduced-word pairs
2,0b1;1a0,4,2,1,1,yes,rank_two_noncyclic,yes,conflict,folded two-loop skeleton from ordered reduced-word pairs
2,0b1;1a0;1b0,24,2,1,2,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
2,0b1;1b0,4,2,0,2,yes,rank_one,yes,conflict,folded two-loop skeleton from ordered reduced-word pairs
2,1a0;1b0,4,2,1,1,yes,rank_two_noncyclic,yes,conflict,folded two-loop skeleton from ordered reduced-word pairs
3,0a0,28,1,1,0,yes,rank_one,yes,conflict,folded two-loop skeleton from ordered reduced-word pairs
3,0a0;0b0,456,1,1,1,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
3,0a0;0b1;1a1,8,2,2,1,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
3,0a0;0b1;1b0,72,2,1,2,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
3,0a0;0b2;1a2;1b0,8,3,2,2,no,rank_two_noncyclic,no,(n-0)*(n-1)*(n-2)/(n-0)*(n-1)*(n-0)*(n-1),folded two-loop skeleton from ordered reduced-word pairs
3,0a0;0b2;1b0;2a1,8,3,2,2,no,rank_two_noncyclic,no,(n-0)*(n-1)*(n-2)/(n-0)*(n-1)*(n-0)*(n-1),folded two-loop skeleton from ordered reduced-word pairs
3,0a0;0b2;1b0;2b1,8,3,1,3,no,rank_two_noncyclic,no,(n-0)*(n-1)*(n-2)/(n-0)*(n-0)*(n-1)*(n-2),folded two-loop skeleton from ordered reduced-word pairs
3,0a0;1a1;1b0,8,2,2,1,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
3,0a1;0b0;1a0,72,2,2,1,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
3,0a1;0b0;1b1,8,2,1,2,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
3,0a1;0b1,4,2,1,1,yes,rank_two_noncyclic,yes,conflict,folded two-loop skeleton from ordered reduced-word pairs
3,0a1;0b1;1a0,24,2,2,1,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
3,0a1;0b1;1b0,24,2,1,2,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
3,0a1;0b2;1a0;2a2,8,3,3,1,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
3,0a1;0b2;1a0;2b0,8,3,2,2,no,rank_two_noncyclic,no,(n-0)*(n-1)*(n-2)/(n-0)*(n-1)*(n-0)*(n-1),folded two-loop skeleton from ordered reduced-word pairs
3,0a1;0b2;1a0;2b1,24,3,2,2,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
3,0a1;0b2;1a2,4,3,2,1,yes,rank_two_noncyclic,yes,conflict,folded two-loop skeleton from ordered reduced-word pairs
3,0a1;0b2;1a2;1b0,24,3,2,2,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
3,0a1;0b2;1a2;1b1,8,3,2,2,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
3,0a1;0b2;1a2;2b1,8,3,2,2,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
3,0a1;0b2;1b0;2a2,8,3,2,2,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
3,0a1;0b2;1b0;2b1,24,3,1,3,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
3,0a1;0b2;1b1;2a2,8,3,2,2,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
3,0a1;0b2;2a2;2b1,8,3,2,2,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
3,0a1;0b2;2b1,4,3,1,2,yes,rank_two_noncyclic,yes,conflict,folded two-loop skeleton from ordered reduced-word pairs
3,0a1;0b3;1a0;2a3;2b0,8,4,3,2,no,rank_two_noncyclic,no,(n-0)*(n-1)*(n-2)*(n-3)/(n-0)*(n-1)*(n-2)*(n-0)*(n-1),folded two-loop skeleton from ordered reduced-word pairs
3,0a1;0b3;1a0;2b0;3a2,8,4,3,2,no,rank_two_noncyclic,no,(n-0)*(n-1)*(n-2)*(n-3)/(n-0)*(n-1)*(n-2)*(n-0)*(n-1),folded two-loop skeleton from ordered reduced-word pairs
3,0a1;0b3;1a0;2b0;3b2,8,4,2,3,no,rank_two_noncyclic,no,(n-0)*(n-1)*(n-2)*(n-3)/(n-0)*(n-1)*(n-0)*(n-1)*(n-2),folded two-loop skeleton from ordered reduced-word pairs
3,0a1;1a0,4,2,2,0,yes,rank_one,yes,conflict,folded two-loop skeleton from ordered reduced-word pairs
3,0a1;1a0;1b0,24,2,2,1,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
3,0a1;1a0;1b1,64,2,2,1,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
3,0a1;1a0;1b2;2b0,24,3,2,2,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
3,0a1;1a0;2a2;2b0,8,3,3,1,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
3,0a1;1b0,4,2,1,1,yes,rank_two_noncyclic,yes,conflict,folded two-loop skeleton from ordered reduced-word pairs
3,0a1;1b1,4,2,1,1,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
3,0a2;0b0;1a0;1b2,8,3,2,2,no,rank_two_noncyclic,no,(n-0)*(n-1)*(n-2)/(n-0)*(n-1)*(n-0)*(n-1),folded two-loop skeleton from ordered reduced-word pairs
3,0a2;0b0;1a0;2a1,8,3,3,1,no,rank_two_noncyclic,no,(n-0)*(n-1)*(n-2)/(n-0)*(n-1)*(n-2)*(n-0),folded two-loop skeleton from ordered reduced-word pairs
3,0a2;0b0;1a0;2b1,8,3,2,2,no,rank_two_noncyclic,no,(n-0)*(n-1)*(n-2)/(n-0)*(n-1)*(n-0)*(n-1),folded two-loop skeleton from ordered reduced-word pairs
3,0a2;0b1;1a0;1b2,24,3,2,2,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
3,0a2;0b1;1a0;2a1,24,3,3,1,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
3,0a2;0b1;1a0;2b0,8,3,2,2,no,rank_two_noncyclic,no,(n-0)*(n-1)*(n-2)/(n-0)*(n-1)*(n-0)*(n-1),folded two-loop skeleton from ordered reduced-word pairs
3,0a2;0b1;1a0;2b2,8,3,2,2,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
3,0a2;0b1;1b0;2a1,24,3,2,2,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
