L,canonical_key,conjugacy_class_multiplicity,pre_fold_pair_multiplicity,weight_unweighted,weight_exp_decay_theta_0_5,weight_length_inverse,V,count_a,count_b,C,n_power,conflict,primitive_power_pair_classes,diagonal_cyclic_pair_classes,primitive_nondiagonal_pair_classes,rank_two_after_diagonal_pair_classes,rank_proxy,coeff_order_1,coeff_order_2,coeff_order_3,coeff_order_4,notes
1,0a0,1,4,4,1.47151776469,4,1,1,0,1,0,no,0,1,0,0,rank_one,0,0,0,0,trace-like cyclic conjugacy pairs before folded skeleton aggregation
1,0a0;0b0,2,8,8,2.94303552937,8,1,1,1,2,1,no,0,0,2,2,rank_two_noncyclic,0,0,0,0,trace-like cyclic conjugacy pairs before folded skeleton aggregation
1,0b0,1,4,4,1.47151776469,4,1,0,1,1,0,no,0,1,0,0,rank_one,0,0,0,0,trace-like cyclic conjugacy pairs before folded skeleton aggregation
2,0a0,1,4,4,1.47151776469,4,1,1,0,1,0,no,0,1,0,0,rank_one,0,0,0,0,trace-like cyclic conjugacy pairs before folded skeleton aggregation
2,0a0,2,8,8,1.78504128119,4,1,1,0,1,0,yes,2,2,0,0,rank_one,0,0,0,0,trace-like cyclic conjugacy pairs before folded skeleton aggregation
2,0a0;0b0,2,8,8,2.94303552937,8,1,1,1,2,1,no,0,0,2,2,rank_two_noncyclic,0,0,0,0,trace-like cyclic conjugacy pairs before folded skeleton aggregation
2,0a0;0b0,8,64,64,14.2803302495,32,1,1,1,2,1,yes,0,0,8,8,rank_two_noncyclic,0,0,0,0,trace-like cyclic conjugacy pairs before folded skeleton aggregation
2,0a0;0b1;1b0,2,8,8,1.78504128119,4,2,1,2,3,1,no,2,0,0,2,rank_two_noncyclic,0,0,0,0,trace-like cyclic conjugacy pairs before folded skeleton aggregation
2,0a1;0b0;1a0,2,8,8,1.78504128119,4,2,2,1,3,1,no,2,0,0,2,rank_two_noncyclic,0,0,0,0,trace-like cyclic conjugacy pairs before folded skeleton aggregation
2,0a1;0b1;1a0,2,16,16,2.16536453179,4,2,2,1,3,1,yes,2,0,0,2,rank_two_noncyclic,0,0,0,0,trace-like cyclic conjugacy pairs before folded skeleton aggregation
2,0a1;0b2;1a0;2b0,2,8,8,1.08268226589,2,3,2,2,4,1,no,2,0,0,2,rank_two_noncyclic,-1,-1,-1,-1,trace-like cyclic conjugacy pairs before folded skeleton aggregation
2,0a1;1a0,1,4,4,0.541341132946,1,2,2,0,2,0,yes,1,1,0,0,rank_one,0,0,0,0,trace-like cyclic conjugacy pairs before folded skeleton aggregation
2,0a1;1a0;1b0,2,16,16,2.16536453179,4,2,2,1,3,1,yes,2,0,0,2,rank_two_noncyclic,0,0,0,0,trace-like cyclic conjugacy pairs before folded skeleton aggregation
2,0b0,1,4,4,1.47151776469,4,1,0,1,1,0,no,0,1,0,0,rank_one,0,0,0,0,trace-like cyclic conjugacy pairs before folded skeleton aggregation
2,0b0,2,8,8,1.78504128119,4,1,0,1,1,0,yes,2,2,0,0,rank_one,0,0,0,0,trace-like cyclic conjugacy pairs before folded skeleton aggregation
2,0b1;1a0,1,16,16,2.16536453179,4,2,1,1,2,0,yes,0,1,0,0,rank_two_noncyclic,-1,0,0,0,trace-like cyclic conjugacy pairs before folded skeleton aggregation
2,0b1;1a0;1b0,6,64,64,8.66145812714,16,2,1,2,3,1,yes,4,0,2,6,rank_two_noncyclic,0,0,0,0,trace-like cyclic conjugacy pairs before folded skeleton aggregation
2,0b1;1b0,1,4,4,0.541341132946,1,2,0,2,2,0,yes,1,1,0,0,rank_one,0,0,0,0,trace-like cyclic conjugacy pairs before folded skeleton aggregation
2,1a0;1b0,1,16,16,2.16536453179,4,2,1,1,2,0,yes,0,1,0,0,rank_two_noncyclic,-1,0,0,0,trace-like cyclic conjugacy pairs before folded skeleton aggregation
3,0a0,1,4,4,1.47151776469,4,1,1,0,1,0,no,0,1,0,0,rank_one,0,0,0,0,trace-like cyclic conjugacy pairs before folded skeleton aggregation
3,0a0,6,24,24,3.52440353607,8,1,1,0,1,0,yes,6,6,0,0,rank_one,0,0,0,0,trace-like cyclic conjugacy pairs before folded skeleton aggregation
3,0a0;0b0,2,8,8,2.94303552937,8,1,1,1,2,1,no,0,0,2,2,rank_two_noncyclic,0,0,0,0,trace-like cyclic conjugacy pairs before folded skeleton aggregation
3,0a0;0b0,24,352,352,43.032837176,96,1,1,1,2,1,yes,0,0,24,24,rank_two_noncyclic,0,0,0,0,trace-like cyclic conjugacy pairs before folded skeleton aggregation
3,0a0;0b1;1b0,2,8,8,1.78504128119,4,2,1,2,3,1,no,2,0,0,2,rank_two_noncyclic,0,0,0,0,trace-like cyclic conjugacy pairs before folded skeleton aggregation
3,0a0;0b1;1b0,8,96,96,10.4361735293,24,2,1,2,3,1,yes,4,0,4,8,rank_two_noncyclic,0,0,0,0,trace-like cyclic conjugacy pairs before folded skeleton aggregation
3,0a0;0b2;1b0;2b1,2,8,8,1.08268226589,2.66666666667,3,1,3,4,1,no,2,0,0,2,rank_two_noncyclic,0,0,0,0,trace-like cyclic conjugacy pairs before folded skeleton aggregation
3,0a1;0b0;1a0,2,8,8,1.78504128119,4,2,2,1,3,1,no,2,0,0,2,rank_two_noncyclic,0,0,0,0,trace-like cyclic conjugacy pairs before folded skeleton aggregation
3,0a1;0b0;1a0,8,96,96,10.4361735293,24,2,2,1,3,1,yes,4,0,4,8,rank_two_noncyclic,0,0,0,0,trace-like cyclic conjugacy pairs before folded skeleton aggregation
3,0a1;0b1;1a0,2,16,16,2.16536453179,4,2,2,1,3,1,yes,2,0,0,2,rank_two_noncyclic,0,0,0,0,trace-like cyclic conjugacy pairs before folded skeleton aggregation
3,0a1;0b2;1a0;2b0,2,8,8,1.08268226589,2,3,2,2,4,1,no,2,0,0,2,rank_two_noncyclic,-1,-1,-1,-1,trace-like cyclic conjugacy pairs before folded skeleton aggregation
3,0a1;0b2;1a0;2b1,2,24,24,1.97003996697,4,3,2,2,4,1,yes,2,0,0,2,rank_two_noncyclic,-1,-1,-1,-1,trace-like cyclic conjugacy pairs before folded skeleton aggregation
3,0a1;0b3;1a0;2b0;3b2,2,8,8,0.656679988991,1.33333333333,4,2,3,5,1,no,2,0,0,2,rank_two_noncyclic,-2,-2,-2,-2,trace-like cyclic conjugacy pairs before folded skeleton aggregation
3,0a1;1a0,1,4,4,0.541341132946,1,2,2,0,2,0,yes,1,1,0,0,rank_one,0,0,0,0,trace-like cyclic conjugacy pairs before folded skeleton aggregation
3,0a1;1a0;1b0,2,16,16,2.16536453179,4,2,2,1,3,1,yes,2,0,0,2,rank_two_noncyclic,0,0,0,0,trace-like cyclic conjugacy pairs before folded skeleton aggregation
3,0a1;1a0;1b2;2b0,2,24,24,1.97003996697,4,3,2,2,4,1,yes,2,0,0,2,rank_two_noncyclic,-1,-1,-1,-1,trace-like cyclic conjugacy pairs before folded skeleton aggregation
3,0a2;0b0;1a0;2a1,2,8,8,1.08268226589,2.66666666667,3,3,1,4,1,no,2,0,0,2,rank_two_noncyclic,0,0,0,0,trace-like cyclic conjugacy pairs before folded skeleton aggregation
3,0a2;0b1;1a0;2a1,2,16,16,1.31335997798,2.66666666667,3,3,1,4,1,yes,2,0,0,2,rank_two_noncyclic,0,0,0,0,trace-like cyclic conjugacy pairs before folded skeleton aggregation
3,0a2;0b2;1a0;2a1,2,24,24,1.19488964083,2.66666666667,3,3,1,4,1,yes,2,0,0,2,rank_two_noncyclic,0,0,0,0,trace-like cyclic conjugacy pairs before folded skeleton aggregation
3,0a2;0b3;1a0;2a1;3b1,2,24,24,1.19488964083,2.66666666667,4,3,2,5,1,yes,2,0,0,2,rank_two_noncyclic,-2,-2,-2,-2,trace-like cyclic conjugacy pairs before folded skeleton aggregation
3,0a2;1a0;1b0;2a1,2,16,16,1.31335997798,2.66666666667,3,3,1,4,1,yes,2,0,0,2,rank_two_noncyclic,0,0,0,0,trace-like cyclic conjugacy pairs before folded skeleton aggregation
3,0a2;1a0;2a1,1,4,4,0.199148273471,0.444444444444,3,3,0,3,0,yes,1,1,0,0,rank_one,0,0,0,0,trace-like cyclic conjugacy pairs before folded skeleton aggregation
3,0a2;1a0;2a1;2b0,2,24,24,1.19488964083,2.66666666667,3,3,1,4,1,yes,2,0,0,2,rank_two_noncyclic,0,0,0,0,trace-like cyclic conjugacy pairs before folded skeleton aggregation
