L,variant,weight_scheme,num_profiles,pair_classes,coefficient_order,aggregate_coefficient,weight_l1,m7_bound_proxy,weighted_aggregate_bound_proxy,notes
1,all_conflict_free,weight_unweighted,3,4,1,0,16,1,16,signed proxy is all conflict-free with diagonal/cyclic records removed
1,all_conflict_free,weight_unweighted,3,4,2,0,16,1,16,signed proxy is all conflict-free with diagonal/cyclic records removed
1,all_conflict_free,weight_unweighted,3,4,3,0,16,1,16,signed proxy is all conflict-free with diagonal/cyclic records removed
1,all_conflict_free,weight_unweighted,3,4,4,0,16,1,16,signed proxy is all conflict-free with diagonal/cyclic records removed
1,all_conflict_free,weight_exp_decay_theta_0_5,3,4,1,0,5.88607105874,1,5.88607105874,signed proxy is all conflict-free with diagonal/cyclic records removed
1,all_conflict_free,weight_exp_decay_theta_0_5,3,4,2,0,5.88607105874,1,5.88607105874,signed proxy is all conflict-free with diagonal/cyclic records removed
1,all_conflict_free,weight_exp_decay_theta_0_5,3,4,3,0,5.88607105874,1,5.88607105874,signed proxy is all conflict-free with diagonal/cyclic records removed
1,all_conflict_free,weight_exp_decay_theta_0_5,3,4,4,0,5.88607105874,1,5.88607105874,signed proxy is all conflict-free with diagonal/cyclic records removed
1,all_conflict_free,weight_length_inverse,3,4,1,0,16,1,16,signed proxy is all conflict-free with diagonal/cyclic records removed
1,all_conflict_free,weight_length_inverse,3,4,2,0,16,1,16,signed proxy is all conflict-free with diagonal/cyclic records removed
1,all_conflict_free,weight_length_inverse,3,4,3,0,16,1,16,signed proxy is all conflict-free with diagonal/cyclic records removed
1,all_conflict_free,weight_length_inverse,3,4,4,0,16,1,16,signed proxy is all conflict-free with diagonal/cyclic records removed
1,primitive_non_diagonal,weight_unweighted,1,2,1,0,8,1,8,signed proxy is all conflict-free with diagonal/cyclic records removed
1,primitive_non_diagonal,weight_unweighted,1,2,2,0,8,1,8,signed proxy is all conflict-free with diagonal/cyclic records removed
1,primitive_non_diagonal,weight_unweighted,1,2,3,0,8,1,8,signed proxy is all conflict-free with diagonal/cyclic records removed
1,primitive_non_diagonal,weight_unweighted,1,2,4,0,8,1,8,signed proxy is all conflict-free with diagonal/cyclic records removed
1,primitive_non_diagonal,weight_exp_decay_theta_0_5,1,2,1,0,2.94303552937,1,2.94303552937,signed proxy is all conflict-free with diagonal/cyclic records removed
1,primitive_non_diagonal,weight_exp_decay_theta_0_5,1,2,2,0,2.94303552937,1,2.94303552937,signed proxy is all conflict-free with diagonal/cyclic records removed
1,primitive_non_diagonal,weight_exp_decay_theta_0_5,1,2,3,0,2.94303552937,1,2.94303552937,signed proxy is all conflict-free with diagonal/cyclic records removed
1,primitive_non_diagonal,weight_exp_decay_theta_0_5,1,2,4,0,2.94303552937,1,2.94303552937,signed proxy is all conflict-free with diagonal/cyclic records removed
1,primitive_non_diagonal,weight_length_inverse,1,2,1,0,8,1,8,signed proxy is all conflict-free with diagonal/cyclic records removed
1,primitive_non_diagonal,weight_length_inverse,1,2,2,0,8,1,8,signed proxy is all conflict-free with diagonal/cyclic records removed
1,primitive_non_diagonal,weight_length_inverse,1,2,3,0,8,1,8,signed proxy is all conflict-free with diagonal/cyclic records removed
1,primitive_non_diagonal,weight_length_inverse,1,2,4,0,8,1,8,signed proxy is all conflict-free with diagonal/cyclic records removed
1,diagonal_cyclic_only,weight_unweighted,2,2,1,0,8,1,8,signed proxy is all conflict-free with diagonal/cyclic records removed
1,diagonal_cyclic_only,weight_unweighted,2,2,2,0,8,1,8,signed proxy is all conflict-free with diagonal/cyclic records removed
1,diagonal_cyclic_only,weight_unweighted,2,2,3,0,8,1,8,signed proxy is all conflict-free with diagonal/cyclic records removed
1,diagonal_cyclic_only,weight_unweighted,2,2,4,0,8,1,8,signed proxy is all conflict-free with diagonal/cyclic records removed
1,diagonal_cyclic_only,weight_exp_decay_theta_0_5,2,2,1,0,2.94303552937,1,2.94303552937,signed proxy is all conflict-free with diagonal/cyclic records removed
1,diagonal_cyclic_only,weight_exp_decay_theta_0_5,2,2,2,0,2.94303552937,1,2.94303552937,signed proxy is all conflict-free with diagonal/cyclic records removed
1,diagonal_cyclic_only,weight_exp_decay_theta_0_5,2,2,3,0,2.94303552937,1,2.94303552937,signed proxy is all conflict-free with diagonal/cyclic records removed
1,diagonal_cyclic_only,weight_exp_decay_theta_0_5,2,2,4,0,2.94303552937,1,2.94303552937,signed proxy is all conflict-free with diagonal/cyclic records removed
1,diagonal_cyclic_only,weight_length_inverse,2,2,1,0,8,1,8,signed proxy is all conflict-free with diagonal/cyclic records removed
1,diagonal_cyclic_only,weight_length_inverse,2,2,2,0,8,1,8,signed proxy is all conflict-free with diagonal/cyclic records removed
1,diagonal_cyclic_only,weight_length_inverse,2,2,3,0,8,1,8,signed proxy is all conflict-free with diagonal/cyclic records removed
1,diagonal_cyclic_only,weight_length_inverse,2,2,4,0,8,1,8,signed proxy is all conflict-free with diagonal/cyclic records removed
1,signed_diagonal_subtracted_proxy,weight_unweighted,1,2,1,0,8,1,8,signed proxy is all conflict-free with diagonal/cyclic records removed
1,signed_diagonal_subtracted_proxy,weight_unweighted,1,2,2,0,8,1,8,signed proxy is all conflict-free with diagonal/cyclic records removed
1,signed_diagonal_subtracted_proxy,weight_unweighted,1,2,3,0,8,1,8,signed proxy is all conflict-free with diagonal/cyclic records removed
1,signed_diagonal_subtracted_proxy,weight_unweighted,1,2,4,0,8,1,8,signed proxy is all conflict-free with diagonal/cyclic records removed
1,signed_diagonal_subtracted_proxy,weight_exp_decay_theta_0_5,1,2,1,0,2.94303552937,1,2.94303552937,signed proxy is all conflict-free with diagonal/cyclic records removed
1,signed_diagonal_subtracted_proxy,weight_exp_decay_theta_0_5,1,2,2,0,2.94303552937,1,2.94303552937,signed proxy is all conflict-free with diagonal/cyclic records removed
1,signed_diagonal_subtracted_proxy,weight_exp_decay_theta_0_5,1,2,3,0,2.94303552937,1,2.94303552937,signed proxy is all conflict-free with diagonal/cyclic records removed
1,signed_diagonal_subtracted_proxy,weight_exp_decay_theta_0_5,1,2,4,0,2.94303552937,1,2.94303552937,signed proxy is all conflict-free with diagonal/cyclic records removed
1,signed_diagonal_subtracted_proxy,weight_length_inverse,1,2,1,0,8,1,8,signed proxy is all conflict-free with diagonal/cyclic records removed
1,signed_diagonal_subtracted_proxy,weight_length_inverse,1,2,2,0,8,1,8,signed proxy is all conflict-free with diagonal/cyclic records removed
1,signed_diagonal_subtracted_proxy,weight_length_inverse,1,2,3,0,8,1,8,signed proxy is all conflict-free with diagonal/cyclic records removed
1,signed_diagonal_subtracted_proxy,weight_length_inverse,1,2,4,0,8,1,8,signed proxy is all conflict-free with diagonal/cyclic records removed
1,rank_two_noncyclic_remainder,weight_unweighted,1,2,1,0,8,1,8,signed proxy is all conflict-free with diagonal/cyclic records removed
1,rank_two_noncyclic_remainder,weight_unweighted,1,2,2,0,8,1,8,signed proxy is all conflict-free with diagonal/cyclic records removed
1,rank_two_noncyclic_remainder,weight_unweighted,1,2,3,0,8,1,8,signed proxy is all conflict-free with diagonal/cyclic records removed
1,rank_two_noncyclic_remainder,weight_unweighted,1,2,4,0,8,1,8,signed proxy is all conflict-free with diagonal/cyclic records removed
1,rank_two_noncyclic_remainder,weight_exp_decay_theta_0_5,1,2,1,0,2.94303552937,1,2.94303552937,signed proxy is all conflict-free with diagonal/cyclic records removed
1,rank_two_noncyclic_remainder,weight_exp_decay_theta_0_5,1,2,2,0,2.94303552937,1,2.94303552937,signed proxy is all conflict-free with diagonal/cyclic records removed
1,rank_two_noncyclic_remainder,weight_exp_decay_theta_0_5,1,2,3,0,2.94303552937,1,2.94303552937,signed proxy is all conflict-free with diagonal/cyclic records removed
1,rank_two_noncyclic_remainder,weight_exp_decay_theta_0_5,1,2,4,0,2.94303552937,1,2.94303552937,signed proxy is all conflict-free with diagonal/cyclic records removed
1,rank_two_noncyclic_remainder,weight_length_inverse,1,2,1,0,8,1,8,signed proxy is all conflict-free with diagonal/cyclic records removed
1,rank_two_noncyclic_remainder,weight_length_inverse,1,2,2,0,8,1,8,signed proxy is all conflict-free with diagonal/cyclic records removed
1,rank_two_noncyclic_remainder,weight_length_inverse,1,2,3,0,8,1,8,signed proxy is all conflict-free with diagonal/cyclic records removed
1,rank_two_noncyclic_remainder,weight_length_inverse,1,2,4,0,8,1,8,signed proxy is all conflict-free with diagonal/cyclic records removed
2,all_conflict_free,weight_unweighted,6,10,1,-8,40,4,160,signed proxy is all conflict-free with diagonal/cyclic records removed
2,all_conflict_free,weight_unweighted,6,10,2,-8,40,16,640,signed proxy is all conflict-free with diagonal/cyclic records removed
2,all_conflict_free,weight_unweighted,6,10,3,-8,40,64,2560,signed proxy is all conflict-free with diagonal/cyclic records removed
2,all_conflict_free,weight_unweighted,6,10,4,-8,40,256,10240,signed proxy is all conflict-free with diagonal/cyclic records removed
2,all_conflict_free,weight_exp_decay_theta_0_5,6,10,1,-1.08268226589,10.538835887,4,42.155343548,signed proxy is all conflict-free with diagonal/cyclic records removed
2,all_conflict_free,weight_exp_decay_theta_0_5,6,10,2,-1.08268226589,10.538835887,16,168.621374192,signed proxy is all conflict-free with diagonal/cyclic records removed
2,all_conflict_free,weight_exp_decay_theta_0_5,6,10,3,-1.08268226589,10.538835887,64,674.485496769,signed proxy is all conflict-free with diagonal/cyclic records removed
2,all_conflict_free,weight_exp_decay_theta_0_5,6,10,4,-1.08268226589,10.538835887,256,2697.94198707,signed proxy is all conflict-free with diagonal/cyclic records removed
2,all_conflict_free,weight_length_inverse,6,10,1,-2,26,4,104,signed proxy is all conflict-free with diagonal/cyclic records removed
2,all_conflict_free,weight_length_inverse,6,10,2,-2,26,16,416,signed proxy is all conflict-free with diagonal/cyclic records removed
2,all_conflict_free,weight_length_inverse,6,10,3,-2,26,64,1664,signed proxy is all conflict-free with diagonal/cyclic records removed
2,all_conflict_free,weight_length_inverse,6,10,4,-2,26,256,6656,signed proxy is all conflict-free with diagonal/cyclic records removed
2,primitive_non_diagonal,weight_unweighted,1,2,1,0,8,4,32,signed proxy is all conflict-free with diagonal/cyclic records removed
2,primitive_non_diagonal,weight_unweighted,1,2,2,0,8,16,128,signed proxy is all conflict-free with diagonal/cyclic records removed
2,primitive_non_diagonal,weight_unweighted,1,2,3,0,8,64,512,signed proxy is all conflict-free with diagonal/cyclic records removed
2,primitive_non_diagonal,weight_unweighted,1,2,4,0,8,256,2048,signed proxy is all conflict-free with diagonal/cyclic records removed
2,primitive_non_diagonal,weight_exp_decay_theta_0_5,1,2,1,0,2.94303552937,4,11.7721421175,signed proxy is all conflict-free with diagonal/cyclic records removed
2,primitive_non_diagonal,weight_exp_decay_theta_0_5,1,2,2,0,2.94303552937,16,47.0885684699,signed proxy is all conflict-free with diagonal/cyclic records removed
2,primitive_non_diagonal,weight_exp_decay_theta_0_5,1,2,3,0,2.94303552937,64,188.35427388,signed proxy is all conflict-free with diagonal/cyclic records removed
2,primitive_non_diagonal,weight_exp_decay_theta_0_5,1,2,4,0,2.94303552937,256,753.417095519,signed proxy is all conflict-free with diagonal/cyclic records removed
2,primitive_non_diagonal,weight_length_inverse,1,2,1,0,8,4,32,signed proxy is all conflict-free with diagonal/cyclic records removed
2,primitive_non_diagonal,weight_length_inverse,1,2,2,0,8,16,128,signed proxy is all conflict-free with diagonal/cyclic records removed
2,primitive_non_diagonal,weight_length_inverse,1,2,3,0,8,64,512,signed proxy is all conflict-free with diagonal/cyclic records removed
2,primitive_non_diagonal,weight_length_inverse,1,2,4,0,8,256,2048,signed proxy is all conflict-free with diagonal/cyclic records removed
2,diagonal_cyclic_only,weight_unweighted,2,2,1,0,8,4,32,signed proxy is all conflict-free with diagonal/cyclic records removed
2,diagonal_cyclic_only,weight_unweighted,2,2,2,0,8,16,128,signed proxy is all conflict-free with diagonal/cyclic records removed
2,diagonal_cyclic_only,weight_unweighted,2,2,3,0,8,64,512,signed proxy is all conflict-free with diagonal/cyclic records removed
2,diagonal_cyclic_only,weight_unweighted,2,2,4,0,8,256,2048,signed proxy is all conflict-free with diagonal/cyclic records removed
2,diagonal_cyclic_only,weight_exp_decay_theta_0_5,2,2,1,0,2.94303552937,4,11.7721421175,signed proxy is all conflict-free with diagonal/cyclic records removed
2,diagonal_cyclic_only,weight_exp_decay_theta_0_5,2,2,2,0,2.94303552937,16,47.0885684699,signed proxy is all conflict-free with diagonal/cyclic records removed
2,diagonal_cyclic_only,weight_exp_decay_theta_0_5,2,2,3,0,2.94303552937,64,188.35427388,signed proxy is all conflict-free with diagonal/cyclic records removed
2,diagonal_cyclic_only,weight_exp_decay_theta_0_5,2,2,4,0,2.94303552937,256,753.417095519,signed proxy is all conflict-free with diagonal/cyclic records removed
2,diagonal_cyclic_only,weight_length_inverse,2,2,1,0,8,4,32,signed proxy is all conflict-free with diagonal/cyclic records removed
2,diagonal_cyclic_only,weight_length_inverse,2,2,2,0,8,16,128,signed proxy is all conflict-free with diagonal/cyclic records removed
2,diagonal_cyclic_only,weight_length_inverse,2,2,3,0,8,64,512,signed proxy is all conflict-free with diagonal/cyclic records removed
2,diagonal_cyclic_only,weight_length_inverse,2,2,4,0,8,256,2048,signed proxy is all conflict-free with diagonal/cyclic records removed
2,signed_diagonal_subtracted_proxy,weight_unweighted,4,8,1,-8,32,4,128,signed proxy is all conflict-free with diagonal/cyclic records removed
2,signed_diagonal_subtracted_proxy,weight_unweighted,4,8,2,-8,32,16,512,signed proxy is all conflict-free with diagonal/cyclic records removed
2,signed_diagonal_subtracted_proxy,weight_unweighted,4,8,3,-8,32,64,2048,signed proxy is all conflict-free with diagonal/cyclic records removed
2,signed_diagonal_subtracted_proxy,weight_unweighted,4,8,4,-8,32,256,8192,signed proxy is all conflict-free with diagonal/cyclic records removed
2,signed_diagonal_subtracted_proxy,weight_exp_decay_theta_0_5,4,8,1,-1.08268226589,7.59580035764,4,30.3832014306,signed proxy is all conflict-free with diagonal/cyclic records removed
2,signed_diagonal_subtracted_proxy,weight_exp_decay_theta_0_5,4,8,2,-1.08268226589,7.59580035764,16,121.532805722,signed proxy is all conflict-free with diagonal/cyclic records removed
2,signed_diagonal_subtracted_proxy,weight_exp_decay_theta_0_5,4,8,3,-1.08268226589,7.59580035764,64,486.131222889,signed proxy is all conflict-free with diagonal/cyclic records removed
2,signed_diagonal_subtracted_proxy,weight_exp_decay_theta_0_5,4,8,4,-1.08268226589,7.59580035764,256,1944.52489156,signed proxy is all conflict-free with diagonal/cyclic records removed
2,signed_diagonal_subtracted_proxy,weight_length_inverse,4,8,1,-2,18,4,72,signed proxy is all conflict-free with diagonal/cyclic records removed
2,signed_diagonal_subtracted_proxy,weight_length_inverse,4,8,2,-2,18,16,288,signed proxy is all conflict-free with diagonal/cyclic records removed
2,signed_diagonal_subtracted_proxy,weight_length_inverse,4,8,3,-2,18,64,1152,signed proxy is all conflict-free with diagonal/cyclic records removed
