regime,kappa,alpha_W,Delta_exponent_d,eta,beta_model,beta_model_parameter,endpoint_beating,support_valid,required_beta,hypothetical_beta,variance_exponent_no_beta,mean_exponent,chebyshev_success,local_window_success,theorem_plausibility_class
fixed_bulk_trace,3,0.004,0,0,no_new_saving,0,false,true,-1,0,1,1,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0,0,constant,0.25,false,true,-1,0.25,1,1,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0,0,constant,0.75,false,true,-1,0.75,1,1,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0,0,constant,1.25,false,true,-1,1.25,1,1,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0,0,linear,4,false,true,-1,0,1,1,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0,0,linear,8,false,true,-1,0,1,1,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0,0,linear,12,false,true,-1,0,1,1,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0,0,saturation,0.5,false,true,-1,0,1,1,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0,0,saturation,1,false,true,-1,0,1,1,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0,0.002,no_new_saving,0,false,true,-0.988,0,1.012,1,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0,0.002,constant,0.25,false,true,-0.988,0.25,1.012,1,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0,0.002,constant,0.75,false,true,-0.988,0.75,1.012,1,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0,0.002,constant,1.25,false,true,-0.988,1.25,1.012,1,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0,0.002,linear,4,false,true,-0.988,0.008,1.012,1,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0,0.002,linear,8,false,true,-0.988,0.016,1.012,1,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0,0.002,linear,12,false,true,-0.988,0.024,1.012,1,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0,0.002,saturation,0.5,false,true,-0.988,0.02,1.012,1,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0,0.002,saturation,1,false,true,-0.988,0.02,1.012,1,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0,0.004,no_new_saving,0,false,true,-0.976,0,1.024,1,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0,0.004,constant,0.25,false,true,-0.976,0.25,1.024,1,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0,0.004,constant,0.75,false,true,-0.976,0.75,1.024,1,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0,0.004,constant,1.25,false,true,-0.976,1.25,1.024,1,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0,0.004,linear,4,false,true,-0.976,0.016,1.024,1,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0,0.004,linear,8,false,true,-0.976,0.032,1.024,1,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0,0.004,linear,12,false,true,-0.976,0.048,1.024,1,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0,0.004,saturation,0.5,false,true,-0.976,0.04,1.024,1,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0,0.004,saturation,1,false,true,-0.976,0.04,1.024,1,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0,0.006,no_new_saving,0,false,true,-0.964,0,1.036,1,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0,0.006,constant,0.25,false,true,-0.964,0.25,1.036,1,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0,0.006,constant,0.75,false,true,-0.964,0.75,1.036,1,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0,0.006,constant,1.25,false,true,-0.964,1.25,1.036,1,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0,0.006,linear,4,false,true,-0.964,0.024,1.036,1,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0,0.006,linear,8,false,true,-0.964,0.048,1.036,1,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0,0.006,linear,12,false,true,-0.964,0.072,1.036,1,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0,0.006,saturation,0.5,false,true,-0.964,0.06,1.036,1,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0,0.006,saturation,1,false,true,-0.964,0.06,1.036,1,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0,0.008,no_new_saving,0,false,true,-0.952,0,1.048,1,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0,0.008,constant,0.25,false,true,-0.952,0.25,1.048,1,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0,0.008,constant,0.75,false,true,-0.952,0.75,1.048,1,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0,0.008,constant,1.25,false,true,-0.952,1.25,1.048,1,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0,0.008,linear,4,false,true,-0.952,0.032,1.048,1,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0,0.008,linear,8,false,true,-0.952,0.064,1.048,1,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0,0.008,linear,12,false,true,-0.952,0.096,1.048,1,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0,0.008,saturation,0.5,false,true,-0.952,0.08,1.048,1,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0,0.008,saturation,1,false,true,-0.952,0.08,1.048,1,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0,0.01,no_new_saving,0,false,true,-0.94,0,1.06,1,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0,0.01,constant,0.25,false,true,-0.94,0.25,1.06,1,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0,0.01,constant,0.75,false,true,-0.94,0.75,1.06,1,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0,0.01,constant,1.25,false,true,-0.94,1.25,1.06,1,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0,0.01,linear,4,false,true,-0.94,0.04,1.06,1,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0,0.01,linear,8,false,true,-0.94,0.08,1.06,1,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0,0.01,linear,12,false,true,-0.94,0.12,1.06,1,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0,0.01,saturation,0.5,false,true,-0.94,0.1,1.06,1,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0,0.01,saturation,1,false,true,-0.94,0.1,1.06,1,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0,0.02,no_new_saving,0,false,true,-0.88,0,1.12,1,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0,0.02,constant,0.25,false,true,-0.88,0.25,1.12,1,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0,0.02,constant,0.75,false,true,-0.88,0.75,1.12,1,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0,0.02,constant,1.25,false,true,-0.88,1.25,1.12,1,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0,0.02,linear,4,false,true,-0.88,0.08,1.12,1,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0,0.02,linear,8,false,true,-0.88,0.16,1.12,1,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0,0.02,linear,12,false,true,-0.88,0.24,1.12,1,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0,0.02,saturation,0.5,false,true,-0.88,0.2,1.12,1,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0,0.02,saturation,1,false,true,-0.88,0.2,1.12,1,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0,0.05,no_new_saving,0,false,true,-0.7,0,1.3,1,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0,0.05,constant,0.25,false,true,-0.7,0.25,1.3,1,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0,0.05,constant,0.75,false,true,-0.7,0.75,1.3,1,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0,0.05,constant,1.25,false,true,-0.7,1.25,1.3,1,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0,0.05,linear,4,false,true,-0.7,0.2,1.3,1,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0,0.05,linear,8,false,true,-0.7,0.4,1.3,1,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0,0.05,linear,12,false,true,-0.7,0.6,1.3,1,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0,0.05,saturation,0.5,false,true,-0.7,0.5,1.3,1,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0,0.05,saturation,1,false,true,-0.7,0.5,1.3,1,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0,0.08,no_new_saving,0,false,true,-0.52,0,1.48,1,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0,0.08,constant,0.25,false,true,-0.52,0.25,1.48,1,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0,0.08,constant,0.75,false,true,-0.52,0.75,1.48,1,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0,0.08,constant,1.25,false,true,-0.52,1.25,1.48,1,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0,0.08,linear,4,false,true,-0.52,0.32,1.48,1,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0,0.08,linear,8,false,true,-0.52,0.64,1.48,1,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0,0.08,linear,12,false,true,-0.52,0.96,1.48,1,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0,0.08,saturation,0.5,false,true,-0.52,0.5,1.48,1,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0,0.08,saturation,1,false,true,-0.52,0.8,1.48,1,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0,0.1,no_new_saving,0,false,true,-0.4,0,1.6,1,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0,0.1,constant,0.25,false,true,-0.4,0.25,1.6,1,true,false,not_endpoint_beating
