kappa,alpha_W,beta_model,beta_model_parameter,rows,endpoint_support_rows,local_window_success_rows,min_required_beta_endpoint_support,median_required_beta_endpoint_support,max_required_beta_endpoint_support,support_invalid_rows,not_endpoint_beating_rows,conditional_success_rows,fails_strict_beta_despite_nonpositive_threshold_rows,needs_moderate_saving_rows,needs_large_saving_rows
3,0.004,constant,0.25,144,45,36,-0.952,-0.38,1,66,33,36,0,9,0
3,0.004,constant,0.75,144,45,43,-0.952,-0.38,1,66,33,43,0,2,0
3,0.004,constant,1.25,144,45,45,-0.952,-0.38,1,66,33,45,0,0,0
3,0.004,linear,12,144,45,45,-0.952,-0.38,1,66,33,45,0,0,0
3,0.004,linear,4,144,45,44,-0.952,-0.38,1,66,33,44,0,1,0
3,0.004,linear,8,144,45,45,-0.952,-0.38,1,66,33,45,0,0,0
3,0.004,no_new_saving,0,144,45,33,-0.952,-0.38,1,66,33,33,0,12,0
3,0.004,saturation,0.5,144,45,36,-0.952,-0.38,1,66,33,36,0,9,0
3,0.004,saturation,1,144,45,44,-0.952,-0.38,1,66,33,44,0,1,0
3,0.006,constant,0.25,144,36,28,-0.936,-0.33,1,66,42,28,0,8,0
3,0.006,constant,0.75,144,36,34,-0.936,-0.33,1,66,42,34,0,2,0
3,0.006,constant,1.25,144,36,36,-0.936,-0.33,1,66,42,36,0,0,0
3,0.006,linear,12,144,36,36,-0.936,-0.33,1,66,42,36,0,0,0
3,0.006,linear,4,144,36,35,-0.936,-0.33,1,66,42,35,0,1,0
3,0.006,linear,8,144,36,36,-0.936,-0.33,1,66,42,36,0,0,0
3,0.006,no_new_saving,0,144,36,25,-0.936,-0.33,1,66,42,25,0,11,0
3,0.006,saturation,0.5,144,36,28,-0.936,-0.33,1,66,42,28,0,8,0
3,0.006,saturation,1,144,36,35,-0.936,-0.33,1,66,42,35,0,1,0
3,0.01,constant,0.25,144,21,15,-0.84,-0.06,1,66,57,15,0,6,0
3,0.01,constant,0.75,144,21,19,-0.84,-0.06,1,66,57,19,0,2,0
3,0.01,constant,1.25,144,21,21,-0.84,-0.06,1,66,57,21,0,0,0
3,0.01,linear,12,144,21,21,-0.84,-0.06,1,66,57,21,0,0,0
3,0.01,linear,4,144,21,20,-0.84,-0.06,1,66,57,20,0,1,0
3,0.01,linear,8,144,21,21,-0.84,-0.06,1,66,57,21,0,0,0
3,0.01,no_new_saving,0,144,21,12,-0.84,-0.06,1,66,57,12,0,9,0
3,0.01,saturation,0.5,144,21,15,-0.84,-0.06,1,66,57,15,0,6,0
3,0.01,saturation,1,144,21,20,-0.84,-0.06,1,66,57,20,0,1,0
5,0.004,constant,0.25,144,45,28,-0.928,0.016,2,66,33,28,0,8,9
5,0.004,constant,0.75,144,45,35,-0.928,0.016,2,66,33,35,0,1,9
5,0.004,constant,1.25,144,45,36,-0.928,0.016,2,66,33,36,0,0,9
5,0.004,linear,12,144,45,45,-0.928,0.016,2,66,33,45,0,0,0
5,0.004,linear,4,144,45,32,-0.928,0.016,2,66,33,32,0,4,9
5,0.004,linear,8,144,45,44,-0.928,0.016,2,66,33,44,0,0,1
5,0.004,no_new_saving,0,144,45,21,-0.928,0.016,2,66,33,21,0,15,9
5,0.004,saturation,0.5,144,45,28,-0.928,0.016,2,66,33,28,0,8,9
5,0.004,saturation,1,144,45,36,-0.928,0.016,2,66,33,36,0,0,9
5,0.006,constant,0.25,144,36,21,-0.904,0.07,2,66,42,21,0,7,8
5,0.006,constant,0.75,144,36,27,-0.904,0.07,2,66,42,27,0,1,8
5,0.006,constant,1.25,144,36,28,-0.904,0.07,2,66,42,28,0,0,8
5,0.006,linear,12,144,36,36,-0.904,0.07,2,66,42,36,0,0,0
5,0.006,linear,4,144,36,24,-0.904,0.07,2,66,42,24,0,4,8
5,0.006,linear,8,144,36,35,-0.904,0.07,2,66,42,35,0,0,1
5,0.006,no_new_saving,0,144,36,15,-0.904,0.07,2,66,42,15,0,13,8
5,0.006,saturation,0.5,144,36,21,-0.904,0.07,2,66,42,21,0,7,8
5,0.006,saturation,1,144,36,28,-0.904,0.07,2,66,42,28,0,0,8
5,0.01,constant,0.25,144,21,10,-0.76,0.54,2,66,57,10,0,5,6
5,0.01,constant,0.75,144,21,14,-0.76,0.54,2,66,57,14,0,1,6
5,0.01,constant,1.25,144,21,15,-0.76,0.54,2,66,57,15,0,0,6
5,0.01,linear,12,144,21,21,-0.76,0.54,2,66,57,21,0,0,0
5,0.01,linear,4,144,21,11,-0.76,0.54,2,66,57,11,0,4,6
5,0.01,linear,8,144,21,20,-0.76,0.54,2,66,57,20,0,0,1
5,0.01,no_new_saving,0,144,21,6,-0.76,0.54,2,66,57,6,0,9,6
5,0.01,saturation,0.5,144,21,10,-0.76,0.54,2,66,57,10,0,5,6
5,0.01,saturation,1,144,21,15,-0.76,0.54,2,66,57,15,0,0,6
8,0.004,constant,0.25,144,45,15,-0.892,0.616,3.5,66,33,15,0,13,17
8,0.004,constant,0.75,144,45,26,-0.892,0.616,3.5,66,33,26,0,2,17
8,0.004,constant,1.25,144,45,28,-0.892,0.616,3.5,66,33,28,0,0,17
8,0.004,linear,12,144,45,36,-0.892,0.616,3.5,66,33,36,0,0,9
8,0.004,linear,4,144,45,18,-0.892,0.616,3.5,66,33,18,0,10,17
8,0.004,linear,8,144,45,27,-0.892,0.616,3.5,66,33,27,0,1,17
8,0.004,no_new_saving,0,144,45,15,-0.892,0.616,3.5,66,33,15,0,13,17
8,0.004,saturation,0.5,144,45,21,-0.892,0.616,3.5,66,33,21,0,7,17
8,0.004,saturation,1,144,45,28,-0.892,0.616,3.5,66,33,28,0,0,17
8,0.006,constant,0.25,144,36,10,-0.856,0.67,3.5,66,42,10,0,11,15
8,0.006,constant,0.75,144,36,19,-0.856,0.67,3.5,66,42,19,0,2,15
8,0.006,constant,1.25,144,36,21,-0.856,0.67,3.5,66,42,21,0,0,15
8,0.006,linear,12,144,36,28,-0.856,0.67,3.5,66,42,28,0,0,8
8,0.006,linear,4,144,36,12,-0.856,0.67,3.5,66,42,12,0,9,15
8,0.006,linear,8,144,36,20,-0.856,0.67,3.5,66,42,20,0,1,15
8,0.006,no_new_saving,0,144,36,10,-0.856,0.67,3.5,66,42,10,0,11,15
8,0.006,saturation,0.5,144,36,15,-0.856,0.67,3.5,66,42,15,0,6,15
8,0.006,saturation,1,144,36,21,-0.856,0.67,3.5,66,42,21,0,0,15
8,0.01,constant,0.25,144,21,3,-0.64,1.44,3.5,66,57,3,0,7,11
8,0.01,constant,0.75,144,21,8,-0.64,1.44,3.5,66,57,8,0,2,11
8,0.01,constant,1.25,144,21,10,-0.64,1.44,3.5,66,57,10,0,0,11
8,0.01,linear,12,144,21,15,-0.64,1.44,3.5,66,57,15,0,0,6
8,0.01,linear,4,144,21,3,-0.64,1.44,3.5,66,57,3,0,7,11
8,0.01,linear,8,144,21,9,-0.64,1.44,3.5,66,57,9,0,1,11
8,0.01,no_new_saving,0,144,21,3,-0.64,1.44,3.5,66,57,3,0,7,11
8,0.01,saturation,0.5,144,21,6,-0.64,1.44,3.5,66,57,6,0,4,11
8,0.01,saturation,1,144,21,10,-0.64,1.44,3.5,66,57,10,0,0,11
