milestone,artifact_path,role,exists,package_required
M4,reports/formal_certification/labelled_embedding_expectation_identity.md,source_proof,True,True
M30,docs/proof_ledger/schreier_trace_moment_benchmark.md,source_proof,True,True
M30,reports/extension_candidates/m30_schreier_benchmark_theoremization.md,source_report,True,True
M30,data/extension_candidates/m30_schreier_tree_moments.csv,source_data,True,True
M30,data/extension_candidates/m30_schreier_variance_scaling.csv,source_data,True,True
M30,reports/figures/m30_schreier_variance_scaling.png,source_figure,True,True
M31,docs/proof_ledger/schreier_variance_mechanism.md,source_proof,True,True
M31,reports/extension_candidates/m31_schreier_variance_mechanism.md,source_report,True,True
M31,data/extension_candidates/m31_variance_order_summary.csv,source_data,True,True
M32,docs/proof_ledger/schreier_fixed_pair_covariance_lemma.md,source_proof,True,True
M32,reports/extension_candidates/m32_schreier_fixed_pair_covariance_lemma.md,source_report,True,True
M32,data/extension_candidates/m32_variance_theorem_implication.csv,source_data,True,True
M32,reports/final/schreier_variance_theorem_statement.md,source_final,True,True
M33,docs/proof_ledger/schreier_benchmark_theorem_package.md,m33_proof,True,True
M33,reports/extension_candidates/m33_schreier_benchmark_package_synthesis.md,m33_report,True,True
M33,reports/final/schreier_benchmark_theorem_package.md,m33_final,True,True
M33,scripts/build_schreier_benchmark_package.py,m33_script,True,True
M33,tests/test_schreier_benchmark_package.py,m33_test,True,True
M33,data/final/m33_schreier_package_artifact_index.csv,m33_data,True,True
M33,data/final/m33_schreier_theorem_claim_ledger.csv,m33_data,True,True
M33,data/final/m33_schreier_dependency_edges.csv,m33_data,True,True
M33,data/final/m33_schreier_scope_firewall.csv,m33_data,True,True
M33,reports/figures/m33_schreier_theorem_dependency_graph.png,m33_figure,True,True
M33,reports/figures/m33_schreier_scope_firewall.png,m33_figure,True,True
M33,reports/figures/m33_schreier_variance_package_summary.png,m33_figure,True,True
