n,sample,family,word_count,words,fixed_common,normalized_common,seed
50,0,identity_control,1,1,50,50.0,20260515
50,0,cancel_control,1,aA,50,50.0,20260515
50,0,single_a,1,a,1,1.0,20260515
50,0,cyclic_pair_a_a2,2,a aa,1,1.0,20260515
50,0,cyclic_triple_a_a2_a3,3,a aa aaa,1,1.0,20260515
50,0,duplicate_pair_a_a,2,a a,1,1.0,20260515
50,0,rank_two_pair_a_b,2,a b,0,0.0,20260515
50,0,rank_two_pair_ab_aB,2,ab aB,0,0.0,20260515
50,0,independent_triple_a_b_c,3,a b c,0,0.0,20260515
50,0,commutator_single,1,abAB,2,2.0,20260515
50,0,mixed_identity_a,2,1 a,1,1.0,20260515
50,0,rank_two_four_a_b_ab_aB,4,a b ab aB,0,0.0,20260515
50,0,independent_four,4,a b c d,0,0.0,20260515
50,0,cyclic_four,4,a aa aaa aaaa,1,1.0,20260515
50,0,rank_two_eight,8,a b ab aB ba bA aba abA,0,0.0,20260515
50,0,independent_eight,8,a b c d e f g h,0,0.0,20260515
50,0,cyclic_eight,8,a aa aaa aaaa aaaaa aaaaaa aaaaaaa aaaaaaaa,1,1.0,20260515
50,1,identity_control,1,1,50,50.0,20260515
50,1,cancel_control,1,aA,50,50.0,20260515
50,1,single_a,1,a,1,1.0,20260515
50,1,cyclic_pair_a_a2,2,a aa,1,1.0,20260515
50,1,cyclic_triple_a_a2_a3,3,a aa aaa,1,1.0,20260515
50,1,duplicate_pair_a_a,2,a a,1,1.0,20260515
50,1,rank_two_pair_a_b,2,a b,0,0.0,20260515
50,1,rank_two_pair_ab_aB,2,ab aB,0,0.0,20260515
50,1,independent_triple_a_b_c,3,a b c,0,0.0,20260515
50,1,commutator_single,1,abAB,2,2.0,20260515
50,1,mixed_identity_a,2,1 a,1,1.0,20260515
50,1,rank_two_four_a_b_ab_aB,4,a b ab aB,0,0.0,20260515
50,1,independent_four,4,a b c d,0,0.0,20260515
50,1,cyclic_four,4,a aa aaa aaaa,1,1.0,20260515
50,1,rank_two_eight,8,a b ab aB ba bA aba abA,0,0.0,20260515
