family,n,mean,variance,q50,q90,q99,normalized_mean
cancel_control,50,50.0,0.0,50.0,50.0,50.0,50.0
cancel_control,100,100.0,0.0,100.0,100.0,100.0,100.0
cancel_control,200,200.0,0.0,200.0,200.0,200.0,200.0
cancel_control,400,400.0,0.0,400.0,400.0,400.0,400.0
commutator_single,50,1.0335,1.041898699349675,1.0,2.0,4.0,1.0335
commutator_single,100,1.022,1.0390355177588795,1.0,2.0,4.0,1.022
commutator_single,200,1.0565,1.0328241620810406,1.0,2.0,4.0,1.0565
commutator_single,400,1.048,1.0112016008004003,1.0,2.0,4.0,1.048
cyclic_eight,50,0.9555,1.013026263131566,1.0,2.0,4.0,0.9555
cyclic_eight,100,1.024,0.974911455727864,1.0,2.0,4.0,1.024
cyclic_eight,200,1.0075,1.0449662331165581,1.0,2.0,4.0,1.0075
cyclic_eight,400,1.0175,0.9946910955477739,1.0,2.0,4.0,1.0175
cyclic_four,50,0.9555,1.013026263131566,1.0,2.0,4.0,0.9555
cyclic_four,100,1.024,0.974911455727864,1.0,2.0,4.0,1.024
cyclic_four,200,1.0075,1.0449662331165581,1.0,2.0,4.0,1.0075
cyclic_four,400,1.0175,0.9946910955477739,1.0,2.0,4.0,1.0175
cyclic_pair_a_a2,50,0.9555,1.013026263131566,1.0,2.0,4.0,0.9555
cyclic_pair_a_a2,100,1.024,0.974911455727864,1.0,2.0,4.0,1.024
cyclic_pair_a_a2,200,1.0075,1.0449662331165581,1.0,2.0,4.0,1.0075
cyclic_pair_a_a2,400,1.0175,0.9946910955477739,1.0,2.0,4.0,1.0175
cyclic_triple_a_a2_a3,50,0.9555,1.013026263131566,1.0,2.0,4.0,0.9555
cyclic_triple_a_a2_a3,100,1.024,0.974911455727864,1.0,2.0,4.0,1.024
cyclic_triple_a_a2_a3,200,1.0075,1.0449662331165581,1.0,2.0,4.0,1.0075
cyclic_triple_a_a2_a3,400,1.0175,0.9946910955477739,1.0,2.0,4.0,1.0175
duplicate_pair_a_a,50,0.9555,1.013026263131566,1.0,2.0,4.0,0.9555
duplicate_pair_a_a,100,1.024,0.974911455727864,1.0,2.0,4.0,1.024
duplicate_pair_a_a,200,1.0075,1.0449662331165581,1.0,2.0,4.0,1.0075
duplicate_pair_a_a,400,1.0175,0.9946910955477739,1.0,2.0,4.0,1.0175
identity_control,50,50.0,0.0,50.0,50.0,50.0,50.0
identity_control,100,100.0,0.0,100.0,100.0,100.0,100.0
identity_control,200,200.0,0.0,200.0,200.0,200.0,200.0
identity_control,400,400.0,0.0,400.0,400.0,400.0,400.0
independent_eight,50,0.0,0.0,0.0,0.0,0.0,0.0
independent_eight,100,0.0,0.0,0.0,0.0,0.0,0.0
independent_eight,200,0.0,0.0,0.0,0.0,0.0,0.0
independent_eight,400,0.0,0.0,0.0,0.0,0.0,0.0
independent_four,50,0.0,0.0,0.0,0.0,0.0,0.0
independent_four,100,0.0,0.0,0.0,0.0,0.0,0.0
independent_four,200,0.0,0.0,0.0,0.0,0.0,0.0
independent_four,400,0.0,0.0,0.0,0.0,0.0,0.0
independent_triple_a_b_c,50,0.0005,0.0005000000000000001,0.0,0.0,0.0,1.25
independent_triple_a_b_c,100,0.0005,0.0005000000000000001,0.0,0.0,0.0,5.0
independent_triple_a_b_c,200,0.0,0.0,0.0,0.0,0.0,0.0
independent_triple_a_b_c,400,0.0,0.0,0.0,0.0,0.0,0.0
mixed_identity_a,50,0.9555,1.013026263131566,1.0,2.0,4.0,0.9555
mixed_identity_a,100,1.024,0.974911455727864,1.0,2.0,4.0,1.024
mixed_identity_a,200,1.0075,1.0449662331165581,1.0,2.0,4.0,1.0075
mixed_identity_a,400,1.0175,0.9946910955477739,1.0,2.0,4.0,1.0175
rank_two_eight,50,0.0195,0.01912931465732866,0.0,0.0,1.0,0.975
rank_two_eight,100,0.0115,0.011373436718359175,0.0,0.0,1.0,1.15
rank_two_eight,200,0.008,0.007939969984992494,0.0,0.0,0.0,1.6
rank_two_eight,400,0.004,0.003985992996498249,0.0,0.0,0.0,1.6
rank_two_four_a_b_ab_aB,50,0.0195,0.01912931465732866,0.0,0.0,1.0,0.975
rank_two_four_a_b_ab_aB,100,0.0115,0.011373436718359175,0.0,0.0,1.0,1.15
rank_two_four_a_b_ab_aB,200,0.008,0.007939969984992494,0.0,0.0,0.0,1.6
rank_two_four_a_b_ab_aB,400,0.004,0.003985992996498249,0.0,0.0,0.0,1.6
rank_two_pair_a_b,50,0.0195,0.01912931465732866,0.0,0.0,1.0,0.975
rank_two_pair_a_b,100,0.0115,0.011373436718359175,0.0,0.0,1.0,1.15
rank_two_pair_a_b,200,0.008,0.007939969984992494,0.0,0.0,0.0,1.6
rank_two_pair_a_b,400,0.004,0.003985992996498249,0.0,0.0,0.0,1.6
rank_two_pair_ab_aB,50,0.0405,0.04088019009504753,0.0,0.0,1.0,2.025
rank_two_pair_ab_aB,100,0.0215,0.0220487743871936,0.0,0.0,1.0,2.15
rank_two_pair_ab_aB,200,0.0125,0.01234992496248124,0.0,0.0,1.0,2.5
rank_two_pair_ab_aB,400,0.005,0.004977488744372188,0.0,0.0,0.0,2.0
single_a,50,0.9555,1.013026263131566,1.0,2.0,4.0,0.9555
single_a,100,1.024,0.974911455727864,1.0,2.0,4.0,1.024
single_a,200,1.0075,1.0449662331165581,1.0,2.0,4.0,1.0075
single_a,400,1.0175,0.9946910955477739,1.0,2.0,4.0,1.0175
