family,n,mean,variance,q50,q90,q99,normalized_mean
cancel_control,50,50.0,0.0,50.0,50.0,50.0,50.0
cancel_control,100,100.0,0.0,100.0,100.0,100.0,100.0
cancel_control,200,200.0,0.0,200.0,200.0,200.0,200.0
commutator_single,50,1.05,0.6815789473684211,1.0,2.0,2.0,1.05
commutator_single,100,1.1,0.9368421052631579,1.0,2.1000000000000014,3.0,1.1
commutator_single,200,0.95,0.681578947368421,1.0,2.0,2.8099999999999987,0.95
cyclic_eight,50,0.95,0.47105263157894744,1.0,2.0,2.0,0.95
cyclic_eight,100,1.15,0.8710526315789474,1.0,2.0,2.8099999999999987,1.15
cyclic_eight,200,0.85,0.5552631578947369,1.0,2.0,2.0,0.85
cyclic_four,50,0.95,0.47105263157894744,1.0,2.0,2.0,0.95
cyclic_four,100,1.15,0.8710526315789474,1.0,2.0,2.8099999999999987,1.15
cyclic_four,200,0.85,0.5552631578947369,1.0,2.0,2.0,0.85
cyclic_pair_a_a2,50,0.95,0.47105263157894744,1.0,2.0,2.0,0.95
cyclic_pair_a_a2,100,1.15,0.8710526315789474,1.0,2.0,2.8099999999999987,1.15
cyclic_pair_a_a2,200,0.85,0.5552631578947369,1.0,2.0,2.0,0.85
cyclic_triple_a_a2_a3,50,0.95,0.47105263157894744,1.0,2.0,2.0,0.95
cyclic_triple_a_a2_a3,100,1.15,0.8710526315789474,1.0,2.0,2.8099999999999987,1.15
cyclic_triple_a_a2_a3,200,0.85,0.5552631578947369,1.0,2.0,2.0,0.85
duplicate_pair_a_a,50,0.95,0.47105263157894744,1.0,2.0,2.0,0.95
duplicate_pair_a_a,100,1.15,0.8710526315789474,1.0,2.0,2.8099999999999987,1.15
duplicate_pair_a_a,200,0.85,0.5552631578947369,1.0,2.0,2.0,0.85
identity_control,50,50.0,0.0,50.0,50.0,50.0,50.0
identity_control,100,100.0,0.0,100.0,100.0,100.0,100.0
identity_control,200,200.0,0.0,200.0,200.0,200.0,200.0
mixed_identity_a,50,0.95,0.47105263157894744,1.0,2.0,2.0,0.95
mixed_identity_a,100,1.15,0.8710526315789474,1.0,2.0,2.8099999999999987,1.15
mixed_identity_a,200,0.85,0.5552631578947369,1.0,2.0,2.0,0.85
noncyclic_eight,50,0.1,0.09473684210526317,0.0,0.10000000000000142,1.0,78125000000.0
noncyclic_eight,100,0.0,0.0,0.0,0.0,0.0,0.0
noncyclic_eight,200,0.0,0.0,0.0,0.0,0.0,0.0
noncyclic_four,50,0.1,0.09473684210526317,0.0,0.10000000000000142,1.0,12500.0
noncyclic_four,100,0.0,0.0,0.0,0.0,0.0,0.0
noncyclic_four,200,0.0,0.0,0.0,0.0,0.0,0.0
rank_two_pair_a_b,50,0.1,0.09473684210526317,0.0,0.10000000000000142,1.0,5.0
rank_two_pair_a_b,100,0.0,0.0,0.0,0.0,0.0,0.0
rank_two_pair_a_b,200,0.0,0.0,0.0,0.0,0.0,0.0
rank_two_pair_ab_aB,50,0.1,0.09473684210526317,0.0,0.10000000000000142,1.0,5.0
rank_two_pair_ab_aB,100,0.05,0.04999999999999999,0.0,0.0,0.8099999999999987,5.0
rank_two_pair_ab_aB,200,0.0,0.0,0.0,0.0,0.0,0.0
rank_two_triple_a_b_ab,50,0.1,0.09473684210526317,0.0,0.10000000000000142,1.0,250.0
rank_two_triple_a_b_ab,100,0.0,0.0,0.0,0.0,0.0,0.0
rank_two_triple_a_b_ab,200,0.0,0.0,0.0,0.0,0.0,0.0
single_a,50,0.95,0.47105263157894744,1.0,2.0,2.0,0.95
single_a,100,1.15,0.8710526315789474,1.0,2.0,2.8099999999999987,1.15
single_a,200,0.85,0.5552631578947369,1.0,2.0,2.0,0.85
