n,sample_mode,template,vertices,edges,labels_used,cyclomatic_rank,is_rank_one_template,embedding_count_estimate,success_probability,naive_power,normalized_count,standard_error,samples,seed
3,exact,cyclic_power_quotient,2,2,a,1,1,1.0,0.16666666666666666,0,1.0,0.0,0,20260515
3,monte_carlo,cyclic_power_quotient,2,2,a,1,1,1.0,0.16666666666666669,0,1.0,2.355374237227434e-18,5000,20260515
3,exact,eight_word_cyclic_toy,8,8,a,1,1,0.0,0.0,0,0.0,0.0,0,20260515
3,monte_carlo,eight_word_cyclic_toy,8,8,a,1,1,0.0,0.0,0,0.0,0.0,5000,20260515
3,exact,eight_word_rank2_toy,7,8,a b,2,0,0.0,0.0,-1,0.0,0.0,0,20260515
3,monte_carlo,eight_word_rank2_toy,7,8,a b,2,0,0.0,0.0,-1,0.0,0.0,5000,20260515
3,exact,figure_eight_ab,1,2,a b,2,0,0.3333333333333333,0.1111111111111111,-1,1.0,0.0,0,20260515
3,monte_carlo,figure_eight_ab,1,2,a b,2,0,0.33333333333333337,0.11111111111111113,-1,1.0000000000000002,1.177687118613717e-18,5000,20260515
3,exact,no_edge_control,2,0,,0,0,6.0,1.0,2,0.6666666666666666,0.0,0,20260515
3,monte_carlo,no_edge_control,2,0,,0,0,6.0,1.0,2,0.6666666666666666,0.0,5000,20260515
3,exact,single_label_cycle,1,1,a,1,1,1.0,0.3333333333333333,0,1.0,0.0,0,20260515
3,monte_carlo,single_label_cycle,1,1,a,1,1,1.0,0.33333333333333337,0,1.0,2.355374237227434e-18,5000,20260515
3,exact,theta_mixed,2,3,a b,2,0,0.3333333333333333,0.05555555555555555,-1,1.0,0.0,0,20260515
3,monte_carlo,theta_mixed,2,3,a b,2,0,0.33333333333333337,0.055555555555555566,-1,1.0000000000000002,1.177687118613717e-18,5000,20260515
3,exact,trace_pair_toy,3,4,a b,2,0,0.16666666666666666,0.027777777777777776,-1,0.5,0.0,0,20260515
3,monte_carlo,trace_pair_toy,3,4,a b,2,0,0.16666666666666669,0.027777777777777783,-1,0.5000000000000001,5.888435593068585e-19,5000,20260515
4,exact,cyclic_power_quotient,2,2,a,1,1,1.0,0.08333333333333333,0,1.0,0.0,0,20260515
4,monte_carlo,cyclic_power_quotient,2,2,a,1,1,1.0,0.08333333333333334,0,1.0,2.355374237227434e-18,5000,20260515
