degree,endpoint_derivative,degree_squared,ratio
1,1,1,1.0
2,4,4,1.0
3,9,9,1.0
4,16,16,1.0
5,25,25,1.0
6,36,36,1.0
7,49,49,1.0
8,64,64,1.0
9,81,81,1.0
10,100,100,1.0
11,121,121,1.0
12,144,144,1.0
13,169,169,1.0
14,196,196,1.0
15,225,225,1.0
16,256,256,1.0
17,289,289,1.0
18,324,324,1.0
19,361,361,1.0
20,400,400,1.0
21,441,441,1.0
22,484,484,1.0
23,529,529,1.0
24,576,576,1.0
25,625,625,1.0
26,676,676,1.0
27,729,729,1.0
28,784,784,1.0
29,841,841,1.0
30,900,900,1.0
31,961,961,1.0
32,1024,1024,1.0
33,1089,1089,1.0
34,1156,1156,1.0
35,1225,1225,1.0
36,1296,1296,1.0
37,1369,1369,1.0
38,1444,1444,1.0
39,1521,1521,1.0
40,1600,1600,1.0
41,1681,1681,1.0
42,1764,1764,1.0
43,1849,1849,1.0
44,1936,1936,1.0
45,2025,2025,1.0
46,2116,2116,1.0
47,2209,2209,1.0
48,2304,2304,1.0
49,2401,2401,1.0
50,2500,2500,1.0
51,2601,2601,1.0
52,2704,2704,1.0
53,2809,2809,1.0
54,2916,2916,1.0
55,3025,3025,1.0
56,3136,3136,1.0
57,3249,3249,1.0
58,3364,3364,1.0
59,3481,3481,1.0
60,3600,3600,1.0
61,3721,3721,1.0
62,3844,3844,1.0
63,3969,3969,1.0
64,4096,4096,1.0
