n,trial,observable,value,seed
100,0,top_nontrivial_1,3.4439873117858473,20260515
100,0,top_nontrivial_2,3.334481184913041,20260515
100,0,top_nontrivial_3,3.28103254425806,20260515
100,0,top_nontrivial_4,3.2564857636828366,20260515
100,0,top_nontrivial_5,3.1129526942919967,20260515
100,0,window_neg_edge,0.21,20260515
100,0,window_neg_mid,0.28,20260515
100,0,window_pos_mid,0.27,20260515
100,0,window_pos_edge,0.24,20260515
100,0,trace_moment_2_per_vertex,4.18,20260515
100,0,centered_trace_moment_2,0.17999999999999972,20260515
100,0,trace_moment_4_per_vertex,31.38000000000001,20260515
100,0,centered_trace_moment_4,3.3800000000000097,20260515
100,0,trace_moment_6_per_vertex,286.6600000000002,20260515
100,0,centered_trace_moment_6,54.660000000000196,20260515
100,0,trace_moment_8_per_vertex,2938.900000000004,20260515
100,0,centered_trace_moment_8,846.9000000000042,20260515
100,0,spectral_radius_nontrivial,3.4439873117858473,20260515
100,1,top_nontrivial_1,3.4201898022597716,20260515
100,1,top_nontrivial_2,3.362402411289101,20260515
100,1,top_nontrivial_3,3.2700403374379667,20260515
100,1,top_nontrivial_4,3.1956620700775162,20260515
100,1,top_nontrivial_5,3.14978769928552,20260515
100,1,window_neg_edge,0.21,20260515
100,1,window_neg_mid,0.27,20260515
100,1,window_pos_mid,0.3,20260515
100,1,window_pos_edge,0.22,20260515
100,1,trace_moment_2_per_vertex,4.18,20260515
100,1,centered_trace_moment_2,0.17999999999999972,20260515
100,1,trace_moment_4_per_vertex,31.46,20260515
100,1,centered_trace_moment_4,3.460000000000001,20260515
100,1,trace_moment_6_per_vertex,287.43999999999994,20260515
100,1,centered_trace_moment_6,55.43999999999994,20260515
100,1,trace_moment_8_per_vertex,2939.2999999999993,20260515
100,1,centered_trace_moment_8,847.2999999999993,20260515
100,1,spectral_radius_nontrivial,3.4201898022597716,20260515
100,2,top_nontrivial_1,3.5053283552525962,20260515
100,2,top_nontrivial_2,3.3647976776774264,20260515
100,2,top_nontrivial_3,3.2961184660378477,20260515
