case,n,vanishing_lambda,derivative_residual_l2_sq,objective,physical_l2_error,trace_value,fixed_trace_certificate
bad_constant,1,1.0,0.0,1.0,1.0,1.0,1.0
shrinking_constant_control,1,1.0,0.0,1.0,1.0,1.0,1.0
bad_constant,2,0.25,0.0,0.25,1.0,1.0,1.0
shrinking_constant_control,2,0.25,0.0,0.0625,0.5,0.5,0.25
bad_constant,4,0.0625,0.0,0.0625,1.0,1.0,1.0
shrinking_constant_control,4,0.0625,0.0,0.00390625,0.25,0.25,0.0625
bad_constant,8,0.015625,0.0,0.015625,1.0,1.0,1.0
shrinking_constant_control,8,0.015625,0.0,0.000244140625,0.125,0.125,0.015625
bad_constant,16,0.00390625,0.0,0.00390625,1.0,1.0,1.0
shrinking_constant_control,16,0.00390625,0.0,1.52587890625e-05,0.0625,0.0625,0.00390625
bad_constant,32,0.0009765625,0.0,0.0009765625,1.0,1.0,1.0
shrinking_constant_control,32,0.0009765625,0.0,9.5367431640625e-07,0.03125,0.03125,0.0009765625
bad_constant,64,0.000244140625,0.0,0.000244140625,1.0,1.0,1.0
shrinking_constant_control,64,0.000244140625,0.0,5.960464477539063e-08,0.015625,0.015625,0.000244140625
bad_constant,128,6.103515625e-05,0.0,6.103515625e-05,1.0,1.0,1.0
shrinking_constant_control,128,6.103515625e-05,0.0,3.725290298461914e-09,0.0078125,0.0078125,6.103515625e-05
