case,k,s,objective,physical_l2_error,strong_l2_certificate,matched_stability_baseline,classification
direct_Hminus_failure,1,1.0,0.5,1.0,1.0,0.0,failure
direct_Hminus_failure,1,2.0,0.25,1.0,1.0,0.0,failure
elliptic_matched_negative_control,1,2.0,1.0,1.0,1.0,1.0,stability_baseline
direct_Hminus_failure,2,1.0,0.2,1.0,1.0,0.0,failure
direct_Hminus_failure,2,2.0,0.04,1.0,1.0,0.0,failure
elliptic_matched_negative_control,2,2.0,1.0,1.0,1.0,1.0,stability_baseline
direct_Hminus_failure,4,1.0,0.058823529411764705,1.0,1.0,0.0,failure
direct_Hminus_failure,4,2.0,0.0034602076124567475,1.0,1.0,0.0,failure
elliptic_matched_negative_control,4,2.0,1.0,1.0,1.0,1.0,stability_baseline
direct_Hminus_failure,8,1.0,0.015384615384615385,1.0,1.0,0.0,failure
direct_Hminus_failure,8,2.0,0.00023668639053254438,1.0,1.0,0.0,failure
elliptic_matched_negative_control,8,2.0,1.0,1.0,1.0,1.0,stability_baseline
direct_Hminus_failure,16,1.0,0.0038910505836575876,1.0,1.0,0.0,failure
direct_Hminus_failure,16,2.0,1.5140274644582053e-05,1.0,1.0,0.0,failure
elliptic_matched_negative_control,16,2.0,1.0,1.0,1.0,1.0,stability_baseline
direct_Hminus_failure,32,1.0,0.000975609756097561,1.0,1.0,0.0,failure
direct_Hminus_failure,32,2.0,9.518143961927424e-07,1.0,1.0,0.0,failure
elliptic_matched_negative_control,32,2.0,1.0,1.0,1.0,1.0,stability_baseline
direct_Hminus_failure,64,1.0,0.000244081034903588,1.0,1.0,0.0,failure
direct_Hminus_failure,64,2.0,5.957555159960654e-08,1.0,1.0,0.0,failure
elliptic_matched_negative_control,64,2.0,1.0,1.0,1.0,1.0,stability_baseline
direct_Hminus_failure,128,1.0,6.1031431187061336e-05,1.0,1.0,0.0,failure
direct_Hminus_failure,128,2.0,3.7248355927410033e-09,1.0,1.0,0.0,failure
elliptic_matched_negative_control,128,2.0,1.0,1.0,1.0,1.0,stability_baseline
