"alpha_case","r","candidate","solved","cleared_difference"
0,0,"1","1","0"
0,1,"-(q*(1 + q))","-(q*(1 + q))","0"
0,2,"q^5*(1 + q^2)","q^5 + q^7","0"
0,3,"-(q^12*(1 + q^3))","-(q^12*(1 + q^3))","0"
0,4,"q^22*(1 + q^4)","q^22 + q^26","0"
0,5,"-(q^35*(1 + q^5))","-(q^35*(1 + q^5))","0"
0,6,"q^51*(1 + q^6)","q^51 + q^57","0"
0,7,"-(q^70*(1 + q^7))","-(q^70*(1 + q^7))","0"
0,8,"q^92*(1 + q^8)","q^92*(1 + q^8)","0"
0,9,"-(q^117*(1 + q^9))","-(q^117*(1 + q^9))","0"
0,10,"q^145*(1 + q^10)","q^145 + q^155","0"
0,11,"-(q^176*(1 + q^11))","-(q^176*(1 + q^11))","0"
0,12,"q^210*(1 + q^12)","q^210 + q^222","0"
1,0,"1","1","0"
1,1,"-(q^2*(1 + q + q^2))","-(q^2*(1 + q + q^2))","0"
1,2,"q^7*(1 + q + q^2 + q^3 + q^4)","q^7*(1 + q + q^2 + q^3 + q^4)","0"
1,3,"-(q^15*(1 + q + q^2 + q^3 + q^4 + q^5 + q^6))","-(q^15*(1 + q + q^2 + q^3 + q^4 + q^5 + q^6))","0"
1,4,"q^26*(1 + q + q^2 + q^3 + q^4 + q^5 + q^6 + q^7 + q^8)","q^26*(1 + q + q^2)*(1 + q^3 + q^6)","0"
1,5,"-(q^40*(1 + q + q^2 + q^3 + q^4 + q^5 + q^6 + q^7 + q^8 + q^9 + q^10))","-(q^40*(1 + q + q^2*(1 + q + q^2)*(1 + q^3 + q^6)))","0"
1,6,"q^57*(1 + q + q^2 + q^3 + q^4 + q^5 + q^6 + q^7 + q^8 + q^9 + q^10 + q^11 + q^12)","q^57*(1 + q*(1 + q)*(1 + (-1 + q)*q)*(1 + q^2)*(1 + q + q^2)*(1 - q^2 + q^4))","0"
1,7,"-(q^77*(1 + q + q^2 + q^3 + q^4 + q^5 + q^6 + q^7 + q^8 + q^9 + q^10 + q^11 + q^12 + q^13 + q^14))","-(q^77*(1 + q + q^2)*(1 + q + q^2 + q^3 + q^4)*(1 + (-1 + q)*q*(1 + q)*(1 + q^2)*(1 + (-1 + q)*q^2)))","0"
1,8,"q^100*(1 + q + q^2 + q^3 + q^4 + q^5 + q^6 + q^7 + q^8 + q^9 + q^10 + q^11 + q^12 + q^13 + q^14 + q^15 + q^16)","q^100*(1 + q*(1 + q)*(1 + q^2)*(1 + q^4)*(1 + q^8))","0"
1,9,"-(q^126*(1 + q + q^2 + q^3 + q^4 + q^5 + q^6 + q^7 + q^8 + q^9 + q^10 + q^11 + q^12 + q^13 + q^14 + q^15 + q^16 + q^17 + q^18))","-(q^126*(1 + q*(1 + q)*(1 + (-1 + q)*q)*(1 + q + q^2)*(1 - q^3 + q^6)*(1 + q^3 + q^6)))","0"
1,10,"q^155*(1 + q + q^2 + q^3 + q^4 + q^5 + q^6 + q^7 + q^8 + q^9 + q^10 + q^11 + q^12 + q^13 + q^14 + q^15 + q^16 + q^17 + q^18 + q^19 + q^20)","q^155*(1 + q + q^2)*(1 + q + q^2 + q^3 + q^4 + q^5 + q^6)*(1 + (-1 + q)*q*(1 + q)*(1 + (-1 + q)*q)*(1 + q + q^7))","0"
1,11,"-(q^187*(1 + q + q^2 + q^3 + q^4 + q^5 + q^6 + q^7 + q^8 + q^9 + q^10 + q^11 + q^12 + q^13 + q^14 + q^15 + q^16 + q^17 + q^18 + q^19 + q^20 + q^21 + q^22))","-(q^187*(1 + q + q^2*(1 + q + q^2)*(1 + q + q^2 + q^3 + q^4 + q^5 + q^6)*(1 + (-1 + q)*q*(1 + q)*(1 + (-1 + q)*q)*(1 + q + q^7))))","0"
1,12,"q^222*(1 + q + q^2 + q^3 + q^4 + q^5 + q^6 + q^7 + q^8 + q^9 + q^10 + q^11 + q^12 + q^13 + q^14 + q^15 + q^16 + q^17 + q^18 + q^19 + q^20 + q^21 + q^22 + q^23 + q^24)","q^222*(1 + q + q^2 + q^3 + q^4)*(1 + q^5 + q^10 + q^15 + q^20)","0"
