"check","alpha_case","n","first_nonzero_k","max_abs_coeff","cleared_numerator"
"triangular_pair_residual",0,0,"none_through_KMax",0,"0"
"triangular_pair_residual",0,1,"none_through_KMax",0,"0"
"triangular_pair_residual",0,2,"none_through_KMax",0,"0"
"triangular_pair_residual",0,3,"none_through_KMax",0,"0"
"triangular_pair_residual",0,4,"none_through_KMax",0,"0"
"triangular_pair_residual",0,5,"none_through_KMax",0,"0"
"triangular_pair_residual",0,6,"none_through_KMax",0,"0"
"triangular_pair_residual",0,7,"none_through_KMax",0,"0"
"triangular_pair_residual",0,8,"none_through_KMax",0,"0"
"triangular_pair_residual",0,9,"none_through_KMax",0,"0"
"triangular_pair_residual",0,10,"none_through_KMax",0,"0"
"triangular_pair_residual",0,11,"none_through_KMax",0,"0"
"triangular_pair_residual",0,12,"none_through_KMax",0,"0"
"triangular_pair_residual",1,0,"none_through_KMax",0,"0"
"triangular_pair_residual",1,1,"none_through_KMax",0,"0"
"triangular_pair_residual",1,2,"none_through_KMax",0,"0"
"triangular_pair_residual",1,3,"none_through_KMax",0,"0"
"triangular_pair_residual",1,4,"none_through_KMax",0,"0"
"triangular_pair_residual",1,5,"none_through_KMax",0,"0"
"triangular_pair_residual",1,6,"none_through_KMax",0,"0"
"triangular_pair_residual",1,7,"none_through_KMax",0,"0"
"triangular_pair_residual",1,8,"none_through_KMax",0,"0"
"triangular_pair_residual",1,9,"none_through_KMax",0,"0"
"triangular_pair_residual",1,10,"none_through_KMax",0,"0"
"triangular_pair_residual",1,11,"none_through_KMax",0,"0"
"triangular_pair_residual",1,12,"none_through_KMax",0,"0"
