alpha,weight,partition,length,staircase,mu,mu_residues,beta_set,beta_residues,shifted_beta,shifted_beta_residues,beta_runner_counts,shifted_runner_counts,beta_quotient_sum,shifted_quotient_sum
0,0,,0,,,,,,,,0 0 0 0 0,0 0 0 0 0,0,0
0,1,1,1,1,0,0,1,1,0,0,0 1 0 0 0,1 0 0 0 0,0,0
0,2,2,1,1,1,1,2,2,1,1,0 0 1 0 0,0 1 0 0 0,0,0
0,3,3,1,1,2,2,3,3,2,2,0 0 0 1 0,0 0 1 0 0,0,0
0,4,4,1,1,3,3,4,4,3,3,0 0 0 0 1,0 0 0 1 0,0,0
0,4,3 1,2,3 1,0 0,0 0,4 1,4 1,2 -1,2 4,0 1 0 0 1,0 0 1 0 1,0,-1
0,5,5,1,1,4,4,5,0,4,4,1 0 0 0 0,0 0 0 0 1,1,0
0,5,4 1,2,3 1,1 0,1 0,5 1,0 1,3 -1,3 4,1 1 0 0 0,0 0 0 1 1,1,-1
0,6,6,1,1,5,0,6,1,5,0,0 1 0 0 0,1 0 0 0 0,1,1
0,6,5 1,2,3 1,2 0,2 0,6 1,1 1,4 -1,4 4,0 2 0 0 0,0 0 0 0 2,1,-1
0,6,4 2,2,3 1,1 1,1 1,5 2,0 2,3 0,3 0,1 0 1 0 0,1 0 0 1 0,1,0
0,7,7,1,1,6,1,7,2,6,1,0 0 1 0 0,0 1 0 0 0,1,1
0,7,6 1,2,3 1,3 0,3 0,7 1,2 1,5 -1,0 4,0 1 1 0 0,1 0 0 0 1,1,0
0,7,5 2,2,3 1,2 1,2 1,6 2,1 2,4 0,4 0,0 1 1 0 0,1 0 0 0 1,1,0
0,8,8,1,1,7,2,8,3,7,2,0 0 0 1 0,0 0 1 0 0,1,1
0,8,7 1,2,3 1,4 0,4 0,8 1,3 1,6 -1,1 4,0 1 0 1 0,0 1 0 0 1,1,0
0,8,6 2,2,3 1,3 1,3 1,7 2,2 2,5 0,0 0,0 0 2 0 0,2 0 0 0 0,1,1
0,8,5 3,2,3 1,2 2,2 2,6 3,1 3,4 1,4 1,0 1 0 1 0,0 1 0 0 1,1,0
0,9,9,1,1,8,3,9,4,8,3,0 0 0 0 1,0 0 0 1 0,1,1
0,9,8 1,2,3 1,5 0,0 0,9 1,4 1,7 -1,2 4,0 1 0 0 1,0 0 1 0 1,1,0
0,9,7 2,2,3 1,4 1,4 1,8 2,3 2,6 0,1 0,0 0 1 1 0,1 1 0 0 0,1,1
0,9,6 3,2,3 1,3 2,3 2,7 3,2 3,5 1,0 1,0 0 1 1 0,1 1 0 0 0,1,1
0,9,5 3 1,3,5 3 1,0 0 0,0 0 0,7 4 1,2 4 1,4 1 -2,4 1 3,0 1 1 0 1,0 1 0 1 1,1,-1
