alpha,weight,partition,length,allowed_residues,multiplicity_vector,runner_counts,allowed_count_difference,quotient_sum,max_part
0,0,,0,1 4,,0 0 0 0 0,0,0,0
0,1,1,1,1 4,1:0:1,0 1 0 0 0,1,0,1
0,2,1 1,2,1 4,1:0:2,0 2 0 0 0,2,0,1
0,3,1 1 1,3,1 4,1:0:3,0 3 0 0 0,3,0,1
0,4,4,1,1 4,4:0:1,0 0 0 0 1,-1,0,4
0,4,1 1 1 1,4,1 4,1:0:4,0 4 0 0 0,4,0,1
0,5,4 1,2,1 4,1:0:1;4:0:1,0 1 0 0 1,0,0,4
0,5,1 1 1 1 1,5,1 4,1:0:5,0 5 0 0 0,5,0,1
0,6,6,1,1 4,1:1:1,0 1 0 0 0,1,1,6
0,6,4 1 1,3,1 4,1:0:2;4:0:1,0 2 0 0 1,1,0,4
0,6,1 1 1 1 1 1,6,1 4,1:0:6,0 6 0 0 0,6,0,1
0,7,6 1,2,1 4,1:0:1;1:1:1,0 2 0 0 0,2,1,6
0,7,4 1 1 1,4,1 4,1:0:3;4:0:1,0 3 0 0 1,2,0,4
0,7,1 1 1 1 1 1 1,7,1 4,1:0:7,0 7 0 0 0,7,0,1
0,8,6 1 1,3,1 4,1:0:2;1:1:1,0 3 0 0 0,3,1,6
0,8,4 4,2,1 4,4:0:2,0 0 0 0 2,-2,0,4
0,8,4 1 1 1 1,5,1 4,1:0:4;4:0:1,0 4 0 0 1,3,0,4
0,8,1 1 1 1 1 1 1 1,8,1 4,1:0:8,0 8 0 0 0,8,0,1
0,9,9,1,1 4,4:1:1,0 0 0 0 1,-1,1,9
0,9,6 1 1 1,4,1 4,1:0:3;1:1:1,0 4 0 0 0,4,1,6
0,9,4 4 1,3,1 4,1:0:1;4:0:2,0 1 0 0 2,-1,0,4
0,9,4 1 1 1 1 1,6,1 4,1:0:5;4:0:1,0 5 0 0 1,4,0,4
0,9,1 1 1 1 1 1 1 1 1,9,1 4,1:0:9,0 9 0 0 0,9,0,1
0,10,9 1,2,1 4,1:0:1;4:1:1,0 1 0 0 1,0,1,9
0,10,6 4,2,1 4,1:1:1;4:0:1,0 1 0 0 1,0,1,6
0,10,6 1 1 1 1,5,1 4,1:0:4;1:1:1,0 5 0 0 0,5,1,6
0,10,4 4 1 1,4,1 4,1:0:2;4:0:2,0 2 0 0 2,0,0,4
0,10,4 1 1 1 1 1 1,7,1 4,1:0:6;4:0:1,0 6 0 0 1,5,0,4
0,10,1 1 1 1 1 1 1 1 1 1,10,1 4,1:0:10,0 10 0 0 0,10,0,1
0,11,11,1,1 4,1:2:1,0 1 0 0 0,1,2,11
0,11,9 1 1,3,1 4,1:0:2;4:1:1,0 2 0 0 1,1,1,9
0,11,6 4 1,3,1 4,1:0:1;1:1:1;4:0:1,0 2 0 0 1,1,1,6
0,11,6 1 1 1 1 1,6,1 4,1:0:5;1:1:1,0 6 0 0 0,6,1,6
0,11,4 4 1 1 1,5,1 4,1:0:3;4:0:2,0 3 0 0 2,1,0,4
0,11,4 1 1 1 1 1 1 1,8,1 4,1:0:7;4:0:1,0 7 0 0 1,6,0,4
0,11,1 1 1 1 1 1 1 1 1 1 1,11,1 4,1:0:11,0 11 0 0 0,11,0,1
0,12,11 1,2,1 4,1:0:1;1:2:1,0 2 0 0 0,2,2,11
0,12,9 1 1 1,4,1 4,1:0:3;4:1:1,0 3 0 0 1,2,1,9
0,12,6 6,2,1 4,1:1:2,0 2 0 0 0,2,2,6
0,12,6 4 1 1,4,1 4,1:0:2;1:1:1;4:0:1,0 3 0 0 1,2,1,6
0,12,6 1 1 1 1 1 1,7,1 4,1:0:6;1:1:1,0 7 0 0 0,7,1,6
0,12,4 4 4,3,1 4,4:0:3,0 0 0 0 3,-3,0,4
0,12,4 4 1 1 1 1,6,1 4,1:0:4;4:0:2,0 4 0 0 2,2,0,4
