"alpha","ansatz","degree","basis_terms","unknowns","equations","status","residual_zero"
0,"total_degree_polynomial",0,1,2,6,"no_solution","no"
0,"mod5_slice_2n_plus_k_r0",0,1,2,6,"no_solution","no"
0,"mod5_slice_2n_plus_k_r1",0,0,0,1,"no_solution","no"
0,"mod5_slice_2n_plus_k_r2",0,0,0,1,"no_solution","no"
0,"mod5_slice_2n_plus_k_r3",0,0,0,1,"no_solution","no"
0,"mod5_slice_2n_plus_k_r4",0,0,0,1,"no_solution","no"
0,"total_degree_polynomial",1,3,10,12,"no_solution","no"
0,"mod5_slice_2n_plus_k_r0",1,1,2,6,"no_solution","no"
0,"mod5_slice_2n_plus_k_r1",1,1,4,7,"no_solution","no"
0,"mod5_slice_2n_plus_k_r2",1,1,4,8,"no_solution","no"
0,"mod5_slice_2n_plus_k_r3",1,0,0,1,"no_solution","no"
0,"mod5_slice_2n_plus_k_r4",1,0,0,1,"no_solution","no"
0,"total_degree_polynomial",2,6,16,19,"no_solution","no"
0,"mod5_slice_2n_plus_k_r0",2,1,2,6,"no_solution","no"
0,"mod5_slice_2n_plus_k_r1",2,1,4,7,"no_solution","no"
0,"mod5_slice_2n_plus_k_r2",2,2,8,13,"no_solution","no"
0,"mod5_slice_2n_plus_k_r3",2,1,6,8,"no_solution","no"
0,"mod5_slice_2n_plus_k_r4",2,1,4,8,"no_solution","no"
0,"total_degree_polynomial",3,10,24,27,"no_solution","no"
0,"mod5_slice_2n_plus_k_r0",3,2,8,9,"no_solution","no"
0,"mod5_slice_2n_plus_k_r1",3,2,8,12,"no_solution","no"
0,"mod5_slice_2n_plus_k_r2",3,2,8,13,"no_solution","no"
0,"mod5_slice_2n_plus_k_r3",3,2,8,13,"no_solution","no"
0,"mod5_slice_2n_plus_k_r4",3,2,8,13,"no_solution","no"
1,"total_degree_polynomial",0,1,2,6,"no_solution","no"
1,"mod5_slice_2n_plus_k_r0",0,0,0,1,"no_solution","no"
1,"mod5_slice_2n_plus_k_r1",0,1,2,6,"no_solution","no"
1,"mod5_slice_2n_plus_k_r2",0,0,0,1,"no_solution","no"
1,"mod5_slice_2n_plus_k_r3",0,0,0,1,"no_solution","no"
1,"mod5_slice_2n_plus_k_r4",0,0,0,1,"no_solution","no"
1,"total_degree_polynomial",1,3,10,12,"no_solution","no"
1,"mod5_slice_2n_plus_k_r0",1,0,0,1,"no_solution","no"
1,"mod5_slice_2n_plus_k_r1",1,1,2,6,"no_solution","no"
1,"mod5_slice_2n_plus_k_r2",1,1,4,7,"no_solution","no"
1,"mod5_slice_2n_plus_k_r3",1,1,4,8,"no_solution","no"
1,"mod5_slice_2n_plus_k_r4",1,0,0,1,"no_solution","no"
1,"total_degree_polynomial",2,6,16,19,"no_solution","no"
1,"mod5_slice_2n_plus_k_r0",2,1,4,8,"no_solution","no"
1,"mod5_slice_2n_plus_k_r1",2,1,2,6,"no_solution","no"
1,"mod5_slice_2n_plus_k_r2",2,1,4,7,"no_solution","no"
1,"mod5_slice_2n_plus_k_r3",2,2,8,13,"no_solution","no"
1,"mod5_slice_2n_plus_k_r4",2,1,6,8,"no_solution","no"
1,"total_degree_polynomial",3,10,24,27,"no_solution","no"
1,"mod5_slice_2n_plus_k_r0",3,2,8,13,"no_solution","no"
1,"mod5_slice_2n_plus_k_r1",3,2,8,9,"no_solution","no"
1,"mod5_slice_2n_plus_k_r2",3,2,8,12,"no_solution","no"
1,"mod5_slice_2n_plus_k_r3",3,2,8,13,"no_solution","no"
1,"mod5_slice_2n_plus_k_r4",3,2,8,13,"no_solution","no"
