"alpha","n","k","exponent","sign","denominator_degree","linear_mod5_2n_plus_k_alpha","is_pentagonal_exponent"
0,0,0,0,1,0,0,1
0,0,1,1,-1,1,1,0
0,0,2,3,1,3,2,1
0,0,3,6,-1,6,3,0
0,0,4,10,1,10,4,0
0,0,5,15,-1,15,0,0
0,0,6,21,1,21,1,1
0,0,7,28,-1,28,2,0
0,0,8,36,1,36,3,0
0,1,0,1,1,0,2,0
0,1,1,3,-1,1,3,1
0,1,2,6,1,3,4,0
0,1,3,10,-1,6,0,0
0,1,4,15,1,10,1,0
0,1,5,21,-1,15,2,1
0,1,6,28,1,21,3,0
0,1,7,36,-1,28,4,0
0,2,0,4,1,0,4,0
0,2,1,7,-1,1,0,0
0,2,2,11,1,3,1,1
0,2,3,16,-1,6,2,0
0,2,4,22,1,10,3,0
0,2,5,29,-1,15,4,0
0,2,6,37,1,21,0,0
0,3,0,9,1,0,1,1
0,3,1,13,-1,1,2,0
0,3,2,18,1,3,3,0
0,3,3,24,-1,6,4,1
0,3,4,31,1,10,0,0
0,3,5,39,-1,15,1,0
0,4,0,16,1,0,3,0
0,4,1,21,-1,1,4,1
0,4,2,27,1,3,0,0
0,4,3,34,-1,6,1,0
0,5,0,25,1,0,0,0
0,5,1,31,-1,1,1,0
0,5,2,38,1,3,2,1
0,6,0,36,1,0,2,0
1,0,0,0,1,0,1,1
1,0,1,1,-1,1,2,1
1,0,2,3,1,3,3,0
1,0,3,6,-1,6,4,0
1,0,4,10,1,10,0,0
1,0,5,15,-1,15,1,0
1,0,6,21,1,21,2,0
1,0,7,28,-1,28,3,0
1,0,8,36,1,36,4,0
1,1,0,2,1,0,3,0
1,1,1,4,-1,1,4,1
1,1,2,7,1,3,0,1
1,1,3,11,-1,6,1,0
1,1,4,16,1,10,2,0
1,1,5,22,-1,15,3,0
1,1,6,29,1,21,4,0
1,1,7,37,-1,28,0,0
1,2,0,6,1,0,0,0
1,2,1,9,-1,1,1,0
1,2,2,13,1,3,2,1
1,2,3,18,-1,6,3,1
1,2,4,24,1,10,4,0
1,2,5,31,-1,15,0,0
1,2,6,39,1,21,1,0
1,3,0,12,1,0,2,0
1,3,1,16,-1,1,3,0
1,3,2,21,1,3,4,0
1,3,3,27,-1,6,0,1
1,3,4,34,1,10,1,1
1,4,0,20,1,0,4,0
1,4,1,25,-1,1,0,0
1,4,2,31,1,3,1,0
1,4,3,38,-1,6,2,0
1,5,0,30,1,0,1,0
1,5,1,36,-1,1,2,0
