failure_type,alpha,N,k_or_d,value,detail
finite_offset_window_not_closed,0,1,12,0,"one-step diagonal update for d=WMax requires T_{N-1}(WMax+1), outside the tracked finite window"
finite_offset_window_not_closed,0,2,12,0,"one-step diagonal update for d=WMax requires T_{N-1}(WMax+1), outside the tracked finite window"
finite_offset_window_not_closed,0,3,12,0,"one-step diagonal update for d=WMax requires T_{N-1}(WMax+1), outside the tracked finite window"
finite_offset_window_not_closed,0,4,12,0,"one-step diagonal update for d=WMax requires T_{N-1}(WMax+1), outside the tracked finite window"
finite_offset_window_not_closed,0,5,12,0,"one-step diagonal update for d=WMax requires T_{N-1}(WMax+1), outside the tracked finite window"
finite_offset_window_not_closed,0,6,12,1,"one-step diagonal update for d=WMax requires T_{N-1}(WMax+1), outside the tracked finite window"
finite_offset_window_not_closed,0,7,12,0,"one-step diagonal update for d=WMax requires T_{N-1}(WMax+1), outside the tracked finite window"
finite_offset_window_not_closed,0,8,12,1,"one-step diagonal update for d=WMax requires T_{N-1}(WMax+1), outside the tracked finite window"
finite_offset_window_not_closed,0,9,12,0,"one-step diagonal update for d=WMax requires T_{N-1}(WMax+1), outside the tracked finite window"
finite_offset_window_not_closed,0,10,12,2,"one-step diagonal update for d=WMax requires T_{N-1}(WMax+1), outside the tracked finite window"
finite_offset_window_not_closed,0,11,12,2,"one-step diagonal update for d=WMax requires T_{N-1}(WMax+1), outside the tracked finite window"
finite_offset_window_not_closed,0,12,12,1,"one-step diagonal update for d=WMax requires T_{N-1}(WMax+1), outside the tracked finite window"
finite_offset_window_not_closed,0,13,12,1,"one-step diagonal update for d=WMax requires T_{N-1}(WMax+1), outside the tracked finite window"
finite_offset_window_not_closed,0,14,12,1,"one-step diagonal update for d=WMax requires T_{N-1}(WMax+1), outside the tracked finite window"
finite_offset_window_not_closed,0,15,12,1,"one-step diagonal update for d=WMax requires T_{N-1}(WMax+1), outside the tracked finite window"
finite_offset_window_not_closed,0,16,12,1,"one-step diagonal update for d=WMax requires T_{N-1}(WMax+1), outside the tracked finite window"
finite_offset_window_not_closed,0,17,12,1,"one-step diagonal update for d=WMax requires T_{N-1}(WMax+1), outside the tracked finite window"
finite_offset_window_not_closed,0,18,12,1,"one-step diagonal update for d=WMax requires T_{N-1}(WMax+1), outside the tracked finite window"
finite_offset_window_not_closed,0,19,12,1,"one-step diagonal update for d=WMax requires T_{N-1}(WMax+1), outside the tracked finite window"
finite_offset_window_not_closed,0,20,12,1,"one-step diagonal update for d=WMax requires T_{N-1}(WMax+1), outside the tracked finite window"
finite_offset_window_not_closed,0,21,12,1,"one-step diagonal update for d=WMax requires T_{N-1}(WMax+1), outside the tracked finite window"
finite_offset_window_not_closed,0,22,12,1,"one-step diagonal update for d=WMax requires T_{N-1}(WMax+1), outside the tracked finite window"
finite_offset_window_not_closed,0,23,12,1,"one-step diagonal update for d=WMax requires T_{N-1}(WMax+1), outside the tracked finite window"
finite_offset_window_not_closed,0,24,12,1,"one-step diagonal update for d=WMax requires T_{N-1}(WMax+1), outside the tracked finite window"
finite_offset_window_not_closed,0,25,12,1,"one-step diagonal update for d=WMax requires T_{N-1}(WMax+1), outside the tracked finite window"
finite_offset_window_not_closed,0,26,12,2,"one-step diagonal update for d=WMax requires T_{N-1}(WMax+1), outside the tracked finite window"
finite_offset_window_not_closed,0,27,12,1,"one-step diagonal update for d=WMax requires T_{N-1}(WMax+1), outside the tracked finite window"
finite_offset_window_not_closed,0,28,12,1,"one-step diagonal update for d=WMax requires T_{N-1}(WMax+1), outside the tracked finite window"
finite_offset_window_not_closed,0,29,12,1,"one-step diagonal update for d=WMax requires T_{N-1}(WMax+1), outside the tracked finite window"
finite_offset_window_not_closed,0,30,12,2,"one-step diagonal update for d=WMax requires T_{N-1}(WMax+1), outside the tracked finite window"
finite_offset_window_not_closed,0,31,12,1,"one-step diagonal update for d=WMax requires T_{N-1}(WMax+1), outside the tracked finite window"
finite_offset_window_not_closed,0,32,12,1,"one-step diagonal update for d=WMax requires T_{N-1}(WMax+1), outside the tracked finite window"
finite_offset_window_not_closed,0,33,12,1,"one-step diagonal update for d=WMax requires T_{N-1}(WMax+1), outside the tracked finite window"
finite_offset_window_not_closed,0,34,12,1,"one-step diagonal update for d=WMax requires T_{N-1}(WMax+1), outside the tracked finite window"
finite_offset_window_not_closed,0,35,12,1,"one-step diagonal update for d=WMax requires T_{N-1}(WMax+1), outside the tracked finite window"
finite_offset_window_not_closed,0,36,12,1,"one-step diagonal update for d=WMax requires T_{N-1}(WMax+1), outside the tracked finite window"
finite_offset_window_not_closed,0,37,12,1,"one-step diagonal update for d=WMax requires T_{N-1}(WMax+1), outside the tracked finite window"
finite_offset_window_not_closed,1,1,12,0,"one-step diagonal update for d=WMax requires T_{N-1}(WMax+1), outside the tracked finite window"
finite_offset_window_not_closed,1,2,12,0,"one-step diagonal update for d=WMax requires T_{N-1}(WMax+1), outside the tracked finite window"
finite_offset_window_not_closed,1,3,12,0,"one-step diagonal update for d=WMax requires T_{N-1}(WMax+1), outside the tracked finite window"
finite_offset_window_not_closed,1,4,12,0,"one-step diagonal update for d=WMax requires T_{N-1}(WMax+1), outside the tracked finite window"
finite_offset_window_not_closed,1,5,12,0,"one-step diagonal update for d=WMax requires T_{N-1}(WMax+1), outside the tracked finite window"
finite_offset_window_not_closed,1,6,12,-1,"one-step diagonal update for d=WMax requires T_{N-1}(WMax+1), outside the tracked finite window"
finite_offset_window_not_closed,1,7,12,-1,"one-step diagonal update for d=WMax requires T_{N-1}(WMax+1), outside the tracked finite window"
finite_offset_window_not_closed,1,8,12,0,"one-step diagonal update for d=WMax requires T_{N-1}(WMax+1), outside the tracked finite window"
finite_offset_window_not_closed,1,9,12,0,"one-step diagonal update for d=WMax requires T_{N-1}(WMax+1), outside the tracked finite window"
