check,alpha,N,d,N_mod_5,d_mod_5,lhs,rhs,residual,comment
diagonal_one_step,0,1,0,1,0,0,0,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,1,1,1,1,0,0,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,1,2,1,2,0,0,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,1,3,1,3,0,0,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,1,4,1,4,0,0,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,1,5,1,0,0,0,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,1,6,1,1,0,0,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,1,7,1,2,0,0,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,1,8,1,3,0,0,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,1,9,1,4,0,0,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,1,10,1,0,0,0,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,1,11,1,1,0,0,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,1,12,1,2,0,0,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,2,0,2,0,-1,-1,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,2,1,2,1,0,0,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,2,2,2,2,1,1,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,2,3,2,3,0,0,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,2,4,2,4,0,0,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,2,5,2,0,0,0,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,2,6,2,1,0,0,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,2,7,2,2,0,0,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,2,8,2,3,0,0,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,2,9,2,4,0,0,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,2,10,2,0,0,0,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,2,11,2,1,0,0,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,2,12,2,2,0,0,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,3,0,3,0,-1,-1,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,3,1,3,1,1,1,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,3,2,3,2,1,1,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,3,3,3,3,0,0,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,3,4,3,4,-1,-1,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,3,5,3,0,0,0,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,3,6,3,1,1,1,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,3,7,3,2,0,0,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,3,8,3,3,0,0,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,3,9,3,4,0,0,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,3,10,3,0,0,0,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,3,11,3,1,0,0,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,3,12,3,2,0,0,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,4,0,4,0,0,0,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,4,1,4,1,1,1,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
