"tie_breaker","alpha","N","n","S","S_size","sign","exponent","classification","predicted_pentagonal"
"lex_largest",0,12,0,"{}",0,1,0,"fixed_predicted",true
"lex_largest",0,12,0,"{2}",1,-1,2,"fixed_predicted",true
"lex_largest",0,12,0,"{3}",1,-1,3,"fixed_predicted",true
"lex_largest",0,12,0,"{5}",1,-1,5,"no_admissible_move",false
"lex_largest",0,12,0,"{6}",1,-1,6,"no_admissible_move",false
"lex_largest",0,12,0,"{7}",1,-1,7,"no_admissible_move",false
"lex_largest",0,12,0,"{8}",1,-1,8,"no_admissible_move",false
"lex_largest",0,12,0,"{10}",1,-1,10,"no_admissible_move",false
"lex_largest",0,12,0,"{11}",1,-1,11,"fixed_predicted",true
"lex_largest",0,12,0,"{12}",1,-1,12,"no_admissible_move",false
"lex_largest",0,12,0,"{2;3}",2,1,5,"no_admissible_move",false
"lex_largest",0,12,0,"{2;4}",2,1,6,"no_admissible_move",false
"lex_largest",0,12,0,"{2;5}",2,1,7,"no_admissible_move",false
"lex_largest",0,12,0,"{2;6}",2,1,8,"no_admissible_move",false
"lex_largest",0,12,0,"{2;7}",2,1,9,"fixed_predicted",true
"lex_largest",0,12,0,"{2;8}",2,1,10,"no_admissible_move",false
"lex_largest",0,12,0,"{2;9}",2,1,11,"fixed_predicted",true
"lex_largest",0,12,0,"{2;10}",2,1,12,"no_admissible_move",false
"lex_largest",0,12,0,"{2;11}",2,1,13,"no_admissible_move",false
"lex_largest",0,12,0,"{2;12}",2,1,14,"no_admissible_move",false
"lex_largest",0,12,0,"{3;5}",2,1,8,"no_admissible_move",false
"lex_largest",0,12,0,"{3;6}",2,1,9,"fixed_predicted",true
"lex_largest",0,12,0,"{3;7}",2,1,10,"no_admissible_move",false
"lex_largest",0,12,0,"{3;8}",2,1,11,"fixed_predicted",true
"lex_largest",0,12,0,"{3;9}",2,1,12,"no_admissible_move",false
"lex_largest",0,12,0,"{3;10}",2,1,13,"no_admissible_move",false
"lex_largest",0,12,0,"{3;11}",2,1,14,"no_admissible_move",false
"lex_largest",0,12,0,"{3;12}",2,1,15,"no_admissible_move",false
"lex_largest",0,12,0,"{5;6}",2,1,11,"fixed_predicted",true
"lex_largest",0,12,0,"{5;7}",2,1,12,"no_admissible_move",false
"lex_largest",0,12,0,"{5;8}",2,1,13,"no_admissible_move",false
"lex_largest",0,12,0,"{5;10}",2,1,15,"no_admissible_move",false
"lex_largest",0,12,0,"{5;11}",2,1,16,"no_admissible_move",false
"lex_largest",0,12,0,"{5;12}",2,1,17,"no_admissible_move",false
"lex_largest",0,12,0,"{6;7}",2,1,13,"no_admissible_move",false
"lex_largest",0,12,0,"{6;8}",2,1,14,"no_admissible_move",false
"lex_largest",0,12,0,"{6;10}",2,1,16,"no_admissible_move",false
"lex_largest",0,12,0,"{6;11}",2,1,17,"no_admissible_move",false
"lex_largest",0,12,0,"{6;12}",2,1,18,"no_admissible_move",false
"lex_largest",0,12,0,"{7;8}",2,1,15,"no_admissible_move",false
"lex_largest",0,12,0,"{7;10}",2,1,17,"no_admissible_move",false
"lex_largest",0,12,0,"{7;11}",2,1,18,"no_admissible_move",false
"lex_largest",0,12,0,"{7;12}",2,1,19,"no_admissible_move",false
"lex_largest",0,12,0,"{8;10}",2,1,18,"no_admissible_move",false
"lex_largest",0,12,0,"{8;11}",2,1,19,"no_admissible_move",false
"lex_largest",0,12,0,"{8;12}",2,1,20,"no_admissible_move",false
"lex_largest",0,12,0,"{10;11}",2,1,21,"fixed_predicted",true
"lex_largest",0,12,0,"{10;12}",2,1,22,"no_admissible_move",false
"lex_largest",0,12,0,"{11;12}",2,1,23,"no_admissible_move",false
"lex_largest",0,12,0,"{2;3;5}",3,-1,10,"no_admissible_move",false
"lex_largest",0,12,0,"{2;3;6}",3,-1,11,"fixed_predicted",true
"lex_largest",0,12,0,"{2;3;7}",3,-1,12,"no_admissible_move",false
"lex_largest",0,12,0,"{2;3;8}",3,-1,13,"no_admissible_move",false
"lex_largest",0,12,0,"{2;3;9}",3,-1,14,"no_admissible_move",false
"lex_largest",0,12,0,"{2;3;10}",3,-1,15,"no_admissible_move",false
"lex_largest",0,12,0,"{2;3;12}",3,-1,17,"no_admissible_move",false
"lex_largest",0,12,0,"{2;4;5}",3,-1,11,"fixed_predicted",true
"lex_largest",0,12,0,"{2;4;6}",3,-1,12,"no_admissible_move",false
"lex_largest",0,12,0,"{2;4;7}",3,-1,13,"no_admissible_move",false
"lex_largest",0,12,0,"{2;4;8}",3,-1,14,"no_admissible_move",false
"lex_largest",0,12,0,"{2;4;9}",3,-1,15,"no_admissible_move",false
"lex_largest",0,12,0,"{2;4;11}",3,-1,17,"no_admissible_move",false
"lex_largest",0,12,0,"{2;4;12}",3,-1,18,"no_admissible_move",false
"lex_largest",0,12,0,"{2;5;6}",3,-1,13,"no_admissible_move",false
"lex_largest",0,12,0,"{2;5;7}",3,-1,14,"no_admissible_move",false
"lex_largest",0,12,0,"{2;5;8}",3,-1,15,"no_admissible_move",false
"lex_largest",0,12,0,"{2;5;10}",3,-1,17,"no_admissible_move",false
"lex_largest",0,12,0,"{2;5;11}",3,-1,18,"no_admissible_move",false
"lex_largest",0,12,0,"{2;5;12}",3,-1,19,"no_admissible_move",false
"lex_largest",0,12,0,"{2;6;7}",3,-1,15,"no_admissible_move",false
"lex_largest",0,12,0,"{2;6;9}",3,-1,17,"no_admissible_move",false
"lex_largest",0,12,0,"{2;6;10}",3,-1,18,"no_admissible_move",false
"lex_largest",0,12,0,"{2;6;11}",3,-1,19,"no_admissible_move",false
"lex_largest",0,12,0,"{2;6;12}",3,-1,20,"no_admissible_move",false
"lex_largest",0,12,0,"{2;7;8}",3,-1,17,"no_admissible_move",false
"lex_largest",0,12,0,"{2;7;9}",3,-1,18,"no_admissible_move",false
"lex_largest",0,12,0,"{2;7;10}",3,-1,19,"no_admissible_move",false
"lex_largest",0,12,0,"{2;7;11}",3,-1,20,"no_admissible_move",false
"lex_largest",0,12,0,"{2;7;12}",3,-1,21,"fixed_predicted",true
"lex_largest",0,12,0,"{2;8;9}",3,-1,19,"no_admissible_move",false
"lex_largest",0,12,0,"{2;8;10}",3,-1,20,"no_admissible_move",false
"lex_largest",0,12,0,"{2;8;11}",3,-1,21,"fixed_predicted",true
"lex_largest",0,12,0,"{2;8;12}",3,-1,22,"no_admissible_move",false
"lex_largest",0,12,0,"{2;9;10}",3,-1,21,"fixed_predicted",true
"lex_largest",0,12,0,"{2;9;11}",3,-1,22,"no_admissible_move",false
"lex_largest",0,12,0,"{2;9;12}",3,-1,23,"no_admissible_move",false
"lex_largest",0,12,0,"{2;10;11}",3,-1,23,"no_admissible_move",false
"lex_largest",0,12,0,"{2;10;12}",3,-1,24,"fixed_predicted",true
"lex_largest",0,12,0,"{3;5;6}",3,-1,14,"no_admissible_move",false
"lex_largest",0,12,0,"{3;5;7}",3,-1,15,"no_admissible_move",false
"lex_largest",0,12,0,"{3;5;9}",3,-1,17,"no_admissible_move",false
"lex_largest",0,12,0,"{3;5;10}",3,-1,18,"no_admissible_move",false
"lex_largest",0,12,0,"{3;5;11}",3,-1,19,"no_admissible_move",false
"lex_largest",0,12,0,"{3;5;12}",3,-1,20,"no_admissible_move",false
"lex_largest",0,12,0,"{3;6;8}",3,-1,17,"no_admissible_move",false
"lex_largest",0,12,0,"{3;6;9}",3,-1,18,"no_admissible_move",false
"lex_largest",0,12,0,"{3;6;10}",3,-1,19,"no_admissible_move",false
"lex_largest",0,12,0,"{3;6;11}",3,-1,20,"no_admissible_move",false
"lex_largest",0,12,0,"{3;6;12}",3,-1,21,"fixed_predicted",true
"lex_largest",0,12,0,"{3;7;8}",3,-1,18,"no_admissible_move",false
"lex_largest",0,12,0,"{3;7;9}",3,-1,19,"no_admissible_move",false
"lex_largest",0,12,0,"{3;7;10}",3,-1,20,"no_admissible_move",false
"lex_largest",0,12,0,"{3;7;11}",3,-1,21,"fixed_predicted",true
"lex_largest",0,12,0,"{3;7;12}",3,-1,22,"no_admissible_move",false
"lex_largest",0,12,0,"{3;8;9}",3,-1,20,"no_admissible_move",false
"lex_largest",0,12,0,"{3;8;10}",3,-1,21,"fixed_predicted",true
"lex_largest",0,12,0,"{3;8;11}",3,-1,22,"no_admissible_move",false
"lex_largest",0,12,0,"{3;8;12}",3,-1,23,"no_admissible_move",false
"lex_largest",0,12,0,"{3;9;10}",3,-1,22,"no_admissible_move",false
"lex_largest",0,12,0,"{3;9;11}",3,-1,23,"no_admissible_move",false
"lex_largest",0,12,0,"{3;9;12}",3,-1,24,"fixed_predicted",true
"lex_largest",0,12,0,"{3;10;11}",3,-1,24,"fixed_predicted",true
"lex_largest",0,12,0,"{3;11;12}",3,-1,26,"no_admissible_move",false
"lex_largest",0,12,0,"{5;6;7}",3,-1,18,"no_admissible_move",false
"lex_largest",0,12,0,"{5;6;8}",3,-1,19,"no_admissible_move",false
"lex_largest",0,12,0,"{5;6;10}",3,-1,21,"fixed_predicted",true
"lex_largest",0,12,0,"{5;6;11}",3,-1,22,"no_admissible_move",false
"lex_largest",0,12,0,"{5;6;12}",3,-1,23,"no_admissible_move",false
"lex_largest",0,12,0,"{5;7;8}",3,-1,20,"no_admissible_move",false
"lex_largest",0,12,0,"{5;7;10}",3,-1,22,"no_admissible_move",false
"lex_largest",0,12,0,"{5;7;11}",3,-1,23,"no_admissible_move",false
"lex_largest",0,12,0,"{5;7;12}",3,-1,24,"fixed_predicted",true
"lex_largest",0,12,0,"{5;8;10}",3,-1,23,"no_admissible_move",false
"lex_largest",0,12,0,"{5;8;11}",3,-1,24,"fixed_predicted",true
"lex_largest",0,12,0,"{5;10;11}",3,-1,26,"no_admissible_move",false
"lex_largest",0,12,0,"{5;10;12}",3,-1,27,"no_admissible_move",false
"lex_largest",0,12,0,"{5;11;12}",3,-1,28,"no_admissible_move",false
"lex_largest",0,12,0,"{6;7;8}",3,-1,21,"fixed_predicted",true
"lex_largest",0,12,0,"{6;7;10}",3,-1,23,"no_admissible_move",false
"lex_largest",0,12,0,"{6;7;11}",3,-1,24,"fixed_predicted",true
"lex_largest",0,12,0,"{6;8;10}",3,-1,24,"fixed_predicted",true
"lex_largest",0,12,0,"{6;8;12}",3,-1,26,"no_admissible_move",false
"lex_largest",0,12,0,"{6;10;11}",3,-1,27,"no_admissible_move",false
"lex_largest",0,12,0,"{6;10;12}",3,-1,28,"no_admissible_move",false
"lex_largest",0,12,0,"{6;11;12}",3,-1,29,"no_admissible_move",false
"lex_largest",0,12,0,"{7;8;11}",3,-1,26,"no_admissible_move",false
"lex_largest",0,12,0,"{7;8;12}",3,-1,27,"no_admissible_move",false
"lex_largest",0,12,0,"{7;10;11}",3,-1,28,"no_admissible_move",false
"lex_largest",0,12,0,"{7;10;12}",3,-1,29,"no_admissible_move",false
"lex_largest",0,12,0,"{7;11;12}",3,-1,30,"no_admissible_move",false
"lex_largest",0,12,0,"{8;10;11}",3,-1,29,"no_admissible_move",false
"lex_largest",0,12,0,"{8;10;12}",3,-1,30,"no_admissible_move",false
"lex_largest",0,12,0,"{8;11;12}",3,-1,31,"no_admissible_move",false
"lex_largest",0,12,0,"{10;11;12}",3,-1,33,"no_admissible_move",false
"lex_largest",0,12,0,"{2;3;5;6}",4,1,16,"no_admissible_move",false
"lex_largest",0,12,0,"{2;3;5;7}",4,1,17,"no_admissible_move",false
"lex_largest",0,12,0,"{2;3;5;8}",4,1,18,"no_admissible_move",false
"lex_largest",0,12,0,"{2;3;5;9}",4,1,19,"no_admissible_move",false
"lex_largest",0,12,0,"{2;3;5;10}",4,1,20,"no_admissible_move",false
"lex_largest",0,12,0,"{2;3;5;12}",4,1,22,"no_admissible_move",false
"lex_largest",0,12,0,"{2;3;6;7}",4,1,18,"no_admissible_move",false
"lex_largest",0,12,0,"{2;3;6;8}",4,1,19,"no_admissible_move",false
"lex_largest",0,12,0,"{2;3;6;9}",4,1,20,"no_admissible_move",false
"lex_largest",0,12,0,"{2;3;6;10}",4,1,21,"fixed_predicted",true
"lex_largest",0,12,0,"{2;3;6;12}",4,1,23,"no_admissible_move",false
"lex_largest",0,12,0,"{2;3;7;8}",4,1,20,"no_admissible_move",false
"lex_largest",0,12,0,"{2;3;7;9}",4,1,21,"fixed_predicted",true
"lex_largest",0,12,0,"{2;3;7;10}",4,1,22,"no_admissible_move",false
"lex_largest",0,12,0,"{2;3;7;12}",4,1,24,"fixed_predicted",true
"lex_largest",0,12,0,"{2;3;8;9}",4,1,22,"no_admissible_move",false
"lex_largest",0,12,0,"{2;3;8;10}",4,1,23,"no_admissible_move",false
"lex_largest",0,12,0,"{2;3;8;12}",4,1,25,"no_admissible_move",false
"lex_largest",0,12,0,"{2;3;9;10}",4,1,24,"fixed_predicted",true
"lex_largest",0,12,0,"{2;3;9;12}",4,1,26,"no_admissible_move",false
"lex_largest",0,12,0,"{2;3;10;12}",4,1,27,"no_admissible_move",false
"lex_largest",0,12,0,"{2;4;5;6}",4,1,17,"no_admissible_move",false
"lex_largest",0,12,0,"{2;4;5;7}",4,1,18,"no_admissible_move",false
"lex_largest",0,12,0,"{2;4;5;8}",4,1,19,"no_admissible_move",false
"lex_largest",0,12,0,"{2;4;5;9}",4,1,20,"no_admissible_move",false
"lex_largest",0,12,0,"{2;4;5;11}",4,1,22,"no_admissible_move",false
"lex_largest",0,12,0,"{2;4;5;12}",4,1,23,"no_admissible_move",false
"lex_largest",0,12,0,"{2;4;6;7}",4,1,19,"no_admissible_move",false
"lex_largest",0,12,0,"{2;4;6;8}",4,1,20,"no_admissible_move",false
"lex_largest",0,12,0,"{2;4;6;9}",4,1,21,"fixed_predicted",true
"lex_largest",0,12,0,"{2;4;6;11}",4,1,23,"no_admissible_move",false
"lex_largest",0,12,0,"{2;4;6;12}",4,1,24,"fixed_predicted",true
"lex_largest",0,12,0,"{2;4;7;8}",4,1,21,"fixed_predicted",true
"lex_largest",0,12,0,"{2;4;7;9}",4,1,22,"no_admissible_move",false
"lex_largest",0,12,0,"{2;4;7;11}",4,1,24,"fixed_predicted",true
"lex_largest",0,12,0,"{2;4;7;12}",4,1,25,"no_admissible_move",false
"lex_largest",0,12,0,"{2;4;8;9}",4,1,23,"no_admissible_move",false
"lex_largest",0,12,0,"{2;4;8;11}",4,1,25,"no_admissible_move",false
"lex_largest",0,12,0,"{2;4;8;12}",4,1,26,"no_admissible_move",false
"lex_largest",0,12,0,"{2;4;9;11}",4,1,26,"no_admissible_move",false
"lex_largest",0,12,0,"{2;4;9;12}",4,1,27,"no_admissible_move",false
"lex_largest",0,12,0,"{2;4;11;12}",4,1,29,"no_admissible_move",false
"lex_largest",0,12,0,"{2;5;6;7}",4,1,20,"no_admissible_move",false
"lex_largest",0,12,0,"{2;5;6;10}",4,1,23,"no_admissible_move",false
"lex_largest",0,12,0,"{2;5;6;11}",4,1,24,"fixed_predicted",true
"lex_largest",0,12,0,"{2;5;6;12}",4,1,25,"no_admissible_move",false
