"candidate","alpha","N","parameter","first_nonzero_k","max_abs_coeff"
"H_alpha_N_minus_plain_bilateral_limit",0,0,"plain","2",1
"H_alpha_N_minus_finite_jacobi_triple",0,0,"same_N","none_through_KMax",0
"H_alpha_N_minus_schur_gaussian_window",0,0,"0","none_through_KMax",0
"H_alpha_N_minus_schur_gaussian_window",0,0,"1","none_through_KMax",0
"H_alpha_N_minus_schur_gaussian_window",0,0,"2","0",1
"H_alpha_N_minus_schur_gaussian_window",0,0,"3","0",1
"H_alpha_N_minus_schur_gaussian_window",0,0,"4","0",1
"H_alpha_N_minus_schur_gaussian_window",0,0,"5","0",1
"H_alpha_N_minus_schur_gaussian_window",0,0,"6","0",1
"H_alpha_N_minus_plain_bilateral_limit",0,1,"plain","2",1
"H_alpha_N_minus_finite_jacobi_triple",0,1,"same_N","2",1
"H_alpha_N_minus_schur_gaussian_window",0,1,"0","none_through_KMax",0
"H_alpha_N_minus_schur_gaussian_window",0,1,"1","none_through_KMax",0
"H_alpha_N_minus_schur_gaussian_window",0,1,"2","none_through_KMax",0
"H_alpha_N_minus_schur_gaussian_window",0,1,"3","0",1
"H_alpha_N_minus_schur_gaussian_window",0,1,"4","0",1
"H_alpha_N_minus_schur_gaussian_window",0,1,"5","0",1
"H_alpha_N_minus_schur_gaussian_window",0,1,"6","0",1
"H_alpha_N_minus_plain_bilateral_limit",0,2,"plain","3",1
"H_alpha_N_minus_finite_jacobi_triple",0,2,"same_N","3",1
"H_alpha_N_minus_schur_gaussian_window",0,2,"0","1",1
"H_alpha_N_minus_schur_gaussian_window",0,2,"1","1",1
"H_alpha_N_minus_schur_gaussian_window",0,2,"2","2",1
"H_alpha_N_minus_schur_gaussian_window",0,2,"3","4",1
"H_alpha_N_minus_schur_gaussian_window",0,2,"4","0",1
"H_alpha_N_minus_schur_gaussian_window",0,2,"5","0",1
"H_alpha_N_minus_schur_gaussian_window",0,2,"6","0",1
"H_alpha_N_minus_plain_bilateral_limit",0,3,"plain","4",1
"H_alpha_N_minus_finite_jacobi_triple",0,3,"same_N","4",2
"H_alpha_N_minus_schur_gaussian_window",0,3,"0","1",2
"H_alpha_N_minus_schur_gaussian_window",0,3,"1","1",2
"H_alpha_N_minus_schur_gaussian_window",0,3,"2","1",1
"H_alpha_N_minus_schur_gaussian_window",0,3,"3","3",1
"H_alpha_N_minus_schur_gaussian_window",0,3,"4","4",2
"H_alpha_N_minus_schur_gaussian_window",0,3,"5","0",2
"H_alpha_N_minus_schur_gaussian_window",0,3,"6","0",2
"H_alpha_N_minus_plain_bilateral_limit",0,4,"plain","5",1
"H_alpha_N_minus_finite_jacobi_triple",0,4,"same_N","5",2
"H_alpha_N_minus_schur_gaussian_window",0,4,"0","1",3
"H_alpha_N_minus_schur_gaussian_window",0,4,"1","1",2
"H_alpha_N_minus_schur_gaussian_window",0,4,"2","1",2
"H_alpha_N_minus_schur_gaussian_window",0,4,"3","1",2
"H_alpha_N_minus_schur_gaussian_window",0,4,"4","4",2
"H_alpha_N_minus_schur_gaussian_window",0,4,"5","4",2
"H_alpha_N_minus_schur_gaussian_window",0,4,"6","0",2
"H_alpha_N_minus_plain_bilateral_limit",0,5,"plain","6",1
"H_alpha_N_minus_finite_jacobi_triple",0,5,"same_N","6",2
"H_alpha_N_minus_schur_gaussian_window",0,5,"0","1",2
"H_alpha_N_minus_schur_gaussian_window",0,5,"1","1",2
"H_alpha_N_minus_schur_gaussian_window",0,5,"2","1",2
"H_alpha_N_minus_schur_gaussian_window",0,5,"3","1",2
"H_alpha_N_minus_schur_gaussian_window",0,5,"4","1",3
"H_alpha_N_minus_schur_gaussian_window",0,5,"5","4",3
"H_alpha_N_minus_schur_gaussian_window",0,5,"6","4",3
"H_alpha_N_minus_plain_bilateral_limit",0,6,"plain","7",1
"H_alpha_N_minus_finite_jacobi_triple",0,6,"same_N","7",2
"H_alpha_N_minus_schur_gaussian_window",0,6,"0","1",3
"H_alpha_N_minus_schur_gaussian_window",0,6,"1","1",2
"H_alpha_N_minus_schur_gaussian_window",0,6,"2","1",2
"H_alpha_N_minus_schur_gaussian_window",0,6,"3","1",2
"H_alpha_N_minus_schur_gaussian_window",0,6,"4","1",3
"H_alpha_N_minus_schur_gaussian_window",0,6,"5","1",4
"H_alpha_N_minus_schur_gaussian_window",0,6,"6","4",4
"H_alpha_N_minus_plain_bilateral_limit",0,7,"plain","8",1
"H_alpha_N_minus_finite_jacobi_triple",0,7,"same_N","8",1
"H_alpha_N_minus_schur_gaussian_window",0,7,"0","1",3
"H_alpha_N_minus_schur_gaussian_window",0,7,"1","1",3
"H_alpha_N_minus_schur_gaussian_window",0,7,"2","1",2
"H_alpha_N_minus_schur_gaussian_window",0,7,"3","1",2
"H_alpha_N_minus_schur_gaussian_window",0,7,"4","1",4
"H_alpha_N_minus_schur_gaussian_window",0,7,"5","1",6
"H_alpha_N_minus_schur_gaussian_window",0,7,"6","1",6
"H_alpha_N_minus_plain_bilateral_limit",0,8,"plain","9",2
"H_alpha_N_minus_finite_jacobi_triple",0,8,"same_N","9",2
"H_alpha_N_minus_schur_gaussian_window",0,8,"0","1",4
"H_alpha_N_minus_schur_gaussian_window",0,8,"1","1",4
"H_alpha_N_minus_schur_gaussian_window",0,8,"2","1",2
"H_alpha_N_minus_schur_gaussian_window",0,8,"3","1",3
"H_alpha_N_minus_schur_gaussian_window",0,8,"4","1",5
"H_alpha_N_minus_schur_gaussian_window",0,8,"5","1",6
"H_alpha_N_minus_schur_gaussian_window",0,8,"6","1",8
"H_alpha_N_minus_plain_bilateral_limit",0,9,"plain","10",2
"H_alpha_N_minus_finite_jacobi_triple",0,9,"same_N","10",2
"H_alpha_N_minus_schur_gaussian_window",0,9,"0","1",5
"H_alpha_N_minus_schur_gaussian_window",0,9,"1","1",5
"H_alpha_N_minus_schur_gaussian_window",0,9,"2","1",3
"H_alpha_N_minus_schur_gaussian_window",0,9,"3","1",3
"H_alpha_N_minus_schur_gaussian_window",0,9,"4","1",5
"H_alpha_N_minus_schur_gaussian_window",0,9,"5","1",9
"H_alpha_N_minus_schur_gaussian_window",0,9,"6","1",9
"H_alpha_N_minus_plain_bilateral_limit",0,10,"plain","11",2
"H_alpha_N_minus_finite_jacobi_triple",0,10,"same_N","11",2
"H_alpha_N_minus_schur_gaussian_window",0,10,"0","1",7
"H_alpha_N_minus_schur_gaussian_window",0,10,"1","1",7
"H_alpha_N_minus_schur_gaussian_window",0,10,"2","1",5
"H_alpha_N_minus_schur_gaussian_window",0,10,"3","1",5
"H_alpha_N_minus_schur_gaussian_window",0,10,"4","1",6
"H_alpha_N_minus_schur_gaussian_window",0,10,"5","1",9
"H_alpha_N_minus_schur_gaussian_window",0,10,"6","1",13
"H_alpha_N_minus_plain_bilateral_limit",0,11,"plain","12",2
"H_alpha_N_minus_finite_jacobi_triple",0,11,"same_N","12",2
"H_alpha_N_minus_schur_gaussian_window",0,11,"0","1",10
"H_alpha_N_minus_schur_gaussian_window",0,11,"1","1",10
"H_alpha_N_minus_schur_gaussian_window",0,11,"2","1",7
"H_alpha_N_minus_schur_gaussian_window",0,11,"3","1",4
"H_alpha_N_minus_schur_gaussian_window",0,11,"4","1",11
"H_alpha_N_minus_schur_gaussian_window",0,11,"5","1",13
"H_alpha_N_minus_schur_gaussian_window",0,11,"6","1",13
"H_alpha_N_minus_plain_bilateral_limit",0,12,"plain","13",2
"H_alpha_N_minus_finite_jacobi_triple",0,12,"same_N","13",2
"H_alpha_N_minus_schur_gaussian_window",0,12,"0","1",16
"H_alpha_N_minus_schur_gaussian_window",0,12,"1","1",14
"H_alpha_N_minus_schur_gaussian_window",0,12,"2","1",10
"H_alpha_N_minus_schur_gaussian_window",0,12,"3","1",9
"H_alpha_N_minus_schur_gaussian_window",0,12,"4","1",12
"H_alpha_N_minus_schur_gaussian_window",0,12,"5","1",20
