"check","alpha","N","first_nonzero_k","max_abs_coeff"
"H_recurrence",0,1,"none_through_KMax",0
"H_recurrence",0,2,"none_through_KMax",0
"H_recurrence",0,3,"none_through_KMax",0
"H_recurrence",0,4,"none_through_KMax",0
"H_recurrence",0,5,"none_through_KMax",0
"H_recurrence",0,6,"none_through_KMax",0
"H_recurrence",0,7,"none_through_KMax",0
"H_recurrence",0,8,"none_through_KMax",0
"H_recurrence",0,9,"none_through_KMax",0
"H_recurrence",0,10,"none_through_KMax",0
"H_recurrence",0,11,"none_through_KMax",0
"H_recurrence",0,12,"none_through_KMax",0
"H_recurrence",0,13,"none_through_KMax",0
"H_recurrence",0,14,"none_through_KMax",0
"H_recurrence",0,15,"none_through_KMax",0
"H_recurrence",0,16,"none_through_KMax",0
"H_recurrence",0,17,"none_through_KMax",0
"H_recurrence",0,18,"none_through_KMax",0
"H_recurrence",0,19,"none_through_KMax",0
"H_recurrence",0,20,"none_through_KMax",0
"H_recurrence",0,21,"none_through_KMax",0
"H_recurrence",0,22,"none_through_KMax",0
"H_recurrence",0,23,"none_through_KMax",0
"H_recurrence",0,24,"none_through_KMax",0
"H_recurrence",1,1,"none_through_KMax",0
"H_recurrence",1,2,"none_through_KMax",0
"H_recurrence",1,3,"none_through_KMax",0
"H_recurrence",1,4,"none_through_KMax",0
"H_recurrence",1,5,"none_through_KMax",0
"H_recurrence",1,6,"none_through_KMax",0
"H_recurrence",1,7,"none_through_KMax",0
"H_recurrence",1,8,"none_through_KMax",0
"H_recurrence",1,9,"none_through_KMax",0
"H_recurrence",1,10,"none_through_KMax",0
"H_recurrence",1,11,"none_through_KMax",0
"H_recurrence",1,12,"none_through_KMax",0
"H_recurrence",1,13,"none_through_KMax",0
"H_recurrence",1,14,"none_through_KMax",0
"H_recurrence",1,15,"none_through_KMax",0
"H_recurrence",1,16,"none_through_KMax",0
"H_recurrence",1,17,"none_through_KMax",0
"H_recurrence",1,18,"none_through_KMax",0
"H_recurrence",1,19,"none_through_KMax",0
"H_recurrence",1,20,"none_through_KMax",0
"H_recurrence",1,21,"none_through_KMax",0
"H_recurrence",1,22,"none_through_KMax",0
"H_recurrence",1,23,"none_through_KMax",0
"H_recurrence",1,24,"none_through_KMax",0
"H_recurrence",2,1,"none_through_KMax",0
"H_recurrence",2,2,"none_through_KMax",0
"H_recurrence",2,3,"none_through_KMax",0
"H_recurrence",2,4,"none_through_KMax",0
"H_recurrence",2,5,"none_through_KMax",0
"H_recurrence",2,6,"none_through_KMax",0
"H_recurrence",2,7,"none_through_KMax",0
"H_recurrence",2,8,"none_through_KMax",0
"H_recurrence",2,9,"none_through_KMax",0
"H_recurrence",2,10,"none_through_KMax",0
"H_recurrence",2,11,"none_through_KMax",0
"H_recurrence",2,12,"none_through_KMax",0
"H_recurrence",2,13,"none_through_KMax",0
"H_recurrence",2,14,"none_through_KMax",0
"H_recurrence",2,15,"none_through_KMax",0
"H_recurrence",2,16,"none_through_KMax",0
"H_recurrence",2,17,"none_through_KMax",0
"H_recurrence",2,18,"none_through_KMax",0
"H_recurrence",2,19,"none_through_KMax",0
"H_recurrence",2,20,"none_through_KMax",0
"H_recurrence",2,21,"none_through_KMax",0
"H_recurrence",2,22,"none_through_KMax",0
"H_recurrence",2,23,"none_through_KMax",0
"H_recurrence",2,24,"none_through_KMax",0
