"k","S1_gap_smallest_ge_1","P14_residues_1_4","S2_gap_smallest_ge_2","P23_residues_2_3","P13_negative_control","P24_negative_control","S_shift_n2_plus_2n_negative_control"
0,1,1,1,1,1,1,1
1,1,1,0,0,1,0,0
2,1,1,1,1,1,1,0
3,1,1,1,1,2,0,1
4,2,2,1,1,2,2,1
5,2,2,1,1,2,0,1
6,3,3,2,2,4,2,1
7,3,3,2,2,4,1,1
8,4,4,3,3,5,3,2
9,5,5,3,3,7,2,2
10,6,6,4,4,7,3,3
11,7,7,4,4,9,3,3
12,9,9,6,6,12,5,4
13,10,10,6,6,13,4,4
14,12,12,8,8,16,7,5
15,14,14,9,9,19,5,6
16,17,17,11,11,22,10,7
17,19,19,12,12,26,7,8
18,23,23,15,15,31,13,10
19,26,26,16,16,36,10,11
20,31,31,20,20,41,16,13
21,35,35,22,22,48,15,15
22,41,41,26,26,56,20,17
23,46,46,29,29,63,20,19
24,54,54,35,35,75,26,23
25,61,61,38,38,85,26,25
26,70,70,45,45,96,34,29
27,79,79,50,50,112,33,33
28,91,91,58,58,126,45,38
29,102,102,64,64,143,42,42
30,117,117,75,75,165,56,49
31,131,131,82,82,184,55,54
32,149,149,95,95,210,70,62
33,167,167,105,105,238,71,69
34,189,189,120,120,267,86,78
35,211,211,133,133,302,91,87
36,239,239,152,152,340,109,99
37,266,266,167,167,381,113,109
38,299,299,190,190,428,136,123
39,333,333,210,210,480,140,137
40,374,374,237,237,538,170,154
