separator	mix_id	stem	sdr_db	sir_db	sar_db	est_energy_dBFS
naive_copy_third	synth_030s	drums	-5.288	nan	-5.288	-30.845
naive_copy_third	synth_030s	bass	3.015	nan	3.015	-30.845
naive_copy_third	synth_030s	other	-3.038	nan	-3.038	-30.845
naive_copy_third	synth_030s	vocals	nan	nan	nan	-30.845
htdemucs	synth_030s	drums	17.097	nan	17.097	-27.760
htdemucs	synth_030s	bass	11.021	nan	11.021	-23.842
htdemucs	synth_030s	other	2.058	nan	2.058	-30.520
htdemucs	synth_030s	vocals	nan	nan	nan	-81.725
openunmix	synth_030s	drums	8.302	nan	8.302	-28.565
openunmix	synth_030s	bass	9.947	nan	9.947	-24.131
openunmix	synth_030s	other	3.515	nan	3.515	-30.645
openunmix	synth_030s	vocals	nan	nan	nan	-73.888
naive_copy_third	synth_060s	drums	-5.194	nan	-5.194	-30.926
naive_copy_third	synth_060s	bass	2.903	nan	2.903	-30.926
naive_copy_third	synth_060s	other	-3.391	nan	-3.391	-30.926
naive_copy_third	synth_060s	vocals	nan	nan	nan	-30.926
htdemucs	synth_060s	drums	17.074	nan	17.074	-27.762
htdemucs	synth_060s	bass	10.873	nan	10.873	-24.005
htdemucs	synth_060s	other	1.830	nan	1.830	-30.420
htdemucs	synth_060s	vocals	nan	nan	nan	-81.736
openunmix	synth_060s	drums	8.331	nan	8.331	-28.594
openunmix	synth_060s	bass	9.911	nan	9.911	-24.255
openunmix	synth_060s	other	3.321	nan	3.321	-30.834
openunmix	synth_060s	vocals	nan	nan	nan	-74.004
naive_copy_third	synth_090s	drums	-5.251	nan	-5.251	-30.891
naive_copy_third	synth_090s	bass	2.950	nan	2.950	-30.891
naive_copy_third	synth_090s	other	-3.239	nan	-3.239	-30.891
naive_copy_third	synth_090s	vocals	nan	nan	nan	-30.891
htdemucs	synth_090s	drums	17.072	nan	17.072	-27.763
htdemucs	synth_090s	bass	10.990	nan	10.990	-23.930
htdemucs	synth_090s	other	1.833	nan	1.833	-30.468
htdemucs	synth_090s	vocals	nan	nan	nan	-81.800
openunmix	synth_090s	drums	8.333	nan	8.333	-28.591
openunmix	synth_090s	bass	9.926	nan	9.926	-24.202
openunmix	synth_090s	other	3.214	nan	3.214	-30.782
openunmix	synth_090s	vocals	nan	nan	nan	-74.010
