ablation,model,split,case_type,n,flat_exact_match,synonym_normalized_exact_match,mean_hierarchy_distance,hierarchy_coherence_violation_rate,mean_reticulate_near_miss,flat_exact_match_delta_vs_none,synonym_normalized_exact_match_delta_vs_none,mean_hierarchy_distance_delta_vs_none
none,label_frequency,test,all,22,0.000000,0.000000,4.409091,0.000000,0.000000,0.000000,0.000000,0.000000
none,taxonomy_depth,test,all,22,0.000000,0.000000,3.500000,0.000000,0.022727,0.000000,0.000000,0.000000
none,flat_lookup_or_centroid,test,all,22,0.000000,0.000000,3.500000,0.000000,0.022727,0.000000,0.000000,0.000000
none,tree_dag,test,all,22,0.409091,0.409091,2.181818,0.000000,0.409091,0.000000,0.000000,0.000000
none,ordinary_graph,test,all,22,0.409091,0.409091,2.181818,0.000000,0.409091,0.000000,0.000000,0.000000
none,clique_expansion,test,all,22,0.409091,0.409091,2.090909,0.000000,0.409091,0.000000,0.000000,0.000000
none,native_hypergraph,test,all,22,0.409091,0.409091,1.772727,0.000000,0.409091,0.000000,0.000000,0.000000
remove_synonym,label_frequency,test,all,22,0.000000,0.000000,4.409091,0.000000,0.000000,0.000000,0.000000,0.000000
remove_synonym,taxonomy_depth,test,all,22,0.000000,0.000000,3.500000,0.000000,0.022727,0.000000,0.000000,0.000000
remove_synonym,flat_lookup_or_centroid,test,all,22,0.000000,0.000000,3.500000,0.000000,0.022727,0.000000,0.000000,0.000000
remove_synonym,tree_dag,test,all,22,0.409091,0.409091,2.181818,0.000000,0.409091,0.000000,0.000000,0.000000
remove_synonym,ordinary_graph,test,all,22,0.409091,0.409091,2.181818,0.000000,0.409091,0.000000,0.000000,0.000000
remove_synonym,clique_expansion,test,all,22,0.409091,0.409091,2.090909,0.000000,0.409091,0.000000,0.000000,0.000000
remove_synonym,native_hypergraph,test,all,22,0.409091,0.409091,1.772727,0.000000,0.409091,0.000000,0.000000,0.000000
remove_trait,label_frequency,test,all,22,0.000000,0.000000,4.409091,0.000000,0.000000,0.000000,0.000000,0.000000
remove_trait,taxonomy_depth,test,all,22,0.000000,0.000000,3.500000,0.000000,0.022727,0.000000,0.000000,0.000000
remove_trait,flat_lookup_or_centroid,test,all,22,0.000000,0.000000,3.500000,0.000000,0.022727,0.000000,0.000000,0.000000
remove_trait,tree_dag,test,all,22,0.409091,0.409091,2.181818,0.000000,0.409091,0.000000,0.000000,0.000000
remove_trait,ordinary_graph,test,all,22,0.409091,0.409091,2.181818,0.000000,0.409091,0.000000,0.000000,0.000000
remove_trait,clique_expansion,test,all,22,0.409091,0.409091,2.090909,0.000000,0.409091,0.000000,0.000000,0.000000
remove_trait,native_hypergraph,test,all,22,0.409091,0.409091,1.772727,0.000000,0.409091,0.000000,0.000000,0.000000
randomize_trait,label_frequency,test,all,22,0.000000,0.000000,4.409091,0.000000,0.000000,0.000000,0.000000,0.000000
randomize_trait,taxonomy_depth,test,all,22,0.000000,0.000000,3.500000,0.000000,0.022727,0.000000,0.000000,0.000000
randomize_trait,flat_lookup_or_centroid,test,all,22,0.000000,0.000000,3.500000,0.000000,0.022727,0.000000,0.000000,0.000000
randomize_trait,tree_dag,test,all,22,0.409091,0.409091,2.181818,0.000000,0.409091,0.000000,0.000000,0.000000
randomize_trait,ordinary_graph,test,all,22,0.409091,0.409091,2.181818,0.000000,0.409091,0.000000,0.000000,0.000000
randomize_trait,clique_expansion,test,all,22,0.409091,0.409091,2.090909,0.000000,0.409091,0.000000,0.000000,0.000000
randomize_trait,native_hypergraph,test,all,22,0.409091,0.409091,1.772727,0.000000,0.409091,0.000000,0.000000,0.000000
remove_occurrence_geography_context,label_frequency,test,all,22,0.000000,0.000000,4.409091,0.000000,0.000000,0.000000,0.000000,0.000000
remove_occurrence_geography_context,taxonomy_depth,test,all,22,0.000000,0.000000,3.500000,0.000000,0.022727,0.000000,0.000000,0.000000
