ablation,model,split,case_type,n,flat_exact_match,synonym_normalized_exact_match,mean_hierarchy_distance,hierarchy_coherence_violation_rate,mean_reticulate_near_miss
none,label_frequency,test,missing_rank,1,0.000000,0.000000,2.000000,0.000000,0.000000
none,label_frequency,test,noisy_occurrence,0,0.000000,0.000000,0.000000,0.000000,0.000000
none,label_frequency,test,reticulate,4,0.000000,0.000000,4.500000,0.000000,0.000000
none,label_frequency,test,strict_hierarchy,5,0.000000,0.000000,4.200000,0.000000,0.000000
none,label_frequency,test,synonym_or_rename,12,0.000000,0.000000,4.666667,0.000000,0.000000
none,label_frequency,test,trait_convergence,0,0.000000,0.000000,0.000000,0.000000,0.000000
none,taxonomy_depth,test,missing_rank,1,0.000000,0.000000,3.000000,0.000000,0.000000
none,taxonomy_depth,test,noisy_occurrence,0,0.000000,0.000000,0.000000,0.000000,0.000000
none,taxonomy_depth,test,reticulate,4,0.000000,0.000000,3.500000,0.000000,0.125000
none,taxonomy_depth,test,strict_hierarchy,5,0.000000,0.000000,3.200000,0.000000,0.000000
none,taxonomy_depth,test,synonym_or_rename,12,0.000000,0.000000,3.666667,0.000000,0.000000
none,taxonomy_depth,test,trait_convergence,0,0.000000,0.000000,0.000000,0.000000,0.000000
none,flat_lookup_or_centroid,test,missing_rank,1,0.000000,0.000000,3.000000,0.000000,0.000000
none,flat_lookup_or_centroid,test,noisy_occurrence,0,0.000000,0.000000,0.000000,0.000000,0.000000
none,flat_lookup_or_centroid,test,reticulate,4,0.000000,0.000000,3.500000,0.000000,0.125000
none,flat_lookup_or_centroid,test,strict_hierarchy,5,0.000000,0.000000,3.200000,0.000000,0.000000
none,flat_lookup_or_centroid,test,synonym_or_rename,12,0.000000,0.000000,3.666667,0.000000,0.000000
none,flat_lookup_or_centroid,test,trait_convergence,0,0.000000,0.000000,0.000000,0.000000,0.000000
none,tree_dag,test,missing_rank,1,1.000000,1.000000,0.000000,0.000000,1.000000
none,tree_dag,test,noisy_occurrence,0,0.000000,0.000000,0.000000,0.000000,0.000000
none,tree_dag,test,reticulate,4,0.750000,0.750000,1.000000,0.000000,0.750000
none,tree_dag,test,strict_hierarchy,5,1.000000,1.000000,0.000000,0.000000,1.000000
none,tree_dag,test,synonym_or_rename,12,0.000000,0.000000,3.666667,0.000000,0.000000
none,tree_dag,test,trait_convergence,0,0.000000,0.000000,0.000000,0.000000,0.000000
none,ordinary_graph,test,missing_rank,1,1.000000,1.000000,0.000000,0.000000,1.000000
none,ordinary_graph,test,noisy_occurrence,0,0.000000,0.000000,0.000000,0.000000,0.000000
none,ordinary_graph,test,reticulate,4,0.750000,0.750000,1.000000,0.000000,0.750000
none,ordinary_graph,test,strict_hierarchy,5,1.000000,1.000000,0.000000,0.000000,1.000000
none,ordinary_graph,test,synonym_or_rename,12,0.000000,0.000000,3.666667,0.000000,0.000000
none,ordinary_graph,test,trait_convergence,0,0.000000,0.000000,0.000000,0.000000,0.000000
none,clique_expansion,test,missing_rank,1,1.000000,1.000000,0.000000,0.000000,1.000000
none,clique_expansion,test,noisy_occurrence,0,0.000000,0.000000,0.000000,0.000000,0.000000
none,clique_expansion,test,reticulate,4,0.750000,0.750000,1.000000,0.000000,0.750000
none,clique_expansion,test,strict_hierarchy,5,1.000000,1.000000,0.000000,0.000000,1.000000
none,clique_expansion,test,synonym_or_rename,12,0.000000,0.000000,3.500000,0.000000,0.000000
none,clique_expansion,test,trait_convergence,0,0.000000,0.000000,0.000000,0.000000,0.000000
none,native_hypergraph,test,missing_rank,1,1.000000,1.000000,0.000000,0.000000,1.000000
none,native_hypergraph,test,noisy_occurrence,0,0.000000,0.000000,0.000000,0.000000,0.000000
none,native_hypergraph,test,reticulate,4,0.750000,0.750000,0.750000,0.000000,0.750000
none,native_hypergraph,test,strict_hierarchy,5,1.000000,1.000000,0.000000,0.000000,1.000000
none,native_hypergraph,test,synonym_or_rename,12,0.000000,0.000000,3.000000,0.000000,0.000000
none,native_hypergraph,test,trait_convergence,0,0.000000,0.000000,0.000000,0.000000,0.000000
