edge_id,edge_family,node_id,node_type,role,role_weight,edge_weight,provenance,is_synthetic
edge:tax_parent:gbif:2878688,taxonomic_parentage,gbif:2878688,taxon,child_taxon,1.000,0.800,GBIF,false
edge:tax_parent:gbif:2878688,taxonomic_parentage,gbif:2877951,taxon,parent_taxon,1.000,0.800,GBIF,false
edge:tax_parent:gbif:2878688,taxonomic_parentage,rank:SPECIES,rank,child_rank,1.000,0.800,GBIF,false
edge:tax_parent:gbif:2878688,taxonomic_parentage,source:GBIF,source,source,1.000,0.800,GBIF,false
edge:source_context:quercus_robur,regional_checklist_context,query:quercus_robur,name_string,query_name,1.000,0.700,public_source_crosswalk,false
edge:source_context:quercus_robur,regional_checklist_context,wfo:wfo-0000292858,taxon,wfo_taxon,1.000,0.700,public_source_crosswalk,false
edge:source_context:quercus_robur,regional_checklist_context,gbif:2878688,taxon,gbif_taxon,1.000,0.700,public_source_crosswalk,false
edge:source_context:quercus_robur,regional_checklist_context,ott:239659,taxon,opentree_taxon,1.000,0.700,public_source_crosswalk,false
edge:source_context:quercus_robur,regional_checklist_context,source:wfo,source,source,1.000,0.700,public_source_crosswalk,false
edge:source_context:quercus_robur,regional_checklist_context,source:gbif,source,source,1.000,0.700,public_source_crosswalk,false
edge:source_context:quercus_robur,regional_checklist_context,source:opentree,source,source,1.000,0.700,public_source_crosswalk,false
edge:tax_parent:gbif:2704179,taxonomic_parentage,gbif:2704179,taxon,child_taxon,1.000,0.800,GBIF,false
edge:tax_parent:gbif:2704179,taxonomic_parentage,gbif:2704173,taxon,parent_taxon,1.000,0.800,GBIF,false
edge:tax_parent:gbif:2704179,taxonomic_parentage,rank:SPECIES,rank,child_rank,1.000,0.800,GBIF,false
edge:tax_parent:gbif:2704179,taxonomic_parentage,source:GBIF,source,source,1.000,0.800,GBIF,false
edge:source_context:poa_annua,regional_checklist_context,query:poa_annua,name_string,query_name,1.000,0.700,public_source_crosswalk,false
edge:source_context:poa_annua,regional_checklist_context,wfo:wfo-0000891536,taxon,wfo_taxon,1.000,0.700,public_source_crosswalk,false
edge:source_context:poa_annua,regional_checklist_context,gbif:2704179,taxon,gbif_taxon,1.000,0.700,public_source_crosswalk,false
edge:source_context:poa_annua,regional_checklist_context,ott:510850,taxon,opentree_taxon,1.000,0.700,public_source_crosswalk,false
edge:source_context:poa_annua,regional_checklist_context,source:wfo,source,source,1.000,0.700,public_source_crosswalk,false
edge:source_context:poa_annua,regional_checklist_context,source:gbif,source,source,1.000,0.700,public_source_crosswalk,false
