source_group	edge_type	input_rows	retained_raw_name_only_before	retained_full_member_after	raw_name_only_collapsed_rows	full_member_collapsed_rows
chemodiversity_ethnobotany_sources	bioactivity_assertion	28733	28733	28733	0	0
chemodiversity_ethnobotany_sources	ethnobotanical_use_assertion	127564	127564	127564	0	0
chemodiversity_ethnobotany_sources	phytochemical_assertion	103663	96562	101484	7101	2179
convergence_sources	fruit_morphology	136427	26914	78963	109513	57464
convergence_sources	life_form	127696	31737	46290	95959	81406
convergence_sources	trait_syndrome	156422	31712	84044	124710	72378
domestication_sources	crop_pedigree	43	43	43	0	0
domestication_sources	cultivation_or_domestication	104	104	104	0	0
domestication_sources	vavilov_center_hyperedge	43	43	43	0	0
paleobotany_sources	anachronism_candidate_edge	31	31	31	0	0
paleobotany_sources	distribution	52	52	52	0	0
reticulation_sources	chromosome_count_assertion	12	12	12	0	0
reticulation_sources	hybridization_event	1	1	1	0	0
reticulation_sources	polyploidization_event	4	4	4	0	0
reticulation_sources	reticulate_inheritance_evidence	11	6	11	5	0
taxonomy_backbone	synonym_cluster	113582	113582	113582	0	0
taxonomy_backbone	taxonomic_conflict	62	62	62	0	0
taxonomy_backbone	taxonomic_parentage	60000	60000	60000	0	0
wikidata_commons	image_evidence	160	160	160	0	0
