node_id	node_type	label	source_id	source_record_id	taxon_rank	pending_crosswalk	clone_id
fruit_type:2de32ff55bf5d4da	fruit_type	diaspore_fleshiness:dry	austraits_6_0_0	diaspore_fleshiness		false	clone-3
fruit_type:6756c274b2d5d0dc	fruit_type	diaspore_fleshiness:fleshy	austraits_6_0_0	diaspore_fleshiness		false	clone-3
fruit_type:0e2a0c104b9666fe	fruit_type	fruit_dehiscence:dehiscent	austraits_6_0_0	fruit_dehiscence		false	clone-3
fruit_type:3b0e051e77fab373	fruit_type	fruit_dehiscence:indehiscent	austraits_6_0_0	fruit_dehiscence		false	clone-3
fruit_type:bd55ea7e8d16fc00	fruit_type	fruit_fleshiness:dry	austraits_6_0_0	fruit_fleshiness		false	clone-3
fruit_type:69abd2d922ddbc6a	fruit_type	fruit_fleshiness:fleshy	austraits_6_0_0	fruit_fleshiness		false	clone-3
fruit_type:63b83512d043c4c0	fruit_type	fruit_type:achene	austraits_6_0_0	fruit_type		false	clone-3
fruit_type:ac282e8bfa14ba72	fruit_type	fruit_type:anthocarp	austraits_6_0_0	fruit_type		false	clone-3
fruit_type:566822a8af464dbf	fruit_type	fruit_type:berry	austraits_6_0_0	fruit_type		false	clone-3
fruit_type:fab38e93b1cf572f	fruit_type	fruit_type:capsule	austraits_6_0_0	fruit_type		false	clone-3
fruit_type:1142407a45752d32	fruit_type	fruit_type:caryopsis	austraits_6_0_0	fruit_type		false	clone-3
fruit_type:a7c6203db0a9067f	fruit_type	fruit_type:compound_fruit_other	austraits_6_0_0	fruit_type		false	clone-3
fruit_type:695e15bc359edf87	fruit_type	fruit_type:drupe	austraits_6_0_0	fruit_type		false	clone-3
fruit_type:6efc38481c61fa49	fruit_type	fruit_type:follicle	austraits_6_0_0	fruit_type		false	clone-3
fruit_type:ad26b9d179d22b53	fruit_type	fruit_type:legume	austraits_6_0_0	fruit_type		false	clone-3
fruit_type:6f27e30a3a13794d	fruit_type	fruit_type:legume_indehiscent	austraits_6_0_0	fruit_type		false	clone-3
