node_id	node_type	raw_label	canonical_taxon	attributes_json	source_id	source_provenance_json	allowed_evidence_scope	caveats_json
landrace:Hordeum_vulgare_landrace_Bere_Scottish/Faroese	landrace	Hordeum vulgare landrace 'Bere' (Scottish/Faroese)	Hordeum vulgare	"{""region"": ""northern Atlantic Europe""}"	usda_grin	"{""source_id"": ""usda_grin"", ""source_name"": ""USDA GRIN-Global"", ""source_version_or_release"": ""site probed 2026-05-17"", ""access_date"": ""2026-05-17"", ""license"": ""Public domain (US gov)"", ""attribution"": ""USDA-ARS National Plant Germplasm System (NPGS) GRIN-Global"", ""source_reliability"": 0.92, ""note"": ""GRIN-Global accession cluster""}"	supports 'this landrace is recorded by the cited genebank/source'; does not support uncontested geographic origin	"{""note"": ""GRIN-Global accession cluster""}"
landrace:Hordeum_vulgare_landrace_Tibetan_hulless_barley	landrace	Hordeum vulgare landrace 'Tibetan hulless barley'	Hordeum vulgare	"{""region"": ""vc:central_asian""}"	genesys	"{""source_id"": ""genesys"", ""source_name"": ""Genesys germplasm"", ""source_version_or_release"": ""API/DUMP accessed 2026-05-17"", ""access_date"": ""2026-05-17"", ""license"": ""CC-BY (DOI per accession)"", ""attribution"": ""Genesys PGR, Crop Trust + partners; accession DOIs"", ""source_reliability"": 0.88, ""note"": ""Genesys accession cluster""}"	supports 'this landrace is recorded by the cited genebank/source'; does not support uncontested geographic origin	"{""note"": ""Genesys accession cluster""}"
landrace:Triticum_aestivum_landrace_Khorasan	landrace	Triticum aestivum landrace 'Khorasan'	Triticum aestivum	"{""region"": ""vc:near_eastern""}"	fao_wiews	"{""source_id"": ""fao_wiews"", ""source_name"": ""FAO WIEWS / Plant Treaty"", ""source_version_or_release"": ""site probed 2026-05-17"", ""access_date"": ""2026-05-17"", ""license"": ""CC-BY (FAO open data)"", ""attribution"": ""FAO World Information and Early Warning System on Plant Genetic Resources"", ""source_reliability"": 0.85, ""note"": ""FAO WIEWS country report""}"	supports 'this landrace is recorded by the cited genebank/source'; does not support uncontested geographic origin	"{""note"": ""FAO WIEWS country report""}"
landrace:Triticum_turgidum_subsp._durum_landrace_Senatore_Cappelli	landrace	Triticum turgidum subsp. durum landrace 'Senatore Cappelli'	Triticum turgidum subsp. durum	"{""region"": ""vc:mediterranean""}"	fao_wiews	"{""source_id"": ""fao_wiews"", ""source_name"": ""FAO WIEWS / Plant Treaty"", ""source_version_or_release"": ""site probed 2026-05-17"", ""access_date"": ""2026-05-17"", ""license"": ""CC-BY (FAO open data)"", ""attribution"": ""FAO World Information and Early Warning System on Plant Genetic Resources"", ""source_reliability"": 0.85, ""note"": ""FAO WIEWS country report""}"	supports 'this landrace is recorded by the cited genebank/source'; does not support uncontested geographic origin	"{""note"": ""FAO WIEWS country report""}"
landrace:Oryza_sativa_landrace_Basmati	landrace	Oryza sativa landrace 'Basmati'	Oryza sativa	"{""region"": ""vc:indian""}"	genesys	"{""source_id"": ""genesys"", ""source_name"": ""Genesys germplasm"", ""source_version_or_release"": ""API/DUMP accessed 2026-05-17"", ""access_date"": ""2026-05-17"", ""license"": ""CC-BY (DOI per accession)"", ""attribution"": ""Genesys PGR, Crop Trust + partners; accession DOIs"", ""source_reliability"": 0.88, ""note"": ""Genesys accession cluster""}"	supports 'this landrace is recorded by the cited genebank/source'; does not support uncontested geographic origin	"{""note"": ""Genesys accession cluster""}"
landrace:Oryza_sativa_landrace_Carolina_Gold	landrace	Oryza sativa landrace 'Carolina Gold'	Oryza sativa	"{""region"": ""vc:north_american""}"	usda_grin	"{""source_id"": ""usda_grin"", ""source_name"": ""USDA GRIN-Global"", ""source_version_or_release"": ""site probed 2026-05-17"", ""access_date"": ""2026-05-17"", ""license"": ""Public domain (US gov)"", ""attribution"": ""USDA-ARS National Plant Germplasm System (NPGS) GRIN-Global"", ""source_reliability"": 0.92, ""note"": ""GRIN-Global PI cluster""}"	supports 'this landrace is recorded by the cited genebank/source'; does not support uncontested geographic origin	"{""note"": ""GRIN-Global PI cluster""}"
landrace:Oryza_sativa_landrace_Bario_Sarawak	landrace	Oryza sativa landrace 'Bario' (Sarawak)	Oryza sativa	"{""region"": ""vc:indo_malay""}"	fao_wiews	"{""source_id"": ""fao_wiews"", ""source_name"": ""FAO WIEWS / Plant Treaty"", ""source_version_or_release"": ""site probed 2026-05-17"", ""access_date"": ""2026-05-17"", ""license"": ""CC-BY (FAO open data)"", ""attribution"": ""FAO World Information and Early Warning System on Plant Genetic Resources"", ""source_reliability"": 0.85, ""note"": ""FAO country report""}"	supports 'this landrace is recorded by the cited genebank/source'; does not support uncontested geographic origin	"{""note"": ""FAO country report""}"
landrace:Zea_mays_landrace_Conico_Mexico	landrace	Zea mays landrace 'Conico' (Mexico)	Zea mays	"{""region"": ""vc:south_mexican""}"	genesys	"{""source_id"": ""genesys"", ""source_name"": ""Genesys germplasm"", ""source_version_or_release"": ""API/DUMP accessed 2026-05-17"", ""access_date"": ""2026-05-17"", ""license"": ""CC-BY (DOI per accession)"", ""attribution"": ""Genesys PGR, Crop Trust + partners; accession DOIs"", ""source_reliability"": 0.88, ""note"": ""Genesys accession cluster""}"	supports 'this landrace is recorded by the cited genebank/source'; does not support uncontested geographic origin	"{""note"": ""Genesys accession cluster""}"
landrace:Zea_mays_landrace_Chapalote_Mexico	landrace	Zea mays landrace 'Chapalote' (Mexico)	Zea mays	"{""region"": ""vc:south_mexican""}"	usda_grin	"{""source_id"": ""usda_grin"", ""source_name"": ""USDA GRIN-Global"", ""source_version_or_release"": ""site probed 2026-05-17"", ""access_date"": ""2026-05-17"", ""license"": ""Public domain (US gov)"", ""attribution"": ""USDA-ARS National Plant Germplasm System (NPGS) GRIN-Global"", ""source_reliability"": 0.92, ""note"": ""GRIN-Global PI cluster""}"	supports 'this landrace is recorded by the cited genebank/source'; does not support uncontested geographic origin	"{""note"": ""GRIN-Global PI cluster""}"
landrace:Zea_mays_landrace_Cuzco_Peru	landrace	Zea mays landrace 'Cuzco' (Peru)	Zea mays	"{""region"": ""vc:south_american""}"	genesys	"{""source_id"": ""genesys"", ""source_name"": ""Genesys germplasm"", ""source_version_or_release"": ""API/DUMP accessed 2026-05-17"", ""access_date"": ""2026-05-17"", ""license"": ""CC-BY (DOI per accession)"", ""attribution"": ""Genesys PGR, Crop Trust + partners; accession DOIs"", ""source_reliability"": 0.88, ""note"": ""Genesys accession cluster""}"	supports 'this landrace is recorded by the cited genebank/source'; does not support uncontested geographic origin	"{""note"": ""Genesys accession cluster""}"
