accepted_taxon_key,wfo_id,accepted_name,rank,family,genus,species,infraspecific_epithet,major_clade,parent_wfo_id,source,source_identifier,access_date,license,ingest_clone_id,provenance_url
wfo:wfo-7000000001-2025-12,wfo-7000000001-2025-12,Acanthaceae,family,Acanthaceae,,,,Angiosperms,wfo-9000000283-2025-12,WFO,wfo-7000000001-2025-12,2026-05-17,WFO Plant List 2025-12; Zenodo DOI 10.5281/zenodo.18007552; see metadata.json/license,fork-e34b5b2c1c6c-clone-0,https://list.worldfloraonline.org/wfo-7000000001-2025-12
wfo:wfo-7000000002-2025-12,wfo-7000000002-2025-12,Achariaceae,family,Achariaceae,,,,Angiosperms,wfo-9000000311-2025-12,WFO,wfo-7000000002-2025-12,2026-05-17,WFO Plant List 2025-12; Zenodo DOI 10.5281/zenodo.18007552; see metadata.json/license,fork-e34b5b2c1c6c-clone-0,https://list.worldfloraonline.org/wfo-7000000002-2025-12
wfo:wfo-7000000003-2025-12,wfo-7000000003-2025-12,Achatocarpaceae,family,Achatocarpaceae,,,,Angiosperms,wfo-9000000088-2025-12,WFO,wfo-7000000003-2025-12,2026-05-17,WFO Plant List 2025-12; Zenodo DOI 10.5281/zenodo.18007552; see metadata.json/license,fork-e34b5b2c1c6c-clone-0,https://list.worldfloraonline.org/wfo-7000000003-2025-12
wfo:wfo-7000000004-2025-12,wfo-7000000004-2025-12,Acoraceae,family,Acoraceae,,,,Angiosperms,wfo-9000000003-2025-12,WFO,wfo-7000000004-2025-12,2026-05-17,WFO Plant List 2025-12; Zenodo DOI 10.5281/zenodo.18007552; see metadata.json/license,fork-e34b5b2c1c6c-clone-0,https://list.worldfloraonline.org/wfo-7000000004-2025-12
wfo:wfo-7000000006-2025-12,wfo-7000000006-2025-12,Actinidiaceae,family,Actinidiaceae,,,,Angiosperms,wfo-9000000193-2025-12,WFO,wfo-7000000006-2025-12,2026-05-17,WFO Plant List 2025-12; Zenodo DOI 10.5281/zenodo.18007552; see metadata.json/license,fork-e34b5b2c1c6c-clone-0,https://list.worldfloraonline.org/wfo-7000000006-2025-12
wfo:wfo-7000000009-2025-12,wfo-7000000009-2025-12,Aextoxicaceae,family,Aextoxicaceae,,,,Angiosperms,wfo-9000000055-2025-12,WFO,wfo-7000000009-2025-12,2026-05-17,WFO Plant List 2025-12; Zenodo DOI 10.5281/zenodo.18007552; see metadata.json/license,fork-e34b5b2c1c6c-clone-0,https://list.worldfloraonline.org/wfo-7000000009-2025-12
wfo:wfo-7000000656-2025-12,wfo-7000000656-2025-12,Agdestidaceae,family,Agdestidaceae,,,,Angiosperms,wfo-9000000088-2025-12,WFO,wfo-7000000656-2025-12,2026-05-17,WFO Plant List 2025-12; Zenodo DOI 10.5281/zenodo.18007552; see metadata.json/license,fork-e34b5b2c1c6c-clone-0,https://list.worldfloraonline.org/wfo-7000000656-2025-12
wfo:wfo-7000000010-2025-12,wfo-7000000010-2025-12,Aizoaceae,family,Aizoaceae,,,,Angiosperms,wfo-9000000088-2025-12,WFO,wfo-7000000010-2025-12,2026-05-17,WFO Plant List 2025-12; Zenodo DOI 10.5281/zenodo.18007552; see metadata.json/license,fork-e34b5b2c1c6c-clone-0,https://list.worldfloraonline.org/wfo-7000000010-2025-12
wfo:wfo-7000000011-2025-12,wfo-7000000011-2025-12,Akaniaceae,family,Akaniaceae,,,,Angiosperms,wfo-9000000069-2025-12,WFO,wfo-7000000011-2025-12,2026-05-17,WFO Plant List 2025-12; Zenodo DOI 10.5281/zenodo.18007552; see metadata.json/license,fork-e34b5b2c1c6c-clone-0,https://list.worldfloraonline.org/wfo-7000000011-2025-12
wfo:wfo-7000000012-2025-12,wfo-7000000012-2025-12,Alismataceae,family,Alismataceae,,,,Angiosperms,wfo-9000000013-2025-12,WFO,wfo-7000000012-2025-12,2026-05-17,WFO Plant List 2025-12; Zenodo DOI 10.5281/zenodo.18007552; see metadata.json/license,fork-e34b5b2c1c6c-clone-0,https://list.worldfloraonline.org/wfo-7000000012-2025-12
wfo:wfo-7000000014-2025-12,wfo-7000000014-2025-12,Alseuosmiaceae,family,Alseuosmiaceae,,,,Angiosperms,wfo-9000000038-2025-12,WFO,wfo-7000000014-2025-12,2026-05-17,WFO Plant List 2025-12; Zenodo DOI 10.5281/zenodo.18007552; see metadata.json/license,fork-e34b5b2c1c6c-clone-0,https://list.worldfloraonline.org/wfo-7000000014-2025-12
wfo:wfo-7000000015-2025-12,wfo-7000000015-2025-12,Alstroemeriaceae,family,Alstroemeriaceae,,,,Angiosperms,wfo-9000000298-2025-12,WFO,wfo-7000000015-2025-12,2026-05-17,WFO Plant List 2025-12; Zenodo DOI 10.5281/zenodo.18007552; see metadata.json/license,fork-e34b5b2c1c6c-clone-0,https://list.worldfloraonline.org/wfo-7000000015-2025-12
wfo:wfo-7000000016-2025-12,wfo-7000000016-2025-12,Altingiaceae,family,Altingiaceae,,,,Angiosperms,wfo-9000000481-2025-12,WFO,wfo-7000000016-2025-12,2026-05-17,WFO Plant List 2025-12; Zenodo DOI 10.5281/zenodo.18007552; see metadata.json/license,fork-e34b5b2c1c6c-clone-0,https://list.worldfloraonline.org/wfo-7000000016-2025-12
wfo:wfo-7000000658-2025-12,wfo-7000000658-2025-12,Alzateaceae,family,Alzateaceae,,,,Angiosperms,wfo-9000000339-2025-12,WFO,wfo-7000000658-2025-12,2026-05-17,WFO Plant List 2025-12; Zenodo DOI 10.5281/zenodo.18007552; see metadata.json/license,fork-e34b5b2c1c6c-clone-0,https://list.worldfloraonline.org/wfo-7000000658-2025-12
wfo:wfo-7000000017-2025-12,wfo-7000000017-2025-12,Amaranthaceae,family,Amaranthaceae,,,,Angiosperms,wfo-9000000088-2025-12,WFO,wfo-7000000017-2025-12,2026-05-17,WFO Plant List 2025-12; Zenodo DOI 10.5281/zenodo.18007552; see metadata.json/license,fork-e34b5b2c1c6c-clone-0,https://list.worldfloraonline.org/wfo-7000000017-2025-12
wfo:wfo-7000000018-2025-12,wfo-7000000018-2025-12,Amaryllidaceae,family,Amaryllidaceae,,,,Angiosperms,wfo-9000000036-2025-12,WFO,wfo-7000000018-2025-12,2026-05-17,WFO Plant List 2025-12; Zenodo DOI 10.5281/zenodo.18007552; see metadata.json/license,fork-e34b5b2c1c6c-clone-0,https://list.worldfloraonline.org/wfo-7000000018-2025-12
wfo:wfo-7000000020-2025-12,wfo-7000000020-2025-12,Amborellaceae,family,Amborellaceae,,,,Angiosperms,wfo-9000000014-2025-12,WFO,wfo-7000000020-2025-12,2026-05-17,WFO Plant List 2025-12; Zenodo DOI 10.5281/zenodo.18007552; see metadata.json/license,fork-e34b5b2c1c6c-clone-0,https://list.worldfloraonline.org/wfo-7000000020-2025-12
wfo:wfo-7000000021-2025-12,wfo-7000000021-2025-12,Anacampserotaceae,family,Anacampserotaceae,,,,Angiosperms,wfo-9000000088-2025-12,WFO,wfo-7000000021-2025-12,2026-05-17,WFO Plant List 2025-12; Zenodo DOI 10.5281/zenodo.18007552; see metadata.json/license,fork-e34b5b2c1c6c-clone-0,https://list.worldfloraonline.org/wfo-7000000021-2025-12
wfo:wfo-7000000022-2025-12,wfo-7000000022-2025-12,Anacardiaceae,family,Anacardiaceae,,,,Angiosperms,wfo-9000000478-2025-12,WFO,wfo-7000000022-2025-12,2026-05-17,WFO Plant List 2025-12; Zenodo DOI 10.5281/zenodo.18007552; see metadata.json/license,fork-e34b5b2c1c6c-clone-0,https://list.worldfloraonline.org/wfo-7000000022-2025-12
wfo:wfo-7000000025-2025-12,wfo-7000000025-2025-12,Ancistrocladaceae,family,Ancistrocladaceae,,,,Angiosperms,wfo-9000000088-2025-12,WFO,wfo-7000000025-2025-12,2026-05-17,WFO Plant List 2025-12; Zenodo DOI 10.5281/zenodo.18007552; see metadata.json/license,fork-e34b5b2c1c6c-clone-0,https://list.worldfloraonline.org/wfo-7000000025-2025-12
wfo:wfo-7000000030-2025-12,wfo-7000000030-2025-12,Anisophylleaceae,family,Anisophylleaceae,,,,Angiosperms,wfo-9000000142-2025-12,WFO,wfo-7000000030-2025-12,2026-05-17,WFO Plant List 2025-12; Zenodo DOI 10.5281/zenodo.18007552; see metadata.json/license,fork-e34b5b2c1c6c-clone-0,https://list.worldfloraonline.org/wfo-7000000030-2025-12
wfo:wfo-7000000031-2025-12,wfo-7000000031-2025-12,Annonaceae,family,Annonaceae,,,,Angiosperms,wfo-9000000310-2025-12,WFO,wfo-7000000031-2025-12,2026-05-17,WFO Plant List 2025-12; Zenodo DOI 10.5281/zenodo.18007552; see metadata.json/license,fork-e34b5b2c1c6c-clone-0,https://list.worldfloraonline.org/wfo-7000000031-2025-12
wfo:wfo-7000000034-2025-12,wfo-7000000034-2025-12,Aphanopetalaceae,family,Aphanopetalaceae,,,,Angiosperms,wfo-9000000481-2025-12,WFO,wfo-7000000034-2025-12,2026-05-17,WFO Plant List 2025-12; Zenodo DOI 10.5281/zenodo.18007552; see metadata.json/license,fork-e34b5b2c1c6c-clone-0,https://list.worldfloraonline.org/wfo-7000000034-2025-12
wfo:wfo-7000000035-2025-12,wfo-7000000035-2025-12,Aphloiaceae,family,Aphloiaceae,,,,Angiosperms,wfo-9000000139-2025-12,WFO,wfo-7000000035-2025-12,2026-05-17,WFO Plant List 2025-12; Zenodo DOI 10.5281/zenodo.18007552; see metadata.json/license,fork-e34b5b2c1c6c-clone-0,https://list.worldfloraonline.org/wfo-7000000035-2025-12
wfo:wfo-7000000036-2025-12,wfo-7000000036-2025-12,Apiaceae,family,Apiaceae,,,,Angiosperms,wfo-9000000022-2025-12,WFO,wfo-7000000036-2025-12,2026-05-17,WFO Plant List 2025-12; Zenodo DOI 10.5281/zenodo.18007552; see metadata.json/license,fork-e34b5b2c1c6c-clone-0,https://list.worldfloraonline.org/wfo-7000000036-2025-12
wfo:wfo-7000000038-2025-12,wfo-7000000038-2025-12,Apocynaceae,family,Apocynaceae,,,,Angiosperms,wfo-9000000222-2025-12,WFO,wfo-7000000038-2025-12,2026-05-17,WFO Plant List 2025-12; Zenodo DOI 10.5281/zenodo.18007552; see metadata.json/license,fork-e34b5b2c1c6c-clone-0,https://list.worldfloraonline.org/wfo-7000000038-2025-12
wfo:wfo-7000000039-2025-12,wfo-7000000039-2025-12,Apodanthaceae,family,Apodanthaceae,,,,Angiosperms,wfo-9000000142-2025-12,WFO,wfo-7000000039-2025-12,2026-05-17,WFO Plant List 2025-12; Zenodo DOI 10.5281/zenodo.18007552; see metadata.json/license,fork-e34b5b2c1c6c-clone-0,https://list.worldfloraonline.org/wfo-7000000039-2025-12
wfo:wfo-7000000040-2025-12,wfo-7000000040-2025-12,Aponogetonaceae,family,Aponogetonaceae,,,,Angiosperms,wfo-9000000013-2025-12,WFO,wfo-7000000040-2025-12,2026-05-17,WFO Plant List 2025-12; Zenodo DOI 10.5281/zenodo.18007552; see metadata.json/license,fork-e34b5b2c1c6c-clone-0,https://list.worldfloraonline.org/wfo-7000000040-2025-12
wfo:wfo-7000000041-2025-12,wfo-7000000041-2025-12,Aquifoliaceae,family,Aquifoliaceae,,,,Angiosperms,wfo-9000000023-2025-12,WFO,wfo-7000000041-2025-12,2026-05-17,WFO Plant List 2025-12; Zenodo DOI 10.5281/zenodo.18007552; see metadata.json/license,fork-e34b5b2c1c6c-clone-0,https://list.worldfloraonline.org/wfo-7000000041-2025-12
wfo:wfo-7000000042-2025-12,wfo-7000000042-2025-12,Araceae,family,Araceae,,,,Angiosperms,wfo-9000000013-2025-12,WFO,wfo-7000000042-2025-12,2026-05-17,WFO Plant List 2025-12; Zenodo DOI 10.5281/zenodo.18007552; see metadata.json/license,fork-e34b5b2c1c6c-clone-0,https://list.worldfloraonline.org/wfo-7000000042-2025-12
wfo:wfo-7000000043-2025-12,wfo-7000000043-2025-12,Araliaceae,family,Araliaceae,,,,Angiosperms,wfo-9000000022-2025-12,WFO,wfo-7000000043-2025-12,2026-05-17,WFO Plant List 2025-12; Zenodo DOI 10.5281/zenodo.18007552; see metadata.json/license,fork-e34b5b2c1c6c-clone-0,https://list.worldfloraonline.org/wfo-7000000043-2025-12
wfo:wfo-7000000046-2025-12,wfo-7000000046-2025-12,Arecaceae,family,Arecaceae,,,,Angiosperms,wfo-9000000030-2025-12,WFO,wfo-7000000046-2025-12,2026-05-17,WFO Plant List 2025-12; Zenodo DOI 10.5281/zenodo.18007552; see metadata.json/license,fork-e34b5b2c1c6c-clone-0,https://list.worldfloraonline.org/wfo-7000000046-2025-12
wfo:wfo-7000000047-2025-12,wfo-7000000047-2025-12,Argophyllaceae,family,Argophyllaceae,,,,Angiosperms,wfo-9000000038-2025-12,WFO,wfo-7000000047-2025-12,2026-05-17,WFO Plant List 2025-12; Zenodo DOI 10.5281/zenodo.18007552; see metadata.json/license,fork-e34b5b2c1c6c-clone-0,https://list.worldfloraonline.org/wfo-7000000047-2025-12
wfo:wfo-7000000048-2025-12,wfo-7000000048-2025-12,Aristolochiaceae,family,Aristolochiaceae,,,,Angiosperms,wfo-9000000406-2025-12,WFO,wfo-7000000048-2025-12,2026-05-17,WFO Plant List 2025-12; Zenodo DOI 10.5281/zenodo.18007552; see metadata.json/license,fork-e34b5b2c1c6c-clone-0,https://list.worldfloraonline.org/wfo-7000000048-2025-12
wfo:wfo-7000000050-2025-12,wfo-7000000050-2025-12,Asparagaceae,family,Asparagaceae,,,,Angiosperms,wfo-9000000036-2025-12,WFO,wfo-7000000050-2025-12,2026-05-17,WFO Plant List 2025-12; Zenodo DOI 10.5281/zenodo.18007552; see metadata.json/license,fork-e34b5b2c1c6c-clone-0,https://list.worldfloraonline.org/wfo-7000000050-2025-12
wfo:wfo-7000000659-2025-12,wfo-7000000659-2025-12,Asphodelaceae,family,Asphodelaceae,,,,Angiosperms,wfo-9000000036-2025-12,WFO,wfo-7000000659-2025-12,2026-05-17,WFO Plant List 2025-12; Zenodo DOI 10.5281/zenodo.18007552; see metadata.json/license,fork-e34b5b2c1c6c-clone-0,https://list.worldfloraonline.org/wfo-7000000659-2025-12
wfo:wfo-7000000052-2025-12,wfo-7000000052-2025-12,Asteliaceae,family,Asteliaceae,,,,Angiosperms,wfo-9000000036-2025-12,WFO,wfo-7000000052-2025-12,2026-05-17,WFO Plant List 2025-12; Zenodo DOI 10.5281/zenodo.18007552; see metadata.json/license,fork-e34b5b2c1c6c-clone-0,https://list.worldfloraonline.org/wfo-7000000052-2025-12
wfo:wfo-7000000146-2025-12,wfo-7000000146-2025-12,Asteraceae,family,Asteraceae,,,,Angiosperms,wfo-9000000038-2025-12,WFO,wfo-7000000146-2025-12,2026-05-17,WFO Plant List 2025-12; Zenodo DOI 10.5281/zenodo.18007552; see metadata.json/license,fork-e34b5b2c1c6c-clone-0,https://list.worldfloraonline.org/wfo-7000000146-2025-12
wfo:wfo-7000000053-2025-12,wfo-7000000053-2025-12,Asteropeiaceae,family,Asteropeiaceae,,,,Angiosperms,wfo-9000000088-2025-12,WFO,wfo-7000000053-2025-12,2026-05-17,WFO Plant List 2025-12; Zenodo DOI 10.5281/zenodo.18007552; see metadata.json/license,fork-e34b5b2c1c6c-clone-0,https://list.worldfloraonline.org/wfo-7000000053-2025-12
