source_local_record_id,accepted_taxon_key,source,source_identifier,accepted_name,rank,family,genus,species,infraspecific_epithet,status,match_type,confidence,access_date,license,ingest_clone_id
2393,wfo:wfo-7000000001-2025-12,GBIF,2393,Acanthaceae,family,Acanthaceae,,,,ACCEPTED,EXACT,96,2026-05-17,GBIF API terms/citation guidelines,fork-e34b5b2c1c6c-clone-0
3231308,wfo:wfo-7000000002-2025-12,GBIF,3231308,Achariaceae,family,Achariaceae,,,,ACCEPTED,EXACT,96,2026-05-17,GBIF API terms/citation guidelines,fork-e34b5b2c1c6c-clone-0
3109,wfo:wfo-7000000003-2025-12,GBIF,3109,Achatocarpaceae,family,Achatocarpaceae,,,,ACCEPTED,EXACT,96,2026-05-17,GBIF API terms/citation guidelines,fork-e34b5b2c1c6c-clone-0
3719,wfo:wfo-7000000004-2025-12,GBIF,3719,Acoraceae,family,Acoraceae,,,,ACCEPTED,EXACT,96,2026-05-17,GBIF API terms/citation guidelines,fork-e34b5b2c1c6c-clone-0
2385,wfo:wfo-7000000006-2025-12,GBIF,2385,Actinidiaceae,family,Actinidiaceae,,,,ACCEPTED,EXACT,96,2026-05-17,GBIF API terms/citation guidelines,fork-e34b5b2c1c6c-clone-0
4195636,wfo:wfo-7000000009-2025-12,GBIF,4195636,Aextoxicaceae,family,Aextoxicaceae,,,,ACCEPTED,EXACT,96,2026-05-17,GBIF API terms/citation guidelines,fork-e34b5b2c1c6c-clone-0
3709918,wfo:wfo-7000000656-2025-12,GBIF,3709918,Agdestidaceae,family,Agdestidaceae,,,,ACCEPTED,EXACT,96,2026-05-17,GBIF API terms/citation guidelines,fork-e34b5b2c1c6c-clone-0
6752,wfo:wfo-7000000010-2025-12,GBIF,6752,Aizoaceae,family,Aizoaceae,,,,ACCEPTED,EXACT,96,2026-05-17,GBIF API terms/citation guidelines,fork-e34b5b2c1c6c-clone-0
3702273,wfo:wfo-7000000011-2025-12,GBIF,3702273,Akaniaceae,family,Akaniaceae,,,,ACCEPTED,EXACT,96,2026-05-17,GBIF API terms/citation guidelines,fork-e34b5b2c1c6c-clone-0
3720,wfo:wfo-7000000012-2025-12,GBIF,3720,Alismataceae,family,Alismataceae,,,,ACCEPTED,EXACT,96,2026-05-17,GBIF API terms/citation guidelines,fork-e34b5b2c1c6c-clone-0
3686178,wfo:wfo-7000000014-2025-12,GBIF,3686178,Alseuosmiaceae,family,Alseuosmiaceae,,,,ACCEPTED,EXACT,96,2026-05-17,GBIF API terms/citation guidelines,fork-e34b5b2c1c6c-clone-0
7695,wfo:wfo-7000000015-2025-12,GBIF,7695,Alstroemeriaceae,family,Alstroemeriaceae,,,,ACCEPTED,EXACT,96,2026-05-17,GBIF API terms/citation guidelines,fork-e34b5b2c1c6c-clone-0
4909328,wfo:wfo-7000000016-2025-12,GBIF,4909328,Altingiaceae,family,Altingiaceae,,,,ACCEPTED,EXACT,96,2026-05-17,GBIF API terms/citation guidelines,fork-e34b5b2c1c6c-clone-0
5909,wfo:wfo-7000000658-2025-12,GBIF,5909,Alzateaceae,family,Alzateaceae,,,,ACCEPTED,EXACT,96,2026-05-17,GBIF API terms/citation guidelines,fork-e34b5b2c1c6c-clone-0
3064,wfo:wfo-7000000017-2025-12,GBIF,3064,Amaranthaceae,family,Amaranthaceae,,,,ACCEPTED,EXACT,96,2026-05-17,GBIF API terms/citation guidelines,fork-e34b5b2c1c6c-clone-0
7682,wfo:wfo-7000000018-2025-12,GBIF,7682,Amaryllidaceae,family,Amaryllidaceae,,,,ACCEPTED,EXACT,96,2026-05-17,GBIF API terms/citation guidelines,fork-e34b5b2c1c6c-clone-0
3667900,wfo:wfo-7000000020-2025-12,GBIF,3667900,Amborellaceae,family,Amborellaceae,,,,ACCEPTED,EXACT,96,2026-05-17,GBIF API terms/citation guidelines,fork-e34b5b2c1c6c-clone-0
4909163,wfo:wfo-7000000021-2025-12,GBIF,4909163,Anacampserotaceae,family,Anacampserotaceae,,,,ACCEPTED,EXACT,96,2026-05-17,GBIF API terms/citation guidelines,fork-e34b5b2c1c6c-clone-0
2398,wfo:wfo-7000000022-2025-12,GBIF,2398,Anacardiaceae,family,Anacardiaceae,,,,ACCEPTED,EXACT,96,2026-05-17,GBIF API terms/citation guidelines,fork-e34b5b2c1c6c-clone-0
3231640,wfo:wfo-7000000025-2025-12,GBIF,3231640,Ancistrocladaceae,family,Ancistrocladaceae,,,,ACCEPTED,EXACT,96,2026-05-17,GBIF API terms/citation guidelines,fork-e34b5b2c1c6c-clone-0
3658075,wfo:wfo-7000000030-2025-12,GBIF,3658075,Anisophylleaceae,family,Anisophylleaceae,,,,ACCEPTED,EXACT,96,2026-05-17,GBIF API terms/citation guidelines,fork-e34b5b2c1c6c-clone-0
9291,wfo:wfo-7000000031-2025-12,GBIF,9291,Annonaceae,family,Annonaceae,,,,ACCEPTED,EXACT,96,2026-05-17,GBIF API terms/citation guidelines,fork-e34b5b2c1c6c-clone-0
3742941,wfo:wfo-7000000034-2025-12,GBIF,3742941,Aphanopetalaceae,family,Aphanopetalaceae,,,,ACCEPTED,EXACT,96,2026-05-17,GBIF API terms/citation guidelines,fork-e34b5b2c1c6c-clone-0
3231453,wfo:wfo-7000000035-2025-12,GBIF,3231453,Aphloiaceae,family,Aphloiaceae,,,,ACCEPTED,EXACT,96,2026-05-17,GBIF API terms/citation guidelines,fork-e34b5b2c1c6c-clone-0
6720,wfo:wfo-7000000036-2025-12,GBIF,6720,Apiaceae,family,Apiaceae,,,,ACCEPTED,EXACT,96,2026-05-17,GBIF API terms/citation guidelines,fork-e34b5b2c1c6c-clone-0
6701,wfo:wfo-7000000038-2025-12,GBIF,6701,Apocynaceae,family,Apocynaceae,,,,ACCEPTED,EXACT,96,2026-05-17,GBIF API terms/citation guidelines,fork-e34b5b2c1c6c-clone-0
3745203,wfo:wfo-7000000039-2025-12,GBIF,3745203,Apodanthaceae,family,Apodanthaceae,,,,ACCEPTED,EXACT,96,2026-05-17,GBIF API terms/citation guidelines,fork-e34b5b2c1c6c-clone-0
7678,wfo:wfo-7000000040-2025-12,GBIF,7678,Aponogetonaceae,family,Aponogetonaceae,,,,ACCEPTED,EXACT,96,2026-05-17,GBIF API terms/citation guidelines,fork-e34b5b2c1c6c-clone-0
6716,wfo:wfo-7000000041-2025-12,GBIF,6716,Aquifoliaceae,family,Aquifoliaceae,,,,ACCEPTED,EXACT,96,2026-05-17,GBIF API terms/citation guidelines,fork-e34b5b2c1c6c-clone-0
6979,wfo:wfo-7000000042-2025-12,GBIF,6979,Araceae,family,Araceae,,,,ACCEPTED,EXACT,96,2026-05-17,GBIF API terms/citation guidelines,fork-e34b5b2c1c6c-clone-0
8800,wfo:wfo-7000000043-2025-12,GBIF,8800,Araliaceae,family,Araliaceae,,,,ACCEPTED,EXACT,96,2026-05-17,GBIF API terms/citation guidelines,fork-e34b5b2c1c6c-clone-0
