source_local_record_id,accepted_taxon_key,source,source_identifier,accepted_name,rank,family,genus,species,infraspecific_epithet,status,match_type,confidence,access_date,license,ingest_clone_id
504642,wfo:wfo-7000000001-2025-12,OpenTree,504642,Acanthaceae,family,,,,,matched,name_search,1.0,2026-05-17,Open Tree of Life license/citation guidance,fork-e34b5b2c1c6c-clone-0
728327,wfo:wfo-7000000002-2025-12,OpenTree,728327,Achariaceae,family,,,,,matched,name_search,1.0,2026-05-17,Open Tree of Life license/citation guidance,fork-e34b5b2c1c6c-clone-0
161036,wfo:wfo-7000000003-2025-12,OpenTree,161036,Achatocarpaceae,family,,,,,matched,name_search,1.0,2026-05-17,Open Tree of Life license/citation guidance,fork-e34b5b2c1c6c-clone-0
162554,wfo:wfo-7000000004-2025-12,OpenTree,162554,Acoraceae,family,,,,,matched,name_search,1.0,2026-05-17,Open Tree of Life license/citation guidance,fork-e34b5b2c1c6c-clone-0
279976,wfo:wfo-7000000006-2025-12,OpenTree,279976,Actinidiaceae,family,,,,,matched,name_search,1.0,2026-05-17,Open Tree of Life license/citation guidance,fork-e34b5b2c1c6c-clone-0
939886,wfo:wfo-7000000009-2025-12,OpenTree,939886,Aextoxicaceae,family,,,,,matched,name_search,1.0,2026-05-17,Open Tree of Life license/citation guidance,fork-e34b5b2c1c6c-clone-0
353469,wfo:wfo-7000000656-2025-12,OpenTree,353469,Agdestidaceae,family,,,,,matched,name_search,1.0,2026-05-17,Open Tree of Life license/citation guidance,fork-e34b5b2c1c6c-clone-0
367508,wfo:wfo-7000000010-2025-12,OpenTree,367508,Aizoaceae,family,,,,,matched,name_search,1.0,2026-05-17,Open Tree of Life license/citation guidance,fork-e34b5b2c1c6c-clone-0
289012,wfo:wfo-7000000011-2025-12,OpenTree,289012,Akaniaceae,family,,,,,matched,name_search,1.0,2026-05-17,Open Tree of Life license/citation guidance,fork-e34b5b2c1c6c-clone-0
1058522,wfo:wfo-7000000012-2025-12,OpenTree,1058522,Alismataceae,family,,,,,matched,name_search,1.0,2026-05-17,Open Tree of Life license/citation guidance,fork-e34b5b2c1c6c-clone-0
637370,wfo:wfo-7000000014-2025-12,OpenTree,637370,Alseuosmiaceae,family,,,,,matched,name_search,1.0,2026-05-17,Open Tree of Life license/citation guidance,fork-e34b5b2c1c6c-clone-0
940129,wfo:wfo-7000000015-2025-12,OpenTree,940129,Alstroemeriaceae,family,,,,,matched,name_search,1.0,2026-05-17,Open Tree of Life license/citation guidance,fork-e34b5b2c1c6c-clone-0
853767,wfo:wfo-7000000016-2025-12,OpenTree,853767,Altingiaceae,family,,,,,matched,name_search,1.0,2026-05-17,Open Tree of Life license/citation guidance,fork-e34b5b2c1c6c-clone-0
809869,wfo:wfo-7000000658-2025-12,OpenTree,809869,Alzateaceae,family,,,,,matched,name_search,1.0,2026-05-17,Open Tree of Life license/citation guidance,fork-e34b5b2c1c6c-clone-0
317791,wfo:wfo-7000000017-2025-12,OpenTree,317791,Amaranthaceae,family,,,,,matched,name_search,1.0,2026-05-17,Open Tree of Life license/citation guidance,fork-e34b5b2c1c6c-clone-0
17701,wfo:wfo-7000000018-2025-12,OpenTree,17701,Amaryllidaceae,family,,,,,matched,name_search,1.0,2026-05-17,Open Tree of Life license/citation guidance,fork-e34b5b2c1c6c-clone-0
295910,wfo:wfo-7000000020-2025-12,OpenTree,295910,Amborellaceae,family,,,,,matched,name_search,1.0,2026-05-17,Open Tree of Life license/citation guidance,fork-e34b5b2c1c6c-clone-0
1061271,wfo:wfo-7000000021-2025-12,OpenTree,1061271,Anacampserotaceae,family,,,,,matched,name_search,1.0,2026-05-17,Open Tree of Life license/citation guidance,fork-e34b5b2c1c6c-clone-0
423320,wfo:wfo-7000000022-2025-12,OpenTree,423320,Anacardiaceae,family,,,,,matched,name_search,1.0,2026-05-17,Open Tree of Life license/citation guidance,fork-e34b5b2c1c6c-clone-0
61750,wfo:wfo-7000000025-2025-12,OpenTree,61750,Ancistrocladaceae,family,,,,,matched,name_search,1.0,2026-05-17,Open Tree of Life license/citation guidance,fork-e34b5b2c1c6c-clone-0
214526,wfo:wfo-7000000030-2025-12,OpenTree,214526,Anisophylleaceae,family,,,,,matched,name_search,1.0,2026-05-17,Open Tree of Life license/citation guidance,fork-e34b5b2c1c6c-clone-0
98426,wfo:wfo-7000000031-2025-12,OpenTree,98426,Annonaceae,family,,,,,matched,name_search,1.0,2026-05-17,Open Tree of Life license/citation guidance,fork-e34b5b2c1c6c-clone-0
656863,wfo:wfo-7000000034-2025-12,OpenTree,656863,Aphanopetalaceae,family,,,,,matched,name_search,1.0,2026-05-17,Open Tree of Life license/citation guidance,fork-e34b5b2c1c6c-clone-0
1087342,wfo:wfo-7000000035-2025-12,OpenTree,1087342,Aphloiaceae,family,,,,,matched,name_search,1.0,2026-05-17,Open Tree of Life license/citation guidance,fork-e34b5b2c1c6c-clone-0
