source_local_record_id,accepted_taxon_key,source,source_identifier,accepted_name,rank,family,genus,species,infraspecific_epithet,status,match_type,confidence,access_date,license,ingest_clone_id
urn:lsid:ipni.org:names:30000618-2,wfo:wfo-7000000001-2025-12,POWO,urn:lsid:ipni.org:names:30000618-2,Acanthaceae,family,Acanthaceae,,,,True,name_search,,2026-05-17,"Royal Botanic Gardens, Kew POWO website terms; API sampled conservatively",fork-e34b5b2c1c6c-clone-0
urn:lsid:ipni.org:names:77126656-1,wfo:wfo-7000000002-2025-12,POWO,urn:lsid:ipni.org:names:77126656-1,Achariaceae,family,Achariaceae,,,,True,name_search,,2026-05-17,"Royal Botanic Gardens, Kew POWO website terms; API sampled conservatively",fork-e34b5b2c1c6c-clone-0
urn:lsid:ipni.org:names:77126689-1,wfo:wfo-7000000003-2025-12,POWO,urn:lsid:ipni.org:names:77126689-1,Achatocarpaceae,family,Achatocarpaceae,,,,True,name_search,,2026-05-17,"Royal Botanic Gardens, Kew POWO website terms; API sampled conservatively",fork-e34b5b2c1c6c-clone-0
urn:lsid:ipni.org:names:77126753-1,wfo:wfo-7000000004-2025-12,POWO,urn:lsid:ipni.org:names:77126753-1,Acoraceae,family,Acoraceae,,,,True,name_search,,2026-05-17,"Royal Botanic Gardens, Kew POWO website terms; API sampled conservatively",fork-e34b5b2c1c6c-clone-0
urn:lsid:ipni.org:names:30005518-2,wfo:wfo-7000000006-2025-12,POWO,urn:lsid:ipni.org:names:30005518-2,Actinidiaceae,family,Actinidiaceae,,,,True,name_search,,2026-05-17,"Royal Botanic Gardens, Kew POWO website terms; API sampled conservatively",fork-e34b5b2c1c6c-clone-0
urn:lsid:ipni.org:names:77126714-1,wfo:wfo-7000000009-2025-12,POWO,urn:lsid:ipni.org:names:77126714-1,Aextoxicaceae,family,Aextoxicaceae,,,,True,name_search,,2026-05-17,"Royal Botanic Gardens, Kew POWO website terms; API sampled conservatively",fork-e34b5b2c1c6c-clone-0
urn:lsid:ipni.org:names:30004741-2,wfo:wfo-7000000010-2025-12,POWO,urn:lsid:ipni.org:names:30004741-2,Aizoaceae,family,Aizoaceae,,,,True,name_search,,2026-05-17,"Royal Botanic Gardens, Kew POWO website terms; API sampled conservatively",fork-e34b5b2c1c6c-clone-0
urn:lsid:ipni.org:names:77126629-1,wfo:wfo-7000000011-2025-12,POWO,urn:lsid:ipni.org:names:77126629-1,Akaniaceae,family,Akaniaceae,,,,True,name_search,,2026-05-17,"Royal Botanic Gardens, Kew POWO website terms; API sampled conservatively",fork-e34b5b2c1c6c-clone-0
urn:lsid:ipni.org:names:77126755-1,wfo:wfo-7000000012-2025-12,POWO,urn:lsid:ipni.org:names:77126755-1,Alismataceae,family,Alismataceae,,,,True,name_search,,2026-05-17,"Royal Botanic Gardens, Kew POWO website terms; API sampled conservatively",fork-e34b5b2c1c6c-clone-0
urn:lsid:ipni.org:names:77126665-1,wfo:wfo-7000000014-2025-12,POWO,urn:lsid:ipni.org:names:77126665-1,Alseuosmiaceae,family,Alseuosmiaceae,,,,True,name_search,,2026-05-17,"Royal Botanic Gardens, Kew POWO website terms; API sampled conservatively",fork-e34b5b2c1c6c-clone-0
urn:lsid:ipni.org:names:77126742-1,wfo:wfo-7000000015-2025-12,POWO,urn:lsid:ipni.org:names:77126742-1,Alstroemeriaceae,family,Alstroemeriaceae,,,,True,name_search,,2026-05-17,"Royal Botanic Gardens, Kew POWO website terms; API sampled conservatively",fork-e34b5b2c1c6c-clone-0
urn:lsid:ipni.org:names:60463114-2,wfo:wfo-7000000016-2025-12,POWO,urn:lsid:ipni.org:names:60463114-2,Altingiaceae,family,Altingiaceae,,,,True,name_search,,2026-05-17,"Royal Botanic Gardens, Kew POWO website terms; API sampled conservatively",fork-e34b5b2c1c6c-clone-0
urn:lsid:ipni.org:names:892852-1,wfo:wfo-7000000658-2025-12,POWO,urn:lsid:ipni.org:names:892852-1,Alzateaceae,family,Alzateaceae,,,,True,name_search,,2026-05-17,"Royal Botanic Gardens, Kew POWO website terms; API sampled conservatively",fork-e34b5b2c1c6c-clone-0
urn:lsid:ipni.org:names:30000566-2,wfo:wfo-7000000017-2025-12,POWO,urn:lsid:ipni.org:names:30000566-2,Amaranthaceae,family,Amaranthaceae,,,,True,name_search,,2026-05-17,"Royal Botanic Gardens, Kew POWO website terms; API sampled conservatively",fork-e34b5b2c1c6c-clone-0
urn:lsid:ipni.org:names:30000959-2,wfo:wfo-7000000018-2025-12,POWO,urn:lsid:ipni.org:names:30000959-2,Amaryllidaceae,family,Amaryllidaceae,,,,True,name_search,,2026-05-17,"Royal Botanic Gardens, Kew POWO website terms; API sampled conservatively",fork-e34b5b2c1c6c-clone-0
urn:lsid:ipni.org:names:77126703-1,wfo:wfo-7000000020-2025-12,POWO,urn:lsid:ipni.org:names:77126703-1,Amborellaceae,family,Amborellaceae,,,,True,name_search,,2026-05-17,"Royal Botanic Gardens, Kew POWO website terms; API sampled conservatively",fork-e34b5b2c1c6c-clone-0
urn:lsid:ipni.org:names:77103955-1,wfo:wfo-7000000021-2025-12,POWO,urn:lsid:ipni.org:names:77103955-1,Anacampserotaceae,family,Anacampserotaceae,,,,True,name_search,,2026-05-17,"Royal Botanic Gardens, Kew POWO website terms; API sampled conservatively",fork-e34b5b2c1c6c-clone-0
urn:lsid:ipni.org:names:30002342-2,wfo:wfo-7000000022-2025-12,POWO,urn:lsid:ipni.org:names:30002342-2,Anacardiaceae,family,Anacardiaceae,,,,True,name_search,,2026-05-17,"Royal Botanic Gardens, Kew POWO website terms; API sampled conservatively",fork-e34b5b2c1c6c-clone-0
urn:lsid:ipni.org:names:77126601-1,wfo:wfo-7000000025-2025-12,POWO,urn:lsid:ipni.org:names:77126601-1,Ancistrocladaceae,family,Ancistrocladaceae,,,,True,name_search,,2026-05-17,"Royal Botanic Gardens, Kew POWO website terms; API sampled conservatively",fork-e34b5b2c1c6c-clone-0
urn:lsid:ipni.org:names:77126652-1,wfo:wfo-7000000030-2025-12,POWO,urn:lsid:ipni.org:names:77126652-1,Anisophylleaceae,family,Anisophylleaceae,,,,True,name_search,,2026-05-17,"Royal Botanic Gardens, Kew POWO website terms; API sampled conservatively",fork-e34b5b2c1c6c-clone-0
urn:lsid:ipni.org:names:30000342-2,wfo:wfo-7000000031-2025-12,POWO,urn:lsid:ipni.org:names:30000342-2,Annonaceae,family,Annonaceae,,,,True,name_search,,2026-05-17,"Royal Botanic Gardens, Kew POWO website terms; API sampled conservatively",fork-e34b5b2c1c6c-clone-0
