accepted_taxon_key,conflict_type,disagreement_category,wfo_id,ott_id,powo_id,gbif_taxon_key,evidence,source,source_identifier,access_date,license,ingest_clone_id
wfo:wfo-7000001199-2025-12,accepted_name_disagreement,accepted_name_disagreement,wfo-7000001199-2025-12,147029,urn:lsid:ipni.org:names:30000475-2,2387,"{""gbif"": [""Hydrophyllaceae"", ""family""], ""opentree"": [""Boraginaceae"", ""family""], ""powo"": [""Hydrophyllaceae"", ""family""], ""wfo"": [""Hydrophyllaceae"", ""family""]}",crosswalk,wfo-7000001199-2025-12,2026-05-17,"GBIF API terms/citation guidelines; Open Tree of Life license/citation guidance; Royal Botanic Gardens, Kew POWO website terms; API sampled conservatively; WFO Plant List 2025-12; Zenodo DOI 10.5281/zenodo.18007552; see metadata.json/license",fork-e34b5b2c1c6c-clone-0
wfo:wfo-7000000318-2025-12,accepted_name_disagreement,accepted_name_disagreement,wfo-7000000318-2025-12,544714,urn:lsid:ipni.org:names:60456561-2,2497,"{""gbif"": [""Lamiaceae"", ""family""], ""opentree"": [""Lamiaceae"", ""family""], ""powo"": [""Labiatae"", ""family""], ""wfo"": [""Lamiaceae"", ""family""]}",crosswalk,wfo-7000000318-2025-12,2026-05-17,"GBIF API terms/citation guidelines; Open Tree of Life license/citation guidance; Royal Botanic Gardens, Kew POWO website terms; API sampled conservatively; WFO Plant List 2025-12; Zenodo DOI 10.5281/zenodo.18007552; see metadata.json/license",fork-e34b5b2c1c6c-clone-0
wfo:wfo-7000000671-2025-12,accepted_name_disagreement,accepted_name_disagreement,wfo-7000000671-2025-12,757494,urn:lsid:ipni.org:names:77162522-1,4924416,"{""gbif"": [""Viburnaceae"", ""family""], ""opentree"": [""Adoxaceae"", ""family""], ""powo"": [""Viburnaceae"", ""family""], ""wfo"": [""Viburnaceae"", ""family""]}",crosswalk,wfo-7000000671-2025-12,2026-05-17,"GBIF API terms/citation guidelines; Open Tree of Life license/citation guidance; Royal Botanic Gardens, Kew POWO website terms; API sampled conservatively; WFO Plant List 2025-12; Zenodo DOI 10.5281/zenodo.18007552; see metadata.json/license",fork-e34b5b2c1c6c-clone-0
wfo:wfo-0001326933-2025-12,accepted_name_disagreement,accepted_name_disagreement,wfo-0001326933-2025-12,,urn:lsid:ipni.org:names:53578-3,7279119,"{""gbif"": [""Abutilon oxycarpum f. acutatum Benth."", ""form""], ""opentree"": ["""", """"], ""powo"": [""Abutilon oxycarpum f. acutatum"", ""form""], ""wfo"": [""Abutilon oxycarpum f. acutatum"", ""form""]}",crosswalk,wfo-0001326933-2025-12,2026-05-17,"GBIF API terms/citation guidelines; Open Tree of Life license/citation guidance; Royal Botanic Gardens, Kew POWO website terms; API sampled conservatively; WFO Plant List 2025-12; Zenodo DOI 10.5281/zenodo.18007552; see metadata.json/license",fork-e34b5b2c1c6c-clone-0
wfo:wfo-0000923301-2025-12,accepted_name_disagreement,accepted_name_disagreement,wfo-0000923301-2025-12,,urn:lsid:ipni.org:names:1218-2,3057153,"{""gbif"": [""Acalypha dictyoneura f. reducta M\u00fcll.Arg."", ""form""], ""opentree"": ["""", """"], ""powo"": [""Acalypha dictyoneura f. reducta"", ""form""], ""wfo"": [""Acalypha dictyoneura f. reducta"", ""form""]}",crosswalk,wfo-0000923301-2025-12,2026-05-17,"GBIF API terms/citation guidelines; Open Tree of Life license/citation guidance; Royal Botanic Gardens, Kew POWO website terms; API sampled conservatively; WFO Plant List 2025-12; Zenodo DOI 10.5281/zenodo.18007552; see metadata.json/license",fork-e34b5b2c1c6c-clone-0
wfo:wfo-0000941771-2025-12,accepted_name_disagreement,accepted_name_disagreement,wfo-0000941771-2025-12,,urn:lsid:ipni.org:names:77188667-1,3056186,"{""gbif"": [""Acalypha glabrata f. pilosior (Kuntze) Prain & Hutch."", ""form""], ""opentree"": ["""", """"], ""powo"": [""Acalypha glabrata f. pilosior"", ""form""], ""wfo"": [""Acalypha glabrata f. pilosior"", ""form""]}",crosswalk,wfo-0000941771-2025-12,2026-05-17,"GBIF API terms/citation guidelines; Open Tree of Life license/citation guidance; Royal Botanic Gardens, Kew POWO website terms; API sampled conservatively; WFO Plant List 2025-12; Zenodo DOI 10.5281/zenodo.18007552; see metadata.json/license",fork-e34b5b2c1c6c-clone-0
wfo:wfo-0001078679-2025-12,accepted_name_disagreement,accepted_name_disagreement,wfo-0001078679-2025-12,,,7720210,"{""gbif"": [""Acer palmatum f. latilobatum (Koidz.) Ohwi"", ""form""], ""opentree"": ["""", """"], ""powo"": ["""", """"], ""wfo"": [""Acer palmatum f. latilobatum"", ""form""]}",crosswalk,wfo-0001078679-2025-12,2026-05-17,"GBIF API terms/citation guidelines; Open Tree of Life license/citation guidance; Royal Botanic Gardens, Kew POWO website terms; API sampled conservatively; WFO Plant List 2025-12; Zenodo DOI 10.5281/zenodo.18007552; see metadata.json/license",fork-e34b5b2c1c6c-clone-0
wfo:wfo-0000514854-2025-12,accepted_name_disagreement,accepted_name_disagreement,wfo-0000514854-2025-12,,urn:lsid:ipni.org:names:2616225-4,6359108,"{""gbif"": [""Acer pictum f. dissectum (Wesm.) H.Ohashi"", ""form""], ""opentree"": ["""", """"], ""powo"": [""Acer pictum f. dissectum"", ""form""], ""wfo"": [""Acer pictum f. dissectum"", ""form""]}",crosswalk,wfo-0000514854-2025-12,2026-05-17,"GBIF API terms/citation guidelines; Open Tree of Life license/citation guidance; Royal Botanic Gardens, Kew POWO website terms; API sampled conservatively; WFO Plant List 2025-12; Zenodo DOI 10.5281/zenodo.18007552; see metadata.json/license",fork-e34b5b2c1c6c-clone-0
wfo:wfo-0000514865-2025-12,accepted_name_disagreement,accepted_name_disagreement,wfo-0000514865-2025-12,,urn:lsid:ipni.org:names:2616235-4,6359081,"{""gbif"": [""Acer pictum f. mono (Maxim.) H.Ohashi, 1993"", ""form""], ""opentree"": ["""", """"], ""powo"": [""Acer pictum f. mono"", ""form""], ""wfo"": [""Acer pictum f. mono"", ""form""]}",crosswalk,wfo-0000514865-2025-12,2026-05-17,"GBIF API terms/citation guidelines; Open Tree of Life license/citation guidance; Royal Botanic Gardens, Kew POWO website terms; API sampled conservatively; WFO Plant List 2025-12; Zenodo DOI 10.5281/zenodo.18007552; see metadata.json/license",fork-e34b5b2c1c6c-clone-0
wfo:wfo-0000515944-2025-12,accepted_name_disagreement,accepted_name_disagreement,wfo-0000515944-2025-12,,urn:lsid:ipni.org:names:2270-2,3752392,"{""gbif"": [""Achatocarpus praecox f. obovatus (Schinz & Autran) Hauman"", ""form""], ""opentree"": ["""", """"], ""powo"": [""Achatocarpus praecox f. obovatus"", ""form""], ""wfo"": [""Achatocarpus praecox f. obovatus"", ""form""]}",crosswalk,wfo-0000515944-2025-12,2026-05-17,"GBIF API terms/citation guidelines; Open Tree of Life license/citation guidance; Royal Botanic Gardens, Kew POWO website terms; API sampled conservatively; WFO Plant List 2025-12; Zenodo DOI 10.5281/zenodo.18007552; see metadata.json/license",fork-e34b5b2c1c6c-clone-0
wfo:wfo-0000515945-2025-12,accepted_name_disagreement,accepted_name_disagreement,wfo-0000515945-2025-12,,urn:lsid:ipni.org:names:2269-2,3752405,"{""gbif"": [""Achatocarpus praecox f. spinulosus (Schinz & Autran) Hauman"", ""form""], ""opentree"": ["""", """"], ""powo"": [""Achatocarpus praecox f. spinulosus"", ""form""], ""wfo"": [""Achatocarpus praecox f. spinulosus"", ""form""]}",crosswalk,wfo-0000515945-2025-12,2026-05-17,"GBIF API terms/citation guidelines; Open Tree of Life license/citation guidance; Royal Botanic Gardens, Kew POWO website terms; API sampled conservatively; WFO Plant List 2025-12; Zenodo DOI 10.5281/zenodo.18007552; see metadata.json/license",fork-e34b5b2c1c6c-clone-0
wfo:wfo-0000519105-2025-12,accepted_name_disagreement,accepted_name_disagreement,wfo-0000519105-2025-12,,urn:lsid:ipni.org:names:3892-2,5371705,"{""gbif"": [""Actaea pachypoda f. rubrocarpa (Killip) Fernald"", ""form""], ""opentree"": ["""", """"], ""powo"": [""Actaea pachypoda f. rubrocarpa"", ""form""], ""wfo"": [""Actaea pachypoda f. rubrocarpa"", ""form""]}",crosswalk,wfo-0000519105-2025-12,2026-05-17,"GBIF API terms/citation guidelines; Open Tree of Life license/citation guidance; Royal Botanic Gardens, Kew POWO website terms; API sampled conservatively; WFO Plant List 2025-12; Zenodo DOI 10.5281/zenodo.18007552; see metadata.json/license",fork-e34b5b2c1c6c-clone-0
wfo:wfo-0000519123-2025-12,accepted_name_disagreement,accepted_name_disagreement,wfo-0000519123-2025-12,,urn:lsid:ipni.org:names:3897-2,5709518,"{""gbif"": [""Actaea rubra f. neglecta (Gillmann) B.L.Rob."", ""form""], ""opentree"": ["""", """"], ""powo"": [""Actaea rubra f. neglecta"", ""form""], ""wfo"": [""Actaea rubra f. neglecta"", ""form""]}",crosswalk,wfo-0000519123-2025-12,2026-05-17,"GBIF API terms/citation guidelines; Open Tree of Life license/citation guidance; Royal Botanic Gardens, Kew POWO website terms; API sampled conservatively; WFO Plant List 2025-12; Zenodo DOI 10.5281/zenodo.18007552; see metadata.json/license",fork-e34b5b2c1c6c-clone-0
wfo:wfo-0000521211-2025-12,accepted_name_disagreement,accepted_name_disagreement,wfo-0000521211-2025-12,,urn:lsid:ipni.org:names:77249472-1,8246651,"{""gbif"": [""Adonis flammea f. straminea (Beck) Riedl"", ""form""], ""opentree"": ["""", """"], ""powo"": [""Adonis flammea f. straminea"", ""form""], ""wfo"": [""Adonis flammea f. straminea"", ""form""]}",crosswalk,wfo-0000521211-2025-12,2026-05-17,"GBIF API terms/citation guidelines; Open Tree of Life license/citation guidance; Royal Botanic Gardens, Kew POWO website terms; API sampled conservatively; WFO Plant List 2025-12; Zenodo DOI 10.5281/zenodo.18007552; see metadata.json/license",fork-e34b5b2c1c6c-clone-0
wfo:wfo-0001402837-2025-12,accepted_name_disagreement,accepted_name_disagreement,wfo-0001402837-2025-12,,urn:lsid:ipni.org:names:5714-2,3892625,"{""gbif"": [""Aegiphila glabrata f. macrophylla Moldenke"", ""form""], ""opentree"": ["""", """"], ""powo"": [""Aegiphila glabrata f. macrophylla"", ""form""], ""wfo"": [""Aegiphila glabrata f. macrophylla"", ""form""]}",crosswalk,wfo-0001402837-2025-12,2026-05-17,"GBIF API terms/citation guidelines; Open Tree of Life license/citation guidance; Royal Botanic Gardens, Kew POWO website terms; API sampled conservatively; WFO Plant List 2025-12; Zenodo DOI 10.5281/zenodo.18007552; see metadata.json/license",fork-e34b5b2c1c6c-clone-0
wfo:wfo-1200007280-2025-12,accepted_name_disagreement,accepted_name_disagreement,wfo-1200007280-2025-12,,urn:lsid:ipni.org:names:77204417-1,12182036,"{""gbif"": [""Aerides turma f. anniversarius M.Leon, Cootes, Cabactulan & R.B.Pimentel"", ""form""], ""opentree"": ["""", """"], ""powo"": [""Aerides turma f. anniversarius"", ""form""], ""wfo"": [""Aerides turma f. anniversarius"", ""form""]}",crosswalk,wfo-1200007280-2025-12,2026-05-17,"GBIF API terms/citation guidelines; Open Tree of Life license/citation guidance; Royal Botanic Gardens, Kew POWO website terms; API sampled conservatively; WFO Plant List 2025-12; Zenodo DOI 10.5281/zenodo.18007552; see metadata.json/license",fork-e34b5b2c1c6c-clone-0
wfo:wfo-0001095518-2025-12,accepted_name_disagreement,accepted_name_disagreement,wfo-0001095518-2025-12,,,8407206,"{""gbif"": [""Agropyron tanaiticum f. villosum (Pidopl.) Prokudin"", ""form""], ""opentree"": ["""", """"], ""powo"": ["""", """"], ""wfo"": [""Agropyron tanaiticum f. villosum"", ""form""]}",crosswalk,wfo-0001095518-2025-12,2026-05-17,"GBIF API terms/citation guidelines; Open Tree of Life license/citation guidance; Royal Botanic Gardens, Kew POWO website terms; API sampled conservatively; WFO Plant List 2025-12; Zenodo DOI 10.5281/zenodo.18007552; see metadata.json/license",fork-e34b5b2c1c6c-clone-0
wfo:wfo-1200076136-2025-12,accepted_name_disagreement,accepted_name_disagreement,wfo-1200076136-2025-12,,urn:lsid:ipni.org:names:2941100-4,12307057,"{""gbif"": [""Alchemilla vulgaris f. vegeta Buser"", ""form""], ""opentree"": ["""", """"], ""powo"": [""Alchemilla vulgaris f. vegeta"", ""form""], ""wfo"": [""Alchemilla vulgaris f. vegeta"", ""form""]}",crosswalk,wfo-1200076136-2025-12,2026-05-17,"GBIF API terms/citation guidelines; Open Tree of Life license/citation guidance; Royal Botanic Gardens, Kew POWO website terms; API sampled conservatively; WFO Plant List 2025-12; Zenodo DOI 10.5281/zenodo.18007552; see metadata.json/license",fork-e34b5b2c1c6c-clone-0
wfo:wfo-0000939036-2025-12,accepted_name_disagreement,accepted_name_disagreement,wfo-0000939036-2025-12,,urn:lsid:ipni.org:names:77189867-1,3055503,"{""gbif"": [""Alchornea hirtella f. comoensis (Beille) Pax & K.Hoffm."", ""form""], ""opentree"": ["""", """"], ""powo"": [""Alchornea hirtella f. comoensis"", ""form""], ""wfo"": [""Alchornea hirtella f. comoensis"", ""form""]}",crosswalk,wfo-0000939036-2025-12,2026-05-17,"GBIF API terms/citation guidelines; Open Tree of Life license/citation guidance; Royal Botanic Gardens, Kew POWO website terms; API sampled conservatively; WFO Plant List 2025-12; Zenodo DOI 10.5281/zenodo.18007552; see metadata.json/license",fork-e34b5b2c1c6c-clone-0
wfo:wfo-1200066240-2025-12,accepted_name_disagreement,accepted_name_disagreement,wfo-1200066240-2025-12,,urn:lsid:ipni.org:names:77189814-1,3055498,"{""gbif"": [""Alchornea hirtella f. cuneata Pax & K.Hoffm."", ""form""], ""opentree"": ["""", """"], ""powo"": [""Alchornea hirtella f. cuneata"", ""form""], ""wfo"": [""Alchornea hirtella f. cuneata"", ""form""]}",crosswalk,wfo-1200066240-2025-12,2026-05-17,"GBIF API terms/citation guidelines; Open Tree of Life license/citation guidance; Royal Botanic Gardens, Kew POWO website terms; API sampled conservatively; WFO Plant List 2025-12; Zenodo DOI 10.5281/zenodo.18007552; see metadata.json/license",fork-e34b5b2c1c6c-clone-0
