input_name	accepted_key	accepted_name	family	evidence_class	event_shape	parent_taxa_named	ploidy_or_chromosome_evidence	source_title	source_url_or_doi	source_type	source_year	independent_source_group	license_or_access_note	join_status	support_status	caveat
Triticum aestivum	gbif:7795888	Triticum aestivum L.	Poaceae	polyploidization_event	true	true	true	Ancient hybridizations among the ancestral genomes of bread wheat	https://doi.org/10.1126/science.1250092	journal_article	2014	genome_phylogenomics	DOI metadata/open abstract access; factual event coding only	accepted_key_joined	accepted_key_event_shaped	supports source-reported wheat allopolyploid origin; not a new PhytoGraph claim
Triticum aestivum	gbif:7795888	Triticum aestivum L.	Poaceae	reticulate_inheritance_evidence	true	true	true	Analysis of the bread wheat genome using whole-genome shotgun sequencing	https://doi.org/10.1038/nature11650	journal_article	2012	genome_sequence	DOI metadata/open abstract access; factual event coding only	accepted_key_joined	accepted_key_event_shaped	supports source-reported hexaploid wheat genome composition
Brassica napus	gbif:3042636	Brassica napus L.	Brassicaceae	polyploidization_event	true	true	true	Early allopolyploid evolution in the post-Neolithic Brassica napus oilseed genome	https://doi.org/10.1126/science.1253435	journal_article	2014	genome_sequence	DOI metadata/open abstract access; factual event coding only	accepted_key_joined	accepted_key_event_shaped	supports source-reported Brassica napus allopolyploid origin
Arachis hypogaea	gbif:5353770	Arachis hypogaea L.	Fabaceae	polyploidization_event	true	true	true	The genome sequence of segmental allotetraploid peanut Arachis hypogaea	https://doi.org/10.1038/s41588-019-0405-z	journal_article	2019	genome_sequence	DOI metadata/open abstract access; factual event coding only	accepted_key_joined	accepted_key_event_shaped	supports source-reported allotetraploid peanut origin
Gossypium hirsutum	gbif:3152661	Gossypium hirsutum L.	Malvaceae	polyploidization_event	true	true	true	Repeated polyploidization of Gossypium genomes and the evolution of spinnable cotton fibres	https://doi.org/10.1038/nature11798	journal_article	2012	genome_sequence	DOI metadata/open abstract access; factual event coding only	accepted_key_joined	accepted_key_event_shaped	supports source-reported allopolyploid cotton origin
Coffea arabica	gbif:2895345	Coffea arabica L.	Rubiaceae	polyploidization_event	true	true	true	Molecular characterisation and origin of the Coffea arabica L. genome	https://doi.org/10.1007/s001220051041	journal_article	1999	molecular_origin_study	DOI metadata access; factual event coding only	accepted_key_joined	accepted_key_event_shaped	supports source-reported allotetraploid coffee origin
Nicotiana tabacum	gbif:2928774	Nicotiana tabacum L.	Solanaceae	polyploidization_event	true	true	true	The tobacco genome sequence and its comparison with those of tomato and potato	https://doi.org/10.1038/ncomms4833	journal_article	2014	genome_sequence	DOI metadata/open abstract access; factual event coding only	accepted_key_joined	accepted_key_event_shaped	supports source-reported allotetraploid tobacco origin
Fragaria x ananassa	gbif:3029912	Fragaria ×ananassa (Weston) Rozier	Rosaceae	polyploidization_event	true	true	true	Origin and evolution of the octoploid strawberry genome	https://doi.org/10.1038/s41588-019-0356-4	journal_article	2019	genome_sequence	DOI metadata/open abstract access; factual event coding only	accepted_key_joined	accepted_key_event_shaped	supports source-reported octoploid strawberry ancestry
Spartina anglica	gbif:9398259	Sporobolus anglicus (C.E.Hubb.) P.M.Peterson & Saarela	Poaceae	hybridization_event	true	true	true	Polyploid evolution in Spartina: dealing with highly redundant hybrid genomes	https://doi.org/10.1111/j.1095-8312.2004.00333.x	journal_article	2004	polyploid_review	DOI metadata access; factual event coding only	accepted_key_joined	accepted_key_event_shaped	supports source-reported Spartina anglica hybrid/polyploid origin; accepted key may join through synonym
Tragopogon mirus	gbif:5386951	Tragopogon ×mirus Ownbey	Asteraceae	polyploidization_event	true	true	true	The recent and recurrent origin of allopolyploid species in Tragopogon	https://doi.org/10.1073/pnas.0405153101	journal_article	2004	polyploid_case_study	DOI metadata/open abstract access; factual event coding only	accepted_key_joined	accepted_key_event_shaped	supports source-reported recent allopolyploid origin
Tragopogon miscellus	gbif:5386909	Tragopogon ×miscellus Ownbey	Asteraceae	polyploidization_event	true	true	true	The recent and recurrent origin of allopolyploid species in Tragopogon	https://doi.org/10.1073/pnas.0405153101	journal_article	2004	polyploid_case_study	DOI metadata/open abstract access; factual event coding only	accepted_key_joined	accepted_key_event_shaped	supports source-reported recent allopolyploid origin
Arabidopsis suecica	gbif:3052544	Arabidopsis suecica (Fr.) Norrl.	Brassicaceae	polyploidization_event	true	true	true	Sequencing of the genus Arabidopsis identifies a complex history of nonbifurcating speciation and abundant trans-specific polymorphism	https://doi.org/10.1038/ng.3617	journal_article	2016	genome_phylogenomics	DOI metadata/open abstract access; factual event coding only	accepted_key_joined	accepted_key_event_shaped	supports source-reported Arabidopsis suecica allopolyploid origin
