gbif_taxon_key	gbif_scientific_name	gbif_status	gbif_rank	wfo_candidate_key	wfo_candidate_name	match_type	match_confidence	accepted_key_basis	crosswalk_status	rejection_reason	source_url	access_date
gbif:3052544	Arabidopsis suecica (Fr.) Norrl.	ACCEPTED	species	wfo:wfo-0000541826-2025-12	Arabidopsis suecica	exact_wfo_species_name	medium	wfo_projected	wfo_projected		local:phytograph_dataset/taxon_crosswalk.parquet; local:tracks/track1/data/free_tier_reticulation_evidence.tsv	2026-05-18
gbif:5353770	Arachis hypogaea L.	ACCEPTED	species	wfo:wfo-0000174378-2025-12	Arachis hypogaea	exact_wfo_species_name	medium	wfo_projected	wfo_projected		local:phytograph_dataset/taxon_crosswalk.parquet; local:tracks/track1/data/free_tier_reticulation_evidence.tsv	2026-05-18
gbif:3042636	Brassica napus L.	ACCEPTED	species			no_exact_wfo_species_projection	low	gbif_sidecar	gbif_sidecar_admitted	No exact species-level WFO projection in frozen local crosswalk; GBIF accepted key retained only as labeled sidecar evidence	local:phytograph_dataset/taxon_crosswalk.parquet; local:tracks/track1/data/free_tier_reticulation_evidence.tsv	2026-05-18
gbif:9073641	Camelina sativa (L.) Crantz	ACCEPTED	species			no_exact_wfo_species_projection	low	gbif_sidecar	gbif_sidecar_admitted	No exact species-level WFO projection in frozen local crosswalk; GBIF accepted key retained only as labeled sidecar evidence	local:phytograph_dataset/taxon_crosswalk.parquet; local:tracks/track1/data/free_tier_reticulation_evidence.tsv	2026-05-18
gbif:8077391	Citrus ×aurantium L.	ACCEPTED	species		Citrus × aurantium nothof. aurantium; Citrus × aurantium nothof. deliciosa	ambiguous_or_rank_mismatched_wfo_candidates	low	gbif_sidecar	gbif_sidecar_admitted	WFO projection ambiguous or rank-mismatched in frozen crosswalk; GBIF accepted key retained only as labeled sidecar evidence	local:phytograph_dataset/taxon_crosswalk.parquet; local:tracks/track1/data/free_tier_reticulation_evidence.tsv	2026-05-18
gbif:2895345	Coffea arabica L.	ACCEPTED	species			no_exact_wfo_species_projection	low	gbif_sidecar	gbif_sidecar_admitted	No exact species-level WFO projection in frozen local crosswalk; GBIF accepted key retained only as labeled sidecar evidence	local:phytograph_dataset/taxon_crosswalk.parquet; local:tracks/track1/data/free_tier_reticulation_evidence.tsv	2026-05-18
gbif:3029912	Fragaria ×ananassa (Weston) Rozier	ACCEPTED	species			no_exact_wfo_species_projection	low	gbif_sidecar	gbif_sidecar_admitted	No exact species-level WFO projection in frozen local crosswalk; GBIF accepted key retained only as labeled sidecar evidence	local:phytograph_dataset/taxon_crosswalk.parquet; local:tracks/track1/data/free_tier_reticulation_evidence.tsv	2026-05-18
gbif:3152661	Gossypium hirsutum L.	ACCEPTED	species			no_exact_wfo_species_projection	low	gbif_sidecar	gbif_sidecar_admitted	No exact species-level WFO projection in frozen local crosswalk; GBIF accepted key retained only as labeled sidecar evidence	local:phytograph_dataset/taxon_crosswalk.parquet; local:tracks/track1/data/free_tier_reticulation_evidence.tsv	2026-05-18
gbif:3119246	Helianthus anomalus S.F.Blake	ACCEPTED	species			no_exact_wfo_species_projection	low	gbif_sidecar	gbif_sidecar_admitted	No exact species-level WFO projection in frozen local crosswalk; GBIF accepted key retained only as labeled sidecar evidence	local:phytograph_dataset/taxon_crosswalk.parquet; local:tracks/track1/data/free_tier_reticulation_evidence.tsv	2026-05-18
gbif:3119233	Helianthus deserticola Heiser	ACCEPTED	species			no_exact_wfo_species_projection	low	gbif_sidecar	gbif_sidecar_admitted	No exact species-level WFO projection in frozen local crosswalk; GBIF accepted key retained only as labeled sidecar evidence	local:phytograph_dataset/taxon_crosswalk.parquet; local:tracks/track1/data/free_tier_reticulation_evidence.tsv	2026-05-18
