input_name	matched_control_for	gbif_taxon_key	gbif_scientific_name	accepted_key_basis	usable_event_shaped_evidence_count	control_recovered	validation_use	no_promotion_flag	caveat
Triticum monococcum	Triticum aestivum	gbif:7883427	Triticum monococcum L.	gbif_control_basis	0	false	matched_control_diagnostic	true	Controls are restated under the same GBIF accepted-key branch basis; WFO projection was not attempted for controls because positive evidence projection already collapses under frozen WFO coverage.
Brassica rapa	Brassica napus	gbif:7903057	Brassica rapa L.	gbif_control_basis	0	false	matched_control_diagnostic	true	Controls are restated under the same GBIF accepted-key branch basis; WFO projection was not attempted for controls because positive evidence projection already collapses under frozen WFO coverage.
Arachis duranensis	Arachis hypogaea	gbif:5353841	Arachis duranensis Krapov. & W.C.Greg.	gbif_control_basis	0	false	matched_control_diagnostic	true	Controls are restated under the same GBIF accepted-key branch basis; WFO projection was not attempted for controls because positive evidence projection already collapses under frozen WFO coverage.
Gossypium arboreum	Gossypium hirsutum	gbif:3152663	Gossypium arboreum L.	gbif_control_basis	0	false	matched_control_diagnostic	true	Controls are restated under the same GBIF accepted-key branch basis; WFO projection was not attempted for controls because positive evidence projection already collapses under frozen WFO coverage.
Coffea canephora	Coffea arabica	gbif:2895528	Coffea canephora Pierre ex A.Froehner	gbif_control_basis	0	false	matched_control_diagnostic	true	Controls are restated under the same GBIF accepted-key branch basis; WFO projection was not attempted for controls because positive evidence projection already collapses under frozen WFO coverage.
Nicotiana sylvestris	Nicotiana tabacum	gbif:2928767	Nicotiana sylvestris Speg.	gbif_control_basis	0	false	matched_control_diagnostic	true	Controls are restated under the same GBIF accepted-key branch basis; WFO projection was not attempted for controls because positive evidence projection already collapses under frozen WFO coverage.
Fragaria vesca	Fragaria x ananassa	gbif:3029817	Fragaria vesca L.	gbif_control_basis	0	false	matched_control_diagnostic	true	Controls are restated under the same GBIF accepted-key branch basis; WFO projection was not attempted for controls because positive evidence projection already collapses under frozen WFO coverage.
Sporobolus alterniflorus	Spartina anglica	gbif:9394776	Sporobolus alterniflorus (Loisel.) P.M.Peterson & Saarela	gbif_control_basis	0	false	matched_control_diagnostic	true	Controls are restated under the same GBIF accepted-key branch basis; WFO projection was not attempted for controls because positive evidence projection already collapses under frozen WFO coverage.
Tragopogon dubius	Tragopogon mirus	gbif:6443709	Tragopogon dubius Scop.	gbif_control_basis	0	false	matched_control_diagnostic	true	Controls are restated under the same GBIF accepted-key branch basis; WFO projection was not attempted for controls because positive evidence projection already collapses under frozen WFO coverage.
Arabidopsis thaliana	Arabidopsis suecica	gbif:3052436	Arabidopsis thaliana (L.) Heynh.	gbif_control_basis	0	false	matched_control_diagnostic	true	Controls are restated under the same GBIF accepted-key branch basis; WFO projection was not attempted for controls because positive evidence projection already collapses under frozen WFO coverage.
Helianthus annuus	Helianthus anomalus	gbif:9206251	Helianthus annuus L.	gbif_control_basis	0	false	matched_control_diagnostic	true	Controls are restated under the same GBIF accepted-key branch basis; WFO projection was not attempted for controls because positive evidence projection already collapses under frozen WFO coverage.
Iris fulva	Iris nelsonii	gbif:5299121	Iris fulva Ker Gawl.	gbif_control_basis	0	false	matched_control_diagnostic	true	Controls are restated under the same GBIF accepted-key branch basis; WFO projection was not attempted for controls because positive evidence projection already collapses under frozen WFO coverage.
Malus sieversii	Malus domestica	gbif:3001244	Malus domestica (Suckow) Borkh.	gbif_control_basis	0	false	matched_control_diagnostic	true	Controls are restated under the same GBIF accepted-key branch basis; WFO projection was not attempted for controls because positive evidence projection already collapses under frozen WFO coverage.
Citrus medica	Citrus sinensis	gbif:3190157	Citrus medica L.	gbif_control_basis	0	false	matched_control_diagnostic	true	Controls are restated under the same GBIF accepted-key branch basis; WFO projection was not attempted for controls because positive evidence projection already collapses under frozen WFO coverage.
Rosa rugosa	Rosa canina	gbif:3003979	Rosa rugosa Thunb.	gbif_control_basis	0	false	matched_control_diagnostic	true	Controls are restated under the same GBIF accepted-key branch basis; WFO projection was not attempted for controls because positive evidence projection already collapses under frozen WFO coverage.
Quercus alba	Quercus robur	gbif:2879737	Quercus alba L.	gbif_control_basis	0	false	matched_control_diagnostic	true	Controls are restated under the same GBIF accepted-key branch basis; WFO projection was not attempted for controls because positive evidence projection already collapses under frozen WFO coverage.
Musa acuminata	Musa x paradisiaca	gbif:2762680	Musa acuminata Colla	gbif_control_basis	0	false	matched_control_diagnostic	true	Controls are restated under the same GBIF accepted-key branch basis; WFO projection was not attempted for controls because positive evidence projection already collapses under frozen WFO coverage.
