row_id	input_name	gbif_taxon_key	gbif_scientific_name	wfo_candidate_key	wfo_candidate_name	accepted_key_basis	event_type	event_shape	parent_taxa_named	ploidy_or_chromosome_evidence	source_group	source_title	source_url_or_doi	validation_use	no_promotion_flag	rejection_reason	caveat
t1_ns_001	Triticum aestivum	gbif:7795888	Triticum aestivum L.			gbif_sidecar	polyploidization_event	True	True	True	genome_phylogenomics	Ancient hybridizations among the ancestral genomes of bread wheat	https://doi.org/10.1126/science.1250092	track1_readiness_diagnostic	true		supports source-reported wheat allopolyploid origin; not a new PhytoGraph claim
t1_ns_002	Triticum aestivum	gbif:7795888	Triticum aestivum L.			gbif_sidecar	reticulate_inheritance_evidence	True	True	True	genome_sequence	Analysis of the bread wheat genome using whole-genome shotgun sequencing	https://doi.org/10.1038/nature11650	track1_readiness_diagnostic	true		supports source-reported hexaploid wheat genome composition
t1_ns_003	Brassica napus	gbif:3042636	Brassica napus L.			gbif_sidecar	polyploidization_event	True	True	True	genome_sequence	Early allopolyploid evolution in the post-Neolithic Brassica napus oilseed genome	https://doi.org/10.1126/science.1253435	track1_readiness_diagnostic	true		supports source-reported Brassica napus allopolyploid origin
t1_ns_004	Arachis hypogaea	gbif:5353770	Arachis hypogaea L.	wfo:wfo-0000174378-2025-12	Arachis hypogaea	wfo_projected	polyploidization_event	True	True	True	genome_sequence	The genome sequence of segmental allotetraploid peanut Arachis hypogaea	https://doi.org/10.1038/s41588-019-0405-z	track1_readiness_diagnostic	true		supports source-reported allotetraploid peanut origin
t1_ns_005	Gossypium hirsutum	gbif:3152661	Gossypium hirsutum L.			gbif_sidecar	polyploidization_event	True	True	True	genome_sequence	Repeated polyploidization of Gossypium genomes and the evolution of spinnable cotton fibres	https://doi.org/10.1038/nature11798	track1_readiness_diagnostic	true		supports source-reported allopolyploid cotton origin
t1_ns_006	Coffea arabica	gbif:2895345	Coffea arabica L.			gbif_sidecar	polyploidization_event	True	True	True	molecular_origin_study	Molecular characterisation and origin of the Coffea arabica L. genome	https://doi.org/10.1007/s001220051041	track1_readiness_diagnostic	true		supports source-reported allotetraploid coffee origin
t1_ns_007	Nicotiana tabacum	gbif:2928774	Nicotiana tabacum L.			gbif_sidecar	polyploidization_event	True	True	True	genome_sequence	The tobacco genome sequence and its comparison with those of tomato and potato	https://doi.org/10.1038/ncomms4833	track1_readiness_diagnostic	true		supports source-reported allotetraploid tobacco origin
t1_ns_008	Fragaria x ananassa	gbif:3029912	Fragaria ×ananassa (Weston) Rozier			gbif_sidecar	polyploidization_event	True	True	True	genome_sequence	Origin and evolution of the octoploid strawberry genome	https://doi.org/10.1038/s41588-019-0356-4	track1_readiness_diagnostic	true		supports source-reported octoploid strawberry ancestry
t1_ns_009	Spartina anglica	gbif:9398259	Sporobolus anglicus (C.E.Hubb.) P.M.Peterson & Saarela			gbif_sidecar	hybridization_event	True	True	True	polyploid_review	Polyploid evolution in Spartina: dealing with highly redundant hybrid genomes	https://doi.org/10.1111/j.1095-8312.2004.00333.x	track1_readiness_diagnostic	true		supports source-reported Spartina anglica hybrid/polyploid origin; accepted key may join through synonym
t1_ns_010	Tragopogon mirus	gbif:5386951	Tragopogon ×mirus Ownbey			gbif_sidecar	polyploidization_event	True	True	True	polyploid_case_study	The recent and recurrent origin of allopolyploid species in Tragopogon	https://doi.org/10.1073/pnas.0405153101	track1_readiness_diagnostic	true		supports source-reported recent allopolyploid origin
