source_id	source_name	raw_taxon_name	accepted_key	accepted_name	event_type	evidence_scope	event_shape_status	provenance_url_or_path	license_or_access_note	supporting_text_snippet	join_method	caveat
ccdb	CCDB chromosome-count seed rows	Triticum aestivum	wfo:wfo-0000905667-2025-12	Triticum aestivum	chromosome_count_assertion	supports reported chromosome count only; does not support uniform species ploidy or a polyploidization event	chromosome_count_only	<run-root>/tracks/track1/data/barrier4_rescued_reticulation_edges.tsv	local cached WFO rescue plus original source license/access note; no live provider call	2n=42	exact_name_full_wfo	supports reported chromosome count only; does not support uniform species ploidy or a polyploidization event; context only and excluded from reopen event-shaped count
wood_2009_polyploid_speciation	Wood et al. 2009 polyploid speciation synthesis	Triticum aestivum	wfo:wfo-0000905667-2025-12	Triticum aestivum	ploidy_state_assertion	supports caveated ploidy-context evidence only; does not establish event timing or progenitors	ploidy_context_only	<run-root>/tracks/track1/data/barrier4_rescued_reticulation_edges.tsv	local cached WFO rescue plus original source license/access note; no live provider call	ploidy_state_assertion	exact_name_full_wfo	supports caveated ploidy-context evidence only; does not establish event timing or progenitors; context only and excluded from reopen event-shaped count
wood_2009_polyploid_speciation	Wood et al. 2009 polyploid speciation synthesis	Triticum aestivum	wfo:wfo-0000905667-2025-12	Triticum aestivum	polyploidization_event	supports named hybridization/polyploidization event as source-backed synthesis; does not support novel taxonomy or precise dating	event_shaped	<run-root>/tracks/track1/data/barrier4_rescued_reticulation_edges.tsv	local cached WFO rescue plus original source license/access note; no live provider call	hexaploid bread wheat allopolyploid origin; progenitor roles summarized from systematic-botany consensus; parents=Triticum urartu, Aegilops speltoides lineage, Aegilops tauschii	exact_name_full_wfo	supports named hybridization/polyploidization event as source-backed synthesis; does not support novel taxonomy or precise dating
wood_2009_polyploid_speciation	Wood et al. 2009 polyploid speciation synthesis	Triticum aestivum	wfo:wfo-0000905667-2025-12	Triticum aestivum	reticulate_inheritance_evidence	supports multi-parent reticulate inheritance evidence; does not resolve a single phylogenetic placement	event_shaped	<run-root>/tracks/track1/data/barrier4_rescued_reticulation_edges.tsv	local cached WFO rescue plus original source license/access note; no live provider call	hexaploid bread wheat allopolyploid origin; progenitor roles summarized from systematic-botany consensus; parents=Triticum urartu, Aegilops speltoides lineage, Aegilops tauschii	exact_name_full_wfo	supports multi-parent reticulate inheritance evidence; does not resolve a single phylogenetic placement
ccdb	CCDB chromosome-count seed rows	Brassica napus	wfo:wfo-0000571271-2025-12	Brassica napus	chromosome_count_assertion	supports reported chromosome count only; does not support uniform species ploidy or a polyploidization event	chromosome_count_only	<run-root>/tracks/track1/data/barrier4_rescued_reticulation_edges.tsv	local cached WFO rescue plus original source license/access note; no live provider call	2n=38	exact_name_full_wfo	supports reported chromosome count only; does not support uniform species ploidy or a polyploidization event; context only and excluded from reopen event-shaped count
wood_2009_polyploid_speciation	Wood et al. 2009 polyploid speciation synthesis	Brassica napus	wfo:wfo-0000571271-2025-12	Brassica napus	ploidy_state_assertion	supports caveated ploidy-context evidence only; does not establish event timing or progenitors	ploidy_context_only	<run-root>/tracks/track1/data/barrier4_rescued_reticulation_edges.tsv	local cached WFO rescue plus original source license/access note; no live provider call	ploidy_state_assertion	exact_name_full_wfo	supports caveated ploidy-context evidence only; does not establish event timing or progenitors; context only and excluded from reopen event-shaped count
wood_2009_polyploid_speciation	Wood et al. 2009 polyploid speciation synthesis	Brassica napus	wfo:wfo-0000571271-2025-12	Brassica napus	polyploidization_event	supports named hybridization/polyploidization event as source-backed synthesis; does not support novel taxonomy or precise dating	event_shaped	<run-root>/tracks/track1/data/barrier4_rescued_reticulation_edges.tsv	local cached WFO rescue plus original source license/access note; no live provider call	amphidiploid origin represented conservatively as source-backed synthesis event; parents=Brassica rapa, Brassica oleracea	exact_name_full_wfo	supports named hybridization/polyploidization event as source-backed synthesis; does not support novel taxonomy or precise dating
wood_2009_polyploid_speciation	Wood et al. 2009 polyploid speciation synthesis	Brassica napus	wfo:wfo-0000571271-2025-12	Brassica napus	reticulate_inheritance_evidence	supports multi-parent reticulate inheritance evidence; does not resolve a single phylogenetic placement	event_shaped	<run-root>/tracks/track1/data/barrier4_rescued_reticulation_edges.tsv	local cached WFO rescue plus original source license/access note; no live provider call	amphidiploid origin represented conservatively as source-backed synthesis event; parents=Brassica rapa, Brassica oleracea	exact_name_full_wfo	supports multi-parent reticulate inheritance evidence; does not resolve a single phylogenetic placement
ccdb	CCDB chromosome-count seed rows	Spartina anglica	wfo:wfo-0001341446-2025-12	Sporobolus anglicus	chromosome_count_assertion	supports reported chromosome count only; does not support uniform species ploidy or a polyploidization event	chromosome_count_only	<run-root>/tracks/track1/data/barrier4_rescued_reticulation_edges.tsv	local cached WFO rescue plus original source license/access note; no live provider call	2n=120	synonym_rescue_full_wfo	supports reported chromosome count only; does not support uniform species ploidy or a polyploidization event; synonym rescue, not exact accepted-name recovery; context only and excluded from reopen event-shaped count
wood_2009_polyploid_speciation	Wood et al. 2009 polyploid speciation synthesis	Spartina anglica	wfo:wfo-0001341446-2025-12	Sporobolus anglicus	ploidy_state_assertion	supports caveated ploidy-context evidence only; does not establish event timing or progenitors	ploidy_context_only	<run-root>/tracks/track1/data/barrier4_rescued_reticulation_edges.tsv	local cached WFO rescue plus original source license/access note; no live provider call	ploidy_state_assertion	synonym_rescue_full_wfo	supports caveated ploidy-context evidence only; does not establish event timing or progenitors; synonym rescue, not exact accepted-name recovery; context only and excluded from reopen event-shaped count
