genus_key	genus_label	family_key	family_label	n_taxa_scored	evidence_supported_taxa	structural_only_taxa	data_limited_unknown_taxa	evidence_supported_fraction	ploidy_entropy_norm	hotspot_score	mean_tci	min_tci	n_chrom_records_in_genus	data_sufficiency
wfo:wfo-4000003762-2025-12	Avena	wfo:wfo-7000000483-2025-12	Poaceae	28	1	19	8	0.035714	0.0	0.035714	0.962202	0.5	0	data_limited
wfo:wfo-4000002816-2025-12	Arachis			86	1	16	69	0.011628	0.0	0.011628	0.989341	0.5	2	data_limited
wfo:wfo-4000003460-2025-12	Astragalus			3117	0	1597	1520	0.0	0.0	0.0	0.985838	0.958333	0	data_limited
wfo:wfo-4000002468-2025-12	Anthurium	wfo:wfo-7000000042-2025-12	Araceae	1328	0	178	1150	0.0	0.0	0.0	0.996386	0.958333	0	data_limited
wfo:wfo-4000000074-2025-12	Acacia			1116	0	1011	105	0.0	0.0	0.0	0.976534	0.895833	0	data_limited
wfo:wfo-4000001260-2025-12	Allium	wfo:wfo-7000000018-2025-12	Amaryllidaceae	971	0	333	638	0.0	0.0	0.0	0.990088	0.958333	0	data_limited
wfo:wfo-4000001119-2025-12	Alchemilla	wfo:wfo-7000000532-2025-12	Rosaceae	781	0	311	470	0.0	0.0	0.0	0.988892	0.958333	0	data_limited
wfo:wfo-4000002949-2025-12	Ardisia	wfo:wfo-7000000497-2025-12	Primulaceae	742	0	294	448	0.0	0.0	0.0	0.989353	0.958333	0	data_limited
wfo:wfo-4000004457-2025-12	Berberis	wfo:wfo-7000000069-2025-12	Berberidaceae	641	0	283	358	0.0	0.0	0.0	0.988027	0.958333	0	data_limited
wfo:wfo-4000001341-2025-12	Aloe			626	0	159	467	0.0	0.0	0.0	0.993411	0.958333	0	data_limited
wfo:wfo-4000003062-2025-12	Aristolochia			557	0	287	270	0.0	0.0	0.0	0.986101	0.958333	0	data_limited
wfo:wfo-4000003144-2025-12	Artemisia			523	0	305	218	0.0	0.0	0.0	0.983222	0.958333	0	data_limited
wfo:wfo-4000003847-2025-12	Baccharis			481	0	255	226	0.0	0.0	0.0	0.985152	0.958333	0	data_limited
wfo:wfo-4000000080-2025-12	Acalypha	wfo:wfo-7000000224-2025-12	Euphorbiaceae	449	0	248	201	0.0	0.0	0.0	0.984076	0.958333	0	data_limited
wfo:wfo-4000000936-2025-12	Ageratina			337	0	215	122	0.0	0.0	0.0	0.983655	0.958333	0	data_limited
wfo:wfo-4000000341-2025-12	Aconitum	wfo:wfo-7000000514-2025-12	Ranunculaceae	334	0	170	164	0.0	0.0	0.0	0.986178	0.958333	0	data_limited
