accepted_key	label	genus_key	genus_label	family_key	family_label	tci	tci_observed	tci_structural	n_evidence_edges	n_ploidy_states	n_chrom_counts	chrom_count_cv	synonym_cluster_size	n_taxonomic_conflicts	confidence	tci_provenance
wfo:wfo-0000000074-2025-12	Bidens alba	wfo:wfo-4000004584-2025-12	Bidens			0.958333	1.0	0.916667	0	0	0		3	0	data_limited	structural_only
wfo:wfo-0000000103-2025-12	Aequatorium cajamarcense	wfo:wfo-4000000786-2025-12	Aequatorium			1.0	1.0	1.0	0	0	0		1	0	data_limited	data_limited_unknown
wfo:wfo-0000000111-2025-12	Acourtia potosina	wfo:wfo-4000000365-2025-12	Acourtia			1.0	1.0	1.0	0	0	0		1	0	data_limited	data_limited_unknown
wfo:wfo-0000000121-2025-12	Acourtia macrocephala	wfo:wfo-4000000365-2025-12	Acourtia			0.975	1.0	0.95	0	0	0		2	0	data_limited	structural_only
wfo:wfo-0000000131-2025-12	Blumea subracemosa	wfo:wfo-4000004820-2025-12	Blumea			0.975	1.0	0.95	0	0	0		2	0	data_limited	structural_only
wfo:wfo-0000000154-2025-12	Anthemis retusa	wfo:wfo-4000002393-2025-12	Anthemis			0.975	1.0	0.95	0	0	0		2	0	data_limited	structural_only
wfo:wfo-0000000215-2025-12	Barnadesia ciliata	wfo:wfo-4000004109-2025-12	Barnadesia			0.975	1.0	0.95	0	0	0		2	0	data_limited	structural_only
wfo:wfo-0000000226-2025-12	Baccharis glutinosa	wfo:wfo-4000003847-2025-12	Baccharis			0.958333	1.0	0.916667	0	0	0		3	0	data_limited	structural_only
wfo:wfo-0000000248-2025-12	Bartlettina hintonii	wfo:wfo-4000004143-2025-12	Bartlettina			0.975	1.0	0.95	0	0	0		2	0	data_limited	structural_only
wfo:wfo-0000000269-2025-12	Baccharis reticulata	wfo:wfo-4000003847-2025-12	Baccharis			0.975	1.0	0.95	0	0	0		2	0	data_limited	structural_only
wfo:wfo-0000000287-2025-12	Artemisia koidzumii	wfo:wfo-4000003144-2025-12	Artemisia			0.975	1.0	0.95	0	0	0		2	0	data_limited	structural_only
wfo:wfo-0000000334-2025-12	Athanasia quinquedentata	wfo:wfo-4000003540-2025-12	Athanasia			1.0	1.0	1.0	0	0	0		1	0	data_limited	data_limited_unknown
wfo:wfo-0000000365-2025-12	Anthemis auriculata	wfo:wfo-4000002393-2025-12	Anthemis			0.975	1.0	0.95	0	0	0		2	0	data_limited	structural_only
wfo:wfo-0000000378-2025-12	Artemisia subulata	wfo:wfo-4000003144-2025-12	Artemisia			0.958333	1.0	0.916667	0	0	0		3	0	data_limited	structural_only
wfo:wfo-0000000420-2025-12	Antennaria lanatula	wfo:wfo-4000002356-2025-12	Antennaria			1.0	1.0	1.0	0	0	0		1	0	data_limited	data_limited_unknown
