candidate_id	source_edge_id	rank	candidate_status	candidate_score	raw_scientific_name	accepted_taxon_key	pending_crosswalk	candidate_class	plant_node_id	fruit_type_node_id	extinct_fauna_node_id	geographic_scope	primary_citation_short	primary_citation_page	allowed_evidence_scope	interpretation_caveat	inferred_anachronism_claim	enters_prediction_ledger	evidence_boundary	morphology_support	extinct_partner_support	modern_failure_support	spatiotemporal_compatibility	provenance_completeness	penalty_living_megafauna_ambiguous	penalty_source_singleton	ambiguity_flag
T2C0016	AnachronismCanon:edge:Asimina_triloba::Mammut_americanum::Barlow2000	1	candidate_pending_validation	0.8	Asimina triloba	wfo:wfo-0000552025-2025-12	False	north_american_temperate_megafauna_fruit	taxon:AnachronismCanon:plant:Asimina_triloba	fruit_type:AnachronismCanon:fruit_type:fleshy_aggregate_aromatic	extinct_fauna:LQE:Mammut_americanum	Eastern North America	Barlow2000	Ghosts of Evolution, Chapter 4	cited hypothesis only; not inferred by Barrier 1	hypothesis per Barlow C. (Barlow2000); NOT established anachronism. This edge supports the hypothesis that the fruit syndrome fits the named extinct disperser; it does NOT support established anachronism status without independent paleobotany.	False	False	candidate prioritization only; not established anachronism status	1.0	1.0	0.5	1.0	1.0	0.0	1.0	source_singleton
T2C0018	AnachronismCanon:edge:Diospyros_virginiana::Mammut_americanum::Barlow2000	2	data_limited	0.8	Diospyros virginiana		True	north_american_temperate_megafauna_fruit	taxon:AnachronismCanon:plant:Diospyros_virginiana	fruit_type:AnachronismCanon:fruit_type:large_berry_persimmon	extinct_fauna:LQE:Mammut_americanum	Eastern North America	Barlow2000	Ghosts of Evolution, Chapter 4	cited hypothesis only; not inferred by Barrier 1	hypothesis per Barlow C. (Barlow2000); NOT established anachronism. This edge supports the hypothesis that the fruit syndrome fits the named extinct disperser; it does NOT support established anachronism status without independent paleobotany.	False	False	candidate prioritization only; not established anachronism status	1.0	1.0	0.5	1.0	1.0	0.0	1.0	source_singleton
T2C0019	AnachronismCanon:edge:Gymnocladus_dioicus::Mammut_americanum::Barlow2000	3	data_limited	0.8	Gymnocladus dioicus		True	north_american_temperate_megafauna_fruit	taxon:AnachronismCanon:plant:Gymnocladus_dioicus	fruit_type:AnachronismCanon:fruit_type:large_legume_pod_toxic	extinct_fauna:LQE:Mammut_americanum	Eastern North America	Barlow2000	Ghosts of Evolution, Chapter 2	cited hypothesis only; not inferred by Barrier 1	hypothesis per Barlow C. (Barlow2000); NOT established anachronism. This edge supports the hypothesis that the fruit syndrome fits the named extinct disperser; it does NOT support established anachronism status without independent paleobotany.	False	False	candidate prioritization only; not established anachronism status	1.0	1.0	0.5	1.0	1.0	0.0	1.0	source_singleton
T2C0017	AnachronismCanon:edge:Maclura_pomifera::Mammut_americanum::Janzen&Martin1982	4	data_limited	0.8	Maclura pomifera		True	north_american_temperate_megafauna_fruit	taxon:AnachronismCanon:plant:Maclura_pomifera	fruit_type:AnachronismCanon:fruit_type:large_aggregate_inedible_modern	extinct_fauna:LQE:Mammut_americanum	Eastern North America	Janzen&Martin1982	Science 215:19-27, p.23	cited hypothesis only; not inferred by Barrier 1	hypothesis per Janzen D.H., Martin P.S. (Janzen&Martin1982); NOT established anachronism. This edge supports the hypothesis that the fruit syndrome fits the named extinct disperser; it does NOT support established anachronism status without independent paleobotany.	False	False	candidate prioritization only; not established anachronism status	1.0	1.0	0.5	1.0	1.0	0.0	1.0	source_singleton
T2C0021	AnachronismCanon:edge:Maclura_pomifera::Mammuthus_columbi::Barlow2000	5	data_limited	0.8	Maclura pomifera		True	north_american_temperate_megafauna_fruit	taxon:AnachronismCanon:plant:Maclura_pomifera	fruit_type:AnachronismCanon:fruit_type:large_aggregate_inedible_modern	extinct_fauna:LQE:Mammuthus_columbi	Eastern North America	Barlow2000	Ghosts of Evolution, Chapter 1	cited hypothesis only; not inferred by Barrier 1	hypothesis per Barlow C. (Barlow2000); NOT established anachronism. This edge supports the hypothesis that the fruit syndrome fits the named extinct disperser; it does NOT support established anachronism status without independent paleobotany.	False	False	candidate prioritization only; not established anachronism status	1.0	1.0	0.5	1.0	1.0	0.0	1.0	source_singleton
T2C0011	AnachronismCanon:edge:Crescentia_alata::Cuvieronius_tropicus::Janzen&Martin1982	6	data_limited	0.775	Crescentia alata		True	neotropical_gomphothere_large_fruit	taxon:AnachronismCanon:plant:Crescentia_alata	fruit_type:AnachronismCanon:fruit_type:large_woody_indehiscent	extinct_fauna:LQE:Cuvieronius_tropicus	Neotropics	Janzen&Martin1982	Science 215:19-27, p.25	cited hypothesis only; not inferred by Barrier 1	hypothesis per Janzen D.H., Martin P.S. (Janzen&Martin1982); NOT established anachronism. This edge supports the hypothesis that the fruit syndrome fits the named extinct disperser; it does NOT support established anachronism status without independent paleobotany.	False	False	candidate prioritization only; not established anachronism status	1.0	1.0	0.5	0.875	1.0	0.0	1.0	source_singleton
T2C0024	AnachronismCanon:edge:Enterolobium_cyclocarpum::Notiomastodon_platensis::Barlow2000	7	data_limited	0.775	Enterolobium cyclocarpum		True	neotropical_gomphothere_large_fruit	taxon:AnachronismCanon:plant:Enterolobium_cyclocarpum	fruit_type:AnachronismCanon:fruit_type:ear-shaped_legume	extinct_fauna:LQE:Notiomastodon_platensis	Neotropics	Barlow2000	Ghosts of Evolution, Chapter 3	cited hypothesis only; not inferred by Barrier 1	hypothesis per Barlow C. (Barlow2000); NOT established anachronism. This edge supports the hypothesis that the fruit syndrome fits the named extinct disperser; it does NOT support established anachronism status without independent paleobotany.	False	False	candidate prioritization only; not established anachronism status	1.0	1.0	0.5	0.875	1.0	0.0	1.0	source_singleton
T2C0028	AnachronismCanon:edge:Persea_americana::Notiomastodon_platensis::Barlow2000	8	data_limited	0.775	Persea americana		True	neotropical_gomphothere_large_fruit	taxon:AnachronismCanon:plant:Persea_americana	fruit_type:AnachronismCanon:fruit_type:large_drupe_thin_pulp	extinct_fauna:LQE:Notiomastodon_platensis	Mesoamerica	Barlow2000	Ghosts of Evolution, Chapter 3	cited hypothesis only; not inferred by Barrier 1	hypothesis per Barlow C. (Barlow2000); NOT established anachronism. This edge supports the hypothesis that the fruit syndrome fits the named extinct disperser; it does NOT support established anachronism status without independent paleobotany.	False	False	candidate prioritization only; not established anachronism status	1.0	1.0	0.5	0.875	1.0	0.0	1.0	source_singleton
T2C0009	AnachronismCanon:edge:Sideroxylon_foetidissimum::Cuvieronius_tropicus::Barlow2000	9	data_limited	0.775	Sideroxylon foetidissimum		True	neotropical_gomphothere_large_fruit	taxon:AnachronismCanon:plant:Sideroxylon_foetidissimum	fruit_type:AnachronismCanon:fruit_type:large_berry_latex	extinct_fauna:LQE:Cuvieronius_tropicus	Caribbean / Neotropics	Barlow2000	Ghosts of Evolution, Chapter 5	cited hypothesis only; not inferred by Barrier 1	hypothesis per Barlow C. (Barlow2000); NOT established anachronism. This edge supports the hypothesis that the fruit syndrome fits the named extinct disperser; it does NOT support established anachronism status without independent paleobotany.	False	False	candidate prioritization only; not established anachronism status	1.0	1.0	0.5	0.875	1.0	0.0	1.0	source_singleton
T2C0004	AnachronismCanon:edge:Crataegus_laciniata::Bos_primigenius::Barlow2000	10	data_limited	0.7	Crataegus laciniata		True	european_browsing_regime	taxon:AnachronismCanon:plant:Crataegus_laciniata	fruit_type:AnachronismCanon:fruit_type:small_pome_haw	extinct_fauna:LQE:Bos_primigenius	Europe	Barlow2000	Ghosts of Evolution, Chapter 6	cited hypothesis only; not inferred by Barrier 1	hypothesis per Barlow C. (Barlow2000); NOT established anachronism. This edge supports the hypothesis that the fruit syndrome fits the named extinct disperser; it does NOT support established anachronism status without independent paleobotany.	False	False	candidate prioritization only; not established anachronism status	1.0	1.0	0.5	0.5	1.0	0.0	1.0	source_singleton
