candidate_id	candidate_class	component	component_value	weight	weighted_contribution	rank
T2C0016	north_american_temperate_megafauna_fruit	extinct_partner_support	1.0	0.25	0.25	1
T2C0016	north_american_temperate_megafauna_fruit	modern_failure_support	0.5	0.2	0.1	1
T2C0016	north_american_temperate_megafauna_fruit	morphology_support	1.0	0.25	0.25	1
T2C0016	north_american_temperate_megafauna_fruit	penalty_living_megafauna_ambiguous	0.0	-0.15	-0.0	1
T2C0016	north_american_temperate_megafauna_fruit	penalty_source_singleton	1.0	-0.1	-0.1	1
T2C0016	north_american_temperate_megafauna_fruit	provenance_completeness	1.0	0.1	0.1	1
T2C0016	north_american_temperate_megafauna_fruit	spatiotemporal_compatibility	1.0	0.2	0.2	1
T2C0018	north_american_temperate_megafauna_fruit	extinct_partner_support	1.0	0.25	0.25	2
T2C0018	north_american_temperate_megafauna_fruit	modern_failure_support	0.5	0.2	0.1	2
T2C0018	north_american_temperate_megafauna_fruit	morphology_support	1.0	0.25	0.25	2
T2C0018	north_american_temperate_megafauna_fruit	penalty_living_megafauna_ambiguous	0.0	-0.15	-0.0	2
T2C0018	north_american_temperate_megafauna_fruit	penalty_source_singleton	1.0	-0.1	-0.1	2
T2C0018	north_american_temperate_megafauna_fruit	provenance_completeness	1.0	0.1	0.1	2
T2C0018	north_american_temperate_megafauna_fruit	spatiotemporal_compatibility	1.0	0.2	0.2	2
T2C0019	north_american_temperate_megafauna_fruit	extinct_partner_support	1.0	0.25	0.25	3
T2C0019	north_american_temperate_megafauna_fruit	modern_failure_support	0.5	0.2	0.1	3
T2C0019	north_american_temperate_megafauna_fruit	morphology_support	1.0	0.25	0.25	3
T2C0019	north_american_temperate_megafauna_fruit	penalty_living_megafauna_ambiguous	0.0	-0.15	-0.0	3
T2C0019	north_american_temperate_megafauna_fruit	penalty_source_singleton	1.0	-0.1	-0.1	3
T2C0019	north_american_temperate_megafauna_fruit	provenance_completeness	1.0	0.1	0.1	3
T2C0019	north_american_temperate_megafauna_fruit	spatiotemporal_compatibility	1.0	0.2	0.2	3
T2C0017	north_american_temperate_megafauna_fruit	extinct_partner_support	1.0	0.25	0.25	4
T2C0017	north_american_temperate_megafauna_fruit	modern_failure_support	0.5	0.2	0.1	4
T2C0017	north_american_temperate_megafauna_fruit	morphology_support	1.0	0.25	0.25	4
T2C0017	north_american_temperate_megafauna_fruit	penalty_living_megafauna_ambiguous	0.0	-0.15	-0.0	4
T2C0017	north_american_temperate_megafauna_fruit	penalty_source_singleton	1.0	-0.1	-0.1	4
T2C0017	north_american_temperate_megafauna_fruit	provenance_completeness	1.0	0.1	0.1	4
T2C0017	north_american_temperate_megafauna_fruit	spatiotemporal_compatibility	1.0	0.2	0.2	4
T2C0021	north_american_temperate_megafauna_fruit	extinct_partner_support	1.0	0.25	0.25	5
T2C0021	north_american_temperate_megafauna_fruit	modern_failure_support	0.5	0.2	0.1	5
T2C0021	north_american_temperate_megafauna_fruit	morphology_support	1.0	0.25	0.25	5
T2C0021	north_american_temperate_megafauna_fruit	penalty_living_megafauna_ambiguous	0.0	-0.15	-0.0	5
T2C0021	north_american_temperate_megafauna_fruit	penalty_source_singleton	1.0	-0.1	-0.1	5
T2C0021	north_american_temperate_megafauna_fruit	provenance_completeness	1.0	0.1	0.1	5
T2C0021	north_american_temperate_megafauna_fruit	spatiotemporal_compatibility	1.0	0.2	0.2	5
T2C0011	neotropical_gomphothere_large_fruit	extinct_partner_support	1.0	0.25	0.25	6
T2C0011	neotropical_gomphothere_large_fruit	modern_failure_support	0.5	0.2	0.1	6
T2C0011	neotropical_gomphothere_large_fruit	morphology_support	1.0	0.25	0.25	6
T2C0011	neotropical_gomphothere_large_fruit	penalty_living_megafauna_ambiguous	0.0	-0.15	-0.0	6
T2C0011	neotropical_gomphothere_large_fruit	penalty_source_singleton	1.0	-0.1	-0.1	6
T2C0011	neotropical_gomphothere_large_fruit	provenance_completeness	1.0	0.1	0.1	6
T2C0011	neotropical_gomphothere_large_fruit	spatiotemporal_compatibility	0.875	0.2	0.175	6
T2C0024	neotropical_gomphothere_large_fruit	extinct_partner_support	1.0	0.25	0.25	7
T2C0024	neotropical_gomphothere_large_fruit	modern_failure_support	0.5	0.2	0.1	7
T2C0024	neotropical_gomphothere_large_fruit	morphology_support	1.0	0.25	0.25	7
T2C0024	neotropical_gomphothere_large_fruit	penalty_living_megafauna_ambiguous	0.0	-0.15	-0.0	7
T2C0024	neotropical_gomphothere_large_fruit	penalty_source_singleton	1.0	-0.1	-0.1	7
T2C0024	neotropical_gomphothere_large_fruit	provenance_completeness	1.0	0.1	0.1	7
T2C0024	neotropical_gomphothere_large_fruit	spatiotemporal_compatibility	0.875	0.2	0.175	7
T2C0028	neotropical_gomphothere_large_fruit	extinct_partner_support	1.0	0.25	0.25	8
T2C0028	neotropical_gomphothere_large_fruit	modern_failure_support	0.5	0.2	0.1	8
T2C0028	neotropical_gomphothere_large_fruit	morphology_support	1.0	0.25	0.25	8
T2C0028	neotropical_gomphothere_large_fruit	penalty_living_megafauna_ambiguous	0.0	-0.15	-0.0	8
T2C0028	neotropical_gomphothere_large_fruit	penalty_source_singleton	1.0	-0.1	-0.1	8
T2C0028	neotropical_gomphothere_large_fruit	provenance_completeness	1.0	0.1	0.1	8
T2C0028	neotropical_gomphothere_large_fruit	spatiotemporal_compatibility	0.875	0.2	0.175	8
T2C0009	neotropical_gomphothere_large_fruit	extinct_partner_support	1.0	0.25	0.25	9
T2C0009	neotropical_gomphothere_large_fruit	modern_failure_support	0.5	0.2	0.1	9
T2C0009	neotropical_gomphothere_large_fruit	morphology_support	1.0	0.25	0.25	9
T2C0009	neotropical_gomphothere_large_fruit	penalty_living_megafauna_ambiguous	0.0	-0.15	-0.0	9
T2C0009	neotropical_gomphothere_large_fruit	penalty_source_singleton	1.0	-0.1	-0.1	9
T2C0009	neotropical_gomphothere_large_fruit	provenance_completeness	1.0	0.1	0.1	9
T2C0009	neotropical_gomphothere_large_fruit	spatiotemporal_compatibility	0.875	0.2	0.175	9
T2C0004	european_browsing_regime	extinct_partner_support	1.0	0.25	0.25	10
T2C0004	european_browsing_regime	modern_failure_support	0.5	0.2	0.1	10
T2C0004	european_browsing_regime	morphology_support	1.0	0.25	0.25	10
T2C0004	european_browsing_regime	penalty_living_megafauna_ambiguous	0.0	-0.15	-0.0	10
T2C0004	european_browsing_regime	penalty_source_singleton	1.0	-0.1	-0.1	10
T2C0004	european_browsing_regime	provenance_completeness	1.0	0.1	0.1	10
T2C0004	european_browsing_regime	spatiotemporal_compatibility	0.5	0.2	0.1	10
T2C0003	north_american_temperate_megafauna_fruit	extinct_partner_support	1.0	0.25	0.25	11
T2C0003	north_american_temperate_megafauna_fruit	modern_failure_support	0.5	0.2	0.1	11
T2C0003	north_american_temperate_megafauna_fruit	morphology_support	1.0	0.25	0.25	11
