trait	null	mean	std	p5	p95	n_replicates	seed
achene	N1	1.914367	0.130640	1.694405	2.115258	1000	20260517
achene	N2	1.788804	0.127557	1.585848	1.995321	1000	20260517
aril	N1	2.004680	0.086728	1.855299	2.143572	1000	20260517
aril	N2	1.879017	0.082199	1.743275	2.013634	1000	20260517
c4_photosynthesis	N1	1.885764	0.140852	1.651194	2.120190	1000	20260517
c4_photosynthesis	N2	1.762434	0.142460	1.524684	1.995169	1000	20260517
cam_photosynthesis	N1	1.224165	0.375252	0.600166	1.798652	1000	20260517
cam_photosynthesis	N2	1.065782	0.368965	0.474139	1.666333	1000	20260517
capsule	N1	2.010303	0.080928	1.876457	2.138576	1000	20260517
capsule	N2	1.891646	0.078131	1.763690	2.018789	1000	20260517
drupe	N1	1.907393	0.135499	1.680692	2.133526	1000	20260517
drupe	N2	1.780486	0.134347	1.572839	2.012259	1000	20260517
elaiosome	N1	1.810046	0.173695	1.520058	2.092592	1000	20260517
elaiosome	N2	1.680597	0.181702	1.386100	1.989936	1000	20260517
fleshy_fruit	N1	2.024985	0.065565	1.920652	2.131372	1000	20260517
fleshy_fruit	N2	1.911966	0.066706	1.799459	2.019463	1000	20260517
follicle	N1	1.965358	0.110085	1.778970	2.147077	1000	20260517
follicle	N2	1.838332	0.104643	1.668966	2.003125	1000	20260517
myrmecochory	N1	1.958116	0.111045	1.774359	2.145335	1000	20260517
myrmecochory	N2	1.835014	0.106037	1.661924	2.012381	1000	20260517
samara	N1	1.810245	0.182451	1.513030	2.106857	1000	20260517
samara	N2	1.677553	0.173636	1.388174	1.964689	1000	20260517
succulence	N1	0.670484	0.392937	-0.000000	1.098612	1000	20260517
succulence	N2	0.486510	0.394624	-0.000000	1.098612	1000	20260517
_other	N2	2.155876	0.000000	2.155876	2.155876	1000	20260518
