trait	n_accepted_taxa	n_accepted_families	max_family_share	top_family_label	family_herfindahl	family_gini	median_total_track3_edge_count_per_carrier	iqr_total_track3_edge_count_per_carrier	accepted_resolution_share	pending_crosswalk_excluded_taxa	observed_family_entropy	family_size_baseline_entropy_mean	family_size_baseline_entropy_std	family_size_baseline_z	sampling_density_baseline_entropy_mean	sampling_density_baseline_entropy_std	sampling_density_baseline_z	residual_readiness_z_min	max_source_share	max_source_family_share	source_dominance_ok	CP_min	row_class_from_wave4	controlled_readiness_status	blocker_classification
c4_photosynthesis	157	4	0.6242038216560509	Poaceae	0.48573978660391903	0.5143312101910829	12.0	11.000-15.000	0.11409883720930232	1219	0.8886597548950497	1.9483106859073516	0.1475693674017088	-7.180697116683794	1.7539242543751512	0.14638666778815618	-5.9108149160979	-7.180697116683794	1.0	0.6242038216560509	False	-7.066116	observed_trait_evidence_summary	data_limited_pending_prior	insufficient_independent_families;projection_loss;family_dominance;cp_below_threshold;family_size_dominated;sampling_density_dominated;single_source_dominated
cam_photosynthesis	10	4	0.6	Unresolved family	0.42000000000000004	0.4	13.0	10.500-15.750	0.03597122302158273	268	1.0888999753452235	1.226960942846289	0.3767917802873956	-0.3664118346630609	1.1253271645822123	0.3769804005675814	-0.09662886766034516	-0.3664118346630609	1.0	0.6	False	-0.507934	observed_trait_evidence_summary	data_limited_pending_prior	insufficient_accepted_taxa;insufficient_independent_families;projection_loss;family_dominance;cp_below_threshold;family_size_dominated;sampling_density_dominated;single_source_dominated
succulence	2	1	1.0	Loranthaceae	1.0	0.0	13.5	13.250-13.750	0.044444444444444446	43	-0.0	0.4519319617250843	0.3303361757891788	-1.3680970927432066	0.4339101350305258	0.33555652222866295	-1.293105948734444	-1.3680970927432066	1.0	1.0	False	-0.08645	observed_trait_evidence_summary	data_limited_pending_prior	insufficient_accepted_taxa;insufficient_independent_families;projection_loss;family_dominance;cp_below_threshold;family_size_dominated;sampling_density_dominated;single_source_dominated
fleshy_fruit	716	42	0.6689944134078212	Unresolved family	0.4555140289004712	0.8400505453578079	9.0	8.000-11.000	0.1751896256422804	3371	1.6431307598311315	2.0895342084133297	0.07402490347764801	-6.0304495866987615	1.8822545162964666	0.07163783686600655	-3.3379533348082364	-6.0304495866987615	1.0	0.6689944134078212	False	-5.850457	observed_trait_evidence_summary	data_limited_pending_prior	projection_loss;family_dominance;cp_below_threshold;family_size_dominated;sampling_density_dominated;single_source_dominated
drupe	186	32	0.22043010752688172	Unresolved family	0.11197826338305006	0.635752688172043	8.0	7.000-10.000	0.08976833976833977	1886	2.678890449765879	1.9761722668159418	0.13342170084507146	5.266895703615185	1.7793822171257179	0.13300950808753295	6.7627363304599175	5.266895703615185	1.0	0.22043010752688172	False	5.647328	pending_convergent_trait_hypothesis	data_limited_pending_prior	projection_loss;single_source_dominated
samara	93	3	0.6559139784946236	Casuarinaceae	0.5347439010290207	0.4229390681003584	7.0	6.000-11.000	0.5195530726256983	86	0.724153025136519	1.8662652957945258	0.18932605531790064	-6.032515010890954	1.6914867170958732	0.17539682486704886	-5.515115183485191	-6.032515010890954	1.0	0.6559139784946236	False	-5.929682	observed_trait_evidence_summary	data_limited_pending_prior	insufficient_accepted_taxa;insufficient_independent_families;family_dominance;cp_below_threshold;family_size_dominated;sampling_density_dominated;single_source_dominated
capsule	543	48	0.430939226519337	Unresolved family	0.21585625184416432	0.7643876611418048	6.0	5.000-9.000	0.05984130482697818	8531	2.404178912053046	2.0725273983026153	0.0844069116089538	3.9291985387041373	1.8677668885408252	0.08003246940100978	6.702429995312038	3.9291985387041373	1.0	0.430939226519337	False	4.83144	pending_convergent_trait_hypothesis	data_limited_pending_prior	projection_loss;family_dominance;single_source_dominated
achene	199	11	0.6633165829145728	Unresolved family	0.47006388727557374	0.756509821836455	7.0	5.000-8.000	0.10168625447112928	1758	1.1919760177904473	1.9751294033568818	0.13688873250540906	-5.72109457975651	1.7840794630153531	0.1352261257924598	-4.378617236536415	-5.72109457975651	1.0	0.6633165829145728	False	-5.559571	observed_trait_evidence_summary	data_limited_pending_prior	projection_loss;family_dominance;cp_below_threshold;family_size_dominated;sampling_density_dominated;single_source_dominated
follicle	311	12	0.5852090032154341	Proteaceae	0.4378676812688042	0.7880493033226152	7.0	7.000-10.000	0.1423992673992674	1873	1.1321496398862914	2.0259370861456474	0.10852704776571387	-8.235619273352459	1.821605419376187	0.11055862917483264	-6.236110058850495	-8.235619273352459	1.0	0.5852090032154341	False	-7.496875	observed_trait_evidence_summary	data_limited_pending_prior	projection_loss;family_dominance;cp_below_threshold;family_size_dominated;sampling_density_dominated;single_source_dominated
aril	472	2	0.9978813559322034	Unresolved family	0.9957716891697788	0.4978813559322034	10.0	9.000-15.000	0.621870882740448	287	0.015160845158155458	2.065085046684273	0.09171385242783536	-22.35130405343175	1.8590627802911022	0.0887109920385033	-20.785495605016305	-22.35130405343175	1.0	0.9978813559322034	False	-22.940141	observed_trait_evidence_summary	data_limited_pending_prior	insufficient_independent_families;family_dominance;cp_below_threshold;family_size_dominated;sampling_density_dominated;single_source_dominated
