trait	controlled_readiness_status	h3_support_level	CP_min	n_accepted_taxa	n_families	max_family_share	family_size_baseline_z	sampling_density_baseline_z	accepted_resolution_share	source_dominance_ok	row_class_from_wave4	blocker_classification	enters_master_prediction_ledger
c4_photosynthesis	data_limited_pending_prior	data_limited	-7.066116	157	4	0.6242038216560509	-7.180697116683794	-5.9108149160979	0.11409883720930232	False	observed_trait_evidence_summary	insufficient_independent_families;projection_loss;family_dominance;cp_below_threshold;family_size_dominated;sampling_density_dominated;single_source_dominated	False
cam_photosynthesis	data_limited_pending_prior	data_limited	-0.507934	10	4	0.6	-0.3664118346630609	-0.09662886766034516	0.03597122302158273	False	observed_trait_evidence_summary	insufficient_accepted_taxa;insufficient_independent_families;projection_loss;family_dominance;cp_below_threshold;family_size_dominated;sampling_density_dominated;single_source_dominated	False
succulence	data_limited_pending_prior	data_limited	-0.08645	2	1	1.0	-1.3680970927432066	-1.293105948734444	0.044444444444444446	False	observed_trait_evidence_summary	insufficient_accepted_taxa;insufficient_independent_families;projection_loss;family_dominance;cp_below_threshold;family_size_dominated;sampling_density_dominated;single_source_dominated	False
fleshy_fruit	data_limited_pending_prior	data_limited	-5.850457	716	42	0.6689944134078212	-6.0304495866987615	-3.3379533348082364	0.1751896256422804	False	observed_trait_evidence_summary	projection_loss;family_dominance;cp_below_threshold;family_size_dominated;sampling_density_dominated;single_source_dominated	False
drupe	data_limited_pending_prior	data_limited	5.647328	186	32	0.22043010752688172	5.266895703615185	6.7627363304599175	0.08976833976833977	False	pending_convergent_trait_hypothesis	projection_loss;single_source_dominated	False
samara	data_limited_pending_prior	data_limited	-5.929682	93	3	0.6559139784946236	-6.032515010890954	-5.515115183485191	0.5195530726256983	False	observed_trait_evidence_summary	insufficient_accepted_taxa;insufficient_independent_families;family_dominance;cp_below_threshold;family_size_dominated;sampling_density_dominated;single_source_dominated	False
capsule	data_limited_pending_prior	data_limited	4.83144	543	48	0.430939226519337	3.9291985387041373	6.702429995312038	0.05984130482697818	False	pending_convergent_trait_hypothesis	projection_loss;family_dominance;single_source_dominated	False
achene	data_limited_pending_prior	data_limited	-5.559571	199	11	0.6633165829145728	-5.72109457975651	-4.378617236536415	0.10168625447112928	False	observed_trait_evidence_summary	projection_loss;family_dominance;cp_below_threshold;family_size_dominated;sampling_density_dominated;single_source_dominated	False
follicle	data_limited_pending_prior	data_limited	-7.496875	311	12	0.5852090032154341	-8.235619273352459	-6.236110058850495	0.1423992673992674	False	observed_trait_evidence_summary	projection_loss;family_dominance;cp_below_threshold;family_size_dominated;sampling_density_dominated;single_source_dominated	False
aril	data_limited_pending_prior	data_limited	-22.940141	472	2	0.9978813559322034	-22.35130405343175	-20.785495605016305	0.621870882740448	False	observed_trait_evidence_summary	insufficient_independent_families;family_dominance;cp_below_threshold;family_size_dominated;sampling_density_dominated;single_source_dominated	False
elaiosome	data_limited_pending_prior	data_limited	-9.14206	92	4	0.9565217391304348	-8.630510060688096	-7.751619554408718	0.45544554455445546	False	observed_trait_evidence_summary	insufficient_accepted_taxa;insufficient_independent_families;family_dominance;cp_below_threshold;family_size_dominated;sampling_density_dominated;single_source_dominated	False
myrmecochory	confound_limited_pending_prior	confound_limited	-10.328344	288	14	0.8333333333333334	-10.480913075702976	-9.119633613374463	0.2532981530343008	False	observed_trait_evidence_summary	family_dominance;cp_below_threshold;family_size_dominated;sampling_density_dominated;single_source_dominated	False
ant_domatia	data_limited_pending_prior	data_limited		0	0	0.0			0.0	True	data_limited_canonical_trait	zero_carrier;insufficient_accepted_taxa;insufficient_independent_families;cp_below_threshold;family_size_dominated;sampling_density_dominated	False
carnivory	data_limited_pending_prior	data_limited		0	0	0.0			0.0	True	data_limited_canonical_trait	zero_carrier;insufficient_accepted_taxa;insufficient_independent_families;cp_below_threshold;family_size_dominated;sampling_density_dominated	False
parasitism	data_limited_pending_prior	data_limited		0	0	0.0			0.0	True	data_limited_canonical_trait	zero_carrier;insufficient_accepted_taxa;insufficient_independent_families;cp_below_threshold;family_size_dominated;sampling_density_dominated	False
