trait	accepted_taxon_key	family_key	family_label	source_id	source_edge_count_for_taxon_trait	total_track3_edge_count_for_taxon	trait_family_carrier_count	trait_family_share	family_total_track3_taxa	pending_crosswalk_excluded_count_for_trait	accepted_resolution_share_for_trait	row_class_from_wave4	CP_min	controlled_readiness_status
achene	wfo:wfo-0000639080-2025-12	wfo:wfo-7000000012-2025-12	Alismataceae	austraits_6_0_0	1	5	5	0.02512562814070352	6	1758	0.10168625447112928	observed_trait_evidence_summary	-5.559571	data_limited_pending_prior
achene	wfo:wfo-0000755439-2025-12	wfo:wfo-7000000012-2025-12	Alismataceae	austraits_6_0_0	1	4	5	0.02512562814070352	6	1758	0.10168625447112928	observed_trait_evidence_summary	-5.559571	data_limited_pending_prior
achene	wfo:wfo-0000755470-2025-12	wfo:wfo-7000000012-2025-12	Alismataceae	austraits_6_0_0	1	13	5	0.02512562814070352	6	1758	0.10168625447112928	observed_trait_evidence_summary	-5.559571	data_limited_pending_prior
achene	wfo:wfo-0001424347-2025-12	wfo:wfo-7000000012-2025-12	Alismataceae	austraits_6_0_0	1	7	5	0.02512562814070352	6	1758	0.10168625447112928	observed_trait_evidence_summary	-5.559571	data_limited_pending_prior
achene	wfo:wfo-0001424349-2025-12	wfo:wfo-7000000012-2025-12	Alismataceae	austraits_6_0_0	1	7	5	0.02512562814070352	6	1758	0.10168625447112928	observed_trait_evidence_summary	-5.559571	data_limited_pending_prior
achene	wfo:wfo-1000056338-2025-12	wfo:wfo-7000000146-2025-12	Asteraceae	austraits_6_0_0	1	7	1	0.005025125628140704	2	1758	0.10168625447112928	observed_trait_evidence_summary	-5.559571	data_limited_pending_prior
achene	wfo:wfo-0000555572-2025-12	wfo:wfo-7000000054-2025-12	Atherospermataceae	austraits_6_0_0	1	11	1	0.005025125628140704	1	1758	0.10168625447112928	observed_trait_evidence_summary	-5.559571	data_limited_pending_prior
achene	wfo:wfo-0000822997-2025-12	wfo:wfo-7000000066-2025-12	Basellaceae	austraits_6_0_0	1	11	1	0.005025125628140704	2	1758	0.10168625447112928	observed_trait_evidence_summary	-5.559571	data_limited_pending_prior
achene	wfo:wfo-0000567857-2025-12	wfo:wfo-7000000416-2025-12	Nyctaginaceae	austraits_6_0_0	1	5	13	0.06532663316582915	13	1758	0.10168625447112928	observed_trait_evidence_summary	-5.559571	data_limited_pending_prior
achene	wfo:wfo-0000567873-2025-12	wfo:wfo-7000000416-2025-12	Nyctaginaceae	austraits_6_0_0	1	9	13	0.06532663316582915	13	1758	0.10168625447112928	observed_trait_evidence_summary	-5.559571	data_limited_pending_prior
