substrate_label	n_edges
life_history:perennial	27126
fruit_fleshiness:dry	18277
fruit_dehiscence:dehiscent	15305
plant_growth_form:shrub	14047
plant_growth_form:herb	13750
fruit_dehiscence:indehiscent	10145
photosynthetic_pathway:c3	8493
plant_growth_form:tree	5066
life_history:annual	4437
dispersal_syndrome:anemochory	3587
fruit_type:legume	3412
dispersers:wind	3131
dispersal_syndrome:zoochory	3010
plant_growth_form:graminoid	2888
diaspore_fleshiness:dry	2854
woodiness:woody	2591
dispersal_syndrome:barochory	2549
fruit_type:nut	2393
seed_shape:ellipsoid	2204
dispersers:invertebrates	2011
seed_shape:ovoid	1971
dispersers:birds	1900
fruit_type:caryopsis	1794
dispersal_syndrome:epizoochory	1601
plant_growth_form:tussock	1488
fruit_type:berry	1469
dispersers:passive	1447
plant_growth_form:subshrub	1393
dispersal_appendage:none	1392
fruit_type:mericarp	1367
dispersal_syndrome:endozoochory	1293
seed_shape:ovoid_elongated	1056
plant_growth_form:climber_herbaceous	951
dispersers:mammals	893
woodiness:herbaceous	858
seed_shape:polyhedral	831
dispersers:vertebrates	766
seed_shape:reniform	731
seed_shape:winged	723
life_history:short_lived_perennial	703
plant_growth_form:mallee	680
seed_shape:globoid	680
dispersers:animals	634
dispersers:abiotic	628
plant_growth_form:climber_woody	622
dispersal_syndrome:hydrochory	579
plant_growth_form:fern	561
plant_growth_form:climber	518
seed_shape:ovoid_flattened	492
dispersers:water	478
fruit_type:utricle	432
life_history:biennial	381
seed_shape:discoid	326
fruit_type:nutlet	293
seed_shape:orbicular	249
seed_shape:lenticular	242
plant_growth_form:palmoid	233
fruit_type:strobilus	224
dispersal_syndrome:ballistic	224
plant_growth_form:graminoid_not_tussock	223
seed_shape:ellipsoid_flattened	222
dispersal_appendage:wings	214
fruit_type:silique	204
dispersers:cassowaries	201
dispersers:flying_vertebrates	189
dispersal_appendage:pappus	170
seed_shape:cylindrical	167
fruit_type:pyrene	156
life_history:ephemeral	150
seed_shape:sectoroid	132
seed_shape:comma-shaped	131
seed_shape:fusiform	131
plant_growth_form:geophyte	117
fruit_type:schizocarp	114
fruit_type:legume_indehiscent	109
plant_growth_form:basal_large	100
dispersal_appendage:bristles	92
plant_growth_form:hummock	71
dispersers:bats	69
seed_shape:cuneate	64
fruit_type:syconium	58
seed_shape:globoid_flattened	58
dispersal_appendage:fleshy_reward	58
plant_growth_form:lycophyte	51
seed_shape:hemispheric_flattened	45
fruit_type:anthocarp	42
fruit_type:multiple_fruit	40
dispersal_appendage:hooks	39
plant_succulence:not_succulent	36
dispersal_appendage:wing_or_plume	35
seed_shape:hemispheric	31
dispersal_appendage:hairs	30
dispersal_appendage:sarcotesta	27
fruit_type:compound_fruit_other	26
dispersal_appendage:plumose	24
fruit_type:pome	23
dispersers:non-flying_vertebrates	19
seed_shape:sinusoidal	19
seed_shape:conical	17
dispersal_appendage:floral_parts	16
dispersers:fish	14
fruit_type:syncarp	12
dispersal_appendage:spines	12
dispersal_appendage:bracts_and_glumes	10
dispersal_appendage:inflated_parts	10
dispersal_appendage:floating_seed	10
dispersal_appendage:receptacle	8
dispersers:mammals_domestic	7
dispersers:rodents	6
seed_shape:polyhedral_elongated	5
seed_shape:polyhedral_inflated	5
dispersal_syndrome:autochory	4
dispersal_syndrome:anthrochory	4
dispersers:vehicles	3
dispersers:insects	2
dispersal_appendage:flotation_scales	2
dispersers:garden_refuse	1
dispersal_syndrome:atelochory	1
dispersers:floods	1
dispersal_appendage:tumbleweed	1
dispersers:indigenous_people	1
