crop_taxon	crop_accepted_taxon_key	wild_ancestor_node	wild_ancestor_name	wild_ancestor_accepted_key	pair_join_status	source_id
Triticum aestivum		wild_ancestor:Triticum_urartu_A_genome	Triticum urartu		data-limited	curated_breeder_pedigree_literature
Triticum aestivum		wild_ancestor:Aegilops_speltoides_B_genome_donor_lineage	Aegilops speltoides	wfo:wfo-0000841819-2025-12	data-limited	curated_breeder_pedigree_literature
Triticum aestivum		wild_ancestor:Aegilops_tauschii_D_genome	Aegilops tauschii	wfo:wfo-0000841857-2025-12	data-limited	curated_breeder_pedigree_literature
Triticum turgidum subsp. durum		wild_ancestor:Triticum_urartu_A_genome	Triticum urartu		data-limited	curated_breeder_pedigree_literature
Triticum turgidum subsp. durum		wild_ancestor:Aegilops_speltoides_B_genome_donor_lineage	Aegilops speltoides	wfo:wfo-0000841819-2025-12	data-limited	curated_breeder_pedigree_literature
Malus domestica		wild_ancestor:Malus_sieversii	Malus sieversii		data-limited	curated_breeder_pedigree_literature
Malus domestica		wild_ancestor:Malus_sylvestris	Malus sylvestris		data-limited	curated_breeder_pedigree_literature
Malus domestica		wild_ancestor:Malus_baccata_introgression	Malus baccata		data-limited	curated_breeder_pedigree_literature
Musa x paradisiaca / Musa acuminata cultivar group		wild_ancestor:Musa_acuminata_A_genome	Musa acuminata		data-limited	curated_breeder_pedigree_literature
Musa x paradisiaca / Musa acuminata cultivar group		wild_ancestor:Musa_balbisiana_B_genome	Musa balbisiana		data-limited	curated_breeder_pedigree_literature
Brassica napus		wild_ancestor:Brassica_rapa_A_genome	Brassica rapa		data-limited	curated_breeder_pedigree_literature
Brassica napus		wild_ancestor:Brassica_oleracea_C_genome	Brassica oleracea		data-limited	curated_breeder_pedigree_literature
Brassica juncea		wild_ancestor:Brassica_rapa_A_genome	Brassica rapa		data-limited	curated_breeder_pedigree_literature
Brassica juncea		wild_ancestor:Brassica_nigra_B_genome	Brassica nigra		data-limited	curated_breeder_pedigree_literature
Brassica carinata		wild_ancestor:Brassica_nigra_B_genome	Brassica nigra		data-limited	curated_breeder_pedigree_literature
Brassica carinata		wild_ancestor:Brassica_oleracea_C_genome	Brassica oleracea		data-limited	curated_breeder_pedigree_literature
Gossypium hirsutum		wild_ancestor:Gossypium_arboreum_herbaceum_A_genome_lineage	Gossypium arboreum/herbaceum		data-limited	curated_breeder_pedigree_literature
Gossypium hirsutum		wild_ancestor:Gossypium_raimondii_D_genome	Gossypium raimondii		data-limited	curated_breeder_pedigree_literature
Gossypium barbadense		wild_ancestor:Gossypium_arboreum_herbaceum_A_genome_lineage	Gossypium arboreum/herbaceum		data-limited	curated_breeder_pedigree_literature
Gossypium barbadense		wild_ancestor:Gossypium_raimondii_D_genome	Gossypium raimondii		data-limited	curated_breeder_pedigree_literature
Arachis hypogaea	wfo:wfo-0000174378-2025-12	wild_ancestor:Arachis_duranensis_A_genome	Arachis duranensis	wfo:wfo-0000193812-2025-12	joined	curated_breeder_pedigree_literature
Arachis hypogaea	wfo:wfo-0000174378-2025-12	wild_ancestor:Arachis_ipaensis_B_genome	Arachis ipaensis	wfo:wfo-0000193806-2025-12	joined	curated_breeder_pedigree_literature
Coffea arabica		wild_ancestor:Coffea_canephora	Coffea canephora		data-limited	curated_breeder_pedigree_literature
Coffea arabica		wild_ancestor:Coffea_eugenioides	Coffea eugenioides		data-limited	curated_breeder_pedigree_literature
Nicotiana tabacum		wild_ancestor:Nicotiana_sylvestris_S_genome	Nicotiana sylvestris		data-limited	curated_breeder_pedigree_literature
Nicotiana tabacum		wild_ancestor:Nicotiana_tomentosiformis_T_genome	Nicotiana tomentosiformis		data-limited	curated_breeder_pedigree_literature
Fragaria x ananassa		wild_ancestor:Fragaria_chiloensis_octoploid	Fragaria chiloensis		data-limited	curated_breeder_pedigree_literature
Fragaria x ananassa		wild_ancestor:Fragaria_virginiana_octoploid	Fragaria virginiana		data-limited	curated_breeder_pedigree_literature
Manihot esculenta		wild_ancestor:Manihot_esculenta_subsp._flabellifolia_wild_progenitor	Manihot esculenta subsp. flabellifolia		data-limited	curated_breeder_pedigree_literature
Solanum tuberosum		wild_ancestor:Solanum_brevicaule_complex_wild_progenitors	Solanum brevicaule complex		data-limited	curated_breeder_pedigree_literature
Solanum tuberosum		wild_ancestor:Solanum_maglia	Solanum maglia		data-limited	curated_breeder_pedigree_literature
Solanum tuberosum		wild_ancestor:Solanum_bukasovii	Solanum bukasovii		data-limited	curated_breeder_pedigree_literature
Solanum lycopersicum		wild_ancestor:Solanum_lycopersicum_var._cerasiforme	Solanum lycopersicum var. cerasiforme		data-limited	curated_breeder_pedigree_literature
Solanum lycopersicum		wild_ancestor:Solanum_pimpinellifolium	Solanum pimpinellifolium		data-limited	curated_breeder_pedigree_literature
Capsicum annuum		wild_ancestor:Capsicum_annuum_var._glabriusculum_wild_bird_pepper	Capsicum annuum var. glabriusculum		data-limited	curated_breeder_pedigree_literature
Glycine max		wild_ancestor:Glycine_soja	Glycine soja		data-limited	curated_breeder_pedigree_literature
Phaseolus vulgaris		wild_ancestor:Phaseolus_vulgaris_wild_Andean_gene_pool	Phaseolus vulgaris wild Andean gene pool		data-limited	curated_breeder_pedigree_literature
