taxon	accepted_key	role	crop_anchor	source	n_coordinates_used	coordinate_filter_version	bioclim_variable	mean	median	min	max	aggregation_method	raster_or_climate_source	license_access_note	caveat	extraction_status
Aegilops speltoides	wfo:wfo-0000841819-2025-12	seed_panel		GBIF:07044577-bd82-4089-9f3a-f4a9d2170b2e:fee3882f-5360-4f01-a1ca-767c48fa629c	112	gbif_cc0_ccby_uncertainty50km_no_severe_geospatial_issue_v1	none_computed					not_computed	none_found_in_workspace	GBIF occurrence metadata cached locally with dataset keys/licenses; climate rasters not redistributed	post-filter occurrence coordinates may exist, but no local WorldClim/CHELSA raster or sampled climate file was found; climate mismatch remains undefined	not_computed_no_local_raster_or_runtime
Aegilops speltoides	wfo:wfo-0000841819-2025-12	wild_relative	Triticum aestivum	GBIF:07044577-bd82-4089-9f3a-f4a9d2170b2e:fee3882f-5360-4f01-a1ca-767c48fa629c	107	gbif_cc0_ccby_uncertainty50km_no_severe_geospatial_issue_v1	none_computed					not_computed	none_found_in_workspace	GBIF occurrence metadata cached locally with dataset keys/licenses; climate rasters not redistributed	post-filter occurrence coordinates may exist, but no local WorldClim/CHELSA raster or sampled climate file was found; climate mismatch remains undefined	not_computed_no_local_raster_or_runtime
Aegilops speltoides	wfo:wfo-0000841819-2025-12	wild_relative	Triticum turgidum subsp. durum	GBIF:07044577-bd82-4089-9f3a-f4a9d2170b2e:fee3882f-5360-4f01-a1ca-767c48fa629c	107	gbif_cc0_ccby_uncertainty50km_no_severe_geospatial_issue_v1	none_computed					not_computed	none_found_in_workspace	GBIF occurrence metadata cached locally with dataset keys/licenses; climate rasters not redistributed	post-filter occurrence coordinates may exist, but no local WorldClim/CHELSA raster or sampled climate file was found; climate mismatch remains undefined	not_computed_no_local_raster_or_runtime
Aegilops tauschii	wfo:wfo-0000841857-2025-12	seed_panel		GBIF:07044577-bd82-4089-9f3a-f4a9d2170b2e:fee3882f-5360-4f01-a1ca-767c48fa629c	194	gbif_cc0_ccby_uncertainty50km_no_severe_geospatial_issue_v1	none_computed					not_computed	none_found_in_workspace	GBIF occurrence metadata cached locally with dataset keys/licenses; climate rasters not redistributed	post-filter occurrence coordinates may exist, but no local WorldClim/CHELSA raster or sampled climate file was found; climate mismatch remains undefined	not_computed_no_local_raster_or_runtime
Aegilops tauschii	wfo:wfo-0000841857-2025-12	wild_relative	Triticum aestivum	GBIF:07044577-bd82-4089-9f3a-f4a9d2170b2e:fee3882f-5360-4f01-a1ca-767c48fa629c	192	gbif_cc0_ccby_uncertainty50km_no_severe_geospatial_issue_v1	none_computed					not_computed	none_found_in_workspace	GBIF occurrence metadata cached locally with dataset keys/licenses; climate rasters not redistributed	post-filter occurrence coordinates may exist, but no local WorldClim/CHELSA raster or sampled climate file was found; climate mismatch remains undefined	not_computed_no_local_raster_or_runtime
Ananas comosus	wfo:wfo-0000339432-2025-12	heldout_crop	Ananas comosus	GBIF_iNaturalist_mediated	25	gbif_cc0_ccby_uncertainty50km_no_severe_geospatial_issue_v1	none_computed					not_computed	none_found_in_workspace	GBIF occurrence metadata cached locally with dataset keys/licenses; climate rasters not redistributed	post-filter occurrence coordinates may exist, but no local WorldClim/CHELSA raster or sampled climate file was found; climate mismatch remains undefined	not_computed_no_local_raster_or_runtime
Arachis duranensis	wfo:wfo-0000193812-2025-12	seed_panel		GBIF:07044577-bd82-4089-9f3a-f4a9d2170b2e:fee3882f-5360-4f01-a1ca-767c48fa629c	99	gbif_cc0_ccby_uncertainty50km_no_severe_geospatial_issue_v1	none_computed					not_computed	none_found_in_workspace	GBIF occurrence metadata cached locally with dataset keys/licenses; climate rasters not redistributed	post-filter occurrence coordinates may exist, but no local WorldClim/CHELSA raster or sampled climate file was found; climate mismatch remains undefined	not_computed_no_local_raster_or_runtime
Arachis duranensis	wfo:wfo-0000193812-2025-12	wild_relative	Arachis hypogaea	GBIF:07044577-bd82-4089-9f3a-f4a9d2170b2e:fee3882f-5360-4f01-a1ca-767c48fa629c	95	gbif_cc0_ccby_uncertainty50km_no_severe_geospatial_issue_v1	none_computed					not_computed	none_found_in_workspace	GBIF occurrence metadata cached locally with dataset keys/licenses; climate rasters not redistributed	post-filter occurrence coordinates may exist, but no local WorldClim/CHELSA raster or sampled climate file was found; climate mismatch remains undefined	not_computed_no_local_raster_or_runtime
Arachis hypogaea	wfo:wfo-0000174378-2025-12	crop_anchor	Arachis hypogaea	GBIF:14d5676a-2c54-4f94-9023-1e8dcd822aa0:da86174a-a605-43a4-a5e8-53d484152cd3	144	gbif_cc0_ccby_uncertainty50km_no_severe_geospatial_issue_v1	none_computed					not_computed	none_found_in_workspace	GBIF occurrence metadata cached locally with dataset keys/licenses; climate rasters not redistributed	post-filter occurrence coordinates may exist, but no local WorldClim/CHELSA raster or sampled climate file was found; climate mismatch remains undefined	not_computed_no_local_raster_or_runtime
Arachis hypogaea	wfo:wfo-0000174378-2025-12	seed_panel		GBIF:14d5676a-2c54-4f94-9023-1e8dcd822aa0:da86174a-a605-43a4-a5e8-53d484152cd3	144	gbif_cc0_ccby_uncertainty50km_no_severe_geospatial_issue_v1	none_computed					not_computed	none_found_in_workspace	GBIF occurrence metadata cached locally with dataset keys/licenses; climate rasters not redistributed	post-filter occurrence coordinates may exist, but no local WorldClim/CHELSA raster or sampled climate file was found; climate mismatch remains undefined	not_computed_no_local_raster_or_runtime
