family	n_taxa_with_assertion	n_compounds	n_compound_classes	n_phytochemical_edges	n_ethnobotanical_edges	n_sources	n_bioactivity_classes
Apiaceae	37	958	43	1950	411	1	834
Amaryllidaceae	24	768	42	1293	467	1	711
Rutaceae	15	323	24	453	137	1	611
Malvaceae	28	250	24	412	377	1	616
Lamiaceae	22	248	22	410	171	1	528
Poaceae	20	275	30	376	127	2	597
Ranunculaceae	50	212	22	349	338	2	519
Berberidaceae	19	119	19	280	114	1	468
Bromeliaceae	1	163	22	169	53	1	411
Anacardiaceae	3	129	14	156	127	1	459
Meliaceae	14	120	11	147	96	1	339
Acoraceae	2	132	18	137	191	1	393
Moraceae	7	81	12	135	71	1	402
Arecaceae	15	67	12	126	158	1	273
Verbenaceae	6	125	13	125	16	1	299
Araceae	36	56	12	106	214	1	305
Lecythidaceae	7	93	8	93	28	1	367
Bixaceae	1	77	13	87	60	1	201
Oxalidaceae	6	62	13	79	66	1	273
Rosaceae	26	74	15	78	154	2	309
Araliaceae	6	65	11	66	77	1	145
Actinidiaceae	3	62	14	63	16	1	354
Amaranthaceae	22	51	10	61	245	1	296
Betulaceae	18	35	10	59	87	2	104
Alismataceae	2	55	12	55	26	1	349
Urticaceae	3	40	10	53	29	1	250
Zygophyllaceae	2	29	9	47	28	1	74
Simaroubaceae	2	46	12	46	46	1	209
Basellaceae	3	38	10	43	29	1	288
Plantaginaceae	4	43	7	43	27	1	82
Euphorbiaceae	24	37	12	37	143	1	139
Cucurbitaceae	2	30	7	30	40	1	177
Lauraceae	13	28	3	28	29	1	123
Lardizabalaceae	2	25	6	25	23	1	163
Acanthaceae	25	13	1	24	136	1	32
Rhamnaceae	10	2	1	23	22	1	12
Menispermaceae	9	20	5	20	36	1	26
Thymelaeaceae	2	18	1	18	31	1	11
Cornaceae	4	17	1	17	18	1	23
Convolvulaceae	9	9	0	13	39	1	1
Primulaceae	20	12	2	12	74	1	192
Polygalaceae	2	8	1	8	6	1	11
Dilleniaceae	2	2	1	4	0	1	12
Phyllanthaceae	13	2	1	4	48	1	12
Nartheciaceae	2	3	2	3	29	1	7
Bonnetiaceae	1	1	1	2	0	1	0
Balanopaceae	1	1	1	2	0	1	0
Lythraceae	2	1	1	1	10	1	0
Saururaceae	1	1	1	1	3	1	0
Garryaceae	1	1	1	1	2	1	19
Campanulaceae	4	0	0	0	30	1	0
Achatocarpaceae	1	0	0	0	1	1	0
Cactaceae	4	0	0	0	8	1	0
Bignoniaceae	6	0	0	0	31	1	0
Bataceae	1	0	0	0	9	1	0
Asteraceae	1	0	0	0	6	1	0
Anacampserotaceae	1	0	0	0	1	1	0
Ancistrocladaceae	2	0	0	0	5	1	0
Anisophylleaceae	2	0	0	0	7	1	0
Nyctaginaceae	4	0	0	0	10	1	0
Melastomataceae	2	0	0	0	2	1	0
Melanthiaceae	3	0	0	0	3	1	0
Loganiaceae	1	0	0	0	1	1	0
Linderniaceae	4	0	0	0	12	1	0
Liliaceae	2	0	0	0	22	1	0
Connaraceae	2	0	0	0	5	1	0
Centroplacaceae	1	0	0	0	1	1	0
Crassulaceae	1	0	0	0	1	1	0
Cannabaceae	1	0	0	0	4	1	0
Elatinaceae	1	0	0	0	2	1	0
Elaeocarpaceae	3	0	0	0	6	1	0
Francoaceae	1	0	0	0	1	1	0
Gentianaceae	2	0	0	0	2	1	0
Icacinaceae	2	0	0	0	2	1	0
Iridaceae	1	0	0	0	1	1	0
Rubiaceae	13	0	0	0	45	1	0
Polygonaceae	1	0	0	0	1	1	0
Passifloraceae	5	0	0	0	27	1	0
Opiliaceae	1	0	0	0	1	1	0
Pandanaceae	1	0	0	0	1	1	0
Orobanchaceae	1	0	0	0	4	1	0
Picramniaceae	1	0	0	0	1	1	0
Salvadoraceae	1	0	0	0	3	1	0
Styracaceae	1	0	0	0	1	1	0
Scrophulariaceae	1	0	0	0	11	1	0
Saxifragaceae	7	0	0	0	19	1	0
Sapotaceae	2	0	0	0	3	1	0
Torricelliaceae	1	0	0	0	4	1	0
Viburnaceae	1	0	0	0	1	1	0
Violaceae	1	0	0	0	9	1	0
Vitaceae	11	0	0	0	74	1	0
