accepted_taxon_key	n_assertions	n_sources	n_compounds	n_papers	dominant_source	dominant_source_share
wfo:wfo-0000000226-2025-12	12	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000001261-2025-12	6	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000002217-2025-12	1	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000002804-2025-12	20	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000003410-2025-12	14	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000003482-2025-12	93	1	73	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000003695-2025-12	4	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000004046-2025-12	1	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000004882-2025-12	1	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000005881-2025-12	6	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000005942-2025-12	4	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000007130-2025-12	1	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000007413-2025-12	4	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000009027-2025-12	1	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000009250-2025-12	6	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000010716-2025-12	6	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000010729-2025-12	5	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000011501-2025-12	3	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000012342-2025-12	12	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000013010-2025-12	20	1	10	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000014938-2025-12	102	1	43	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000015098-2025-12	7	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000015335-2025-12	1	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000017238-2025-12	2	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000018174-2025-12	4	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000019867-2025-12	3	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000019913-2025-12	2	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000022979-2025-12	6	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000023376-2025-12	2	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000024341-2025-12	31	1	18	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000024879-2025-12	2	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000027118-2025-12	21	1	17	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000028766-2025-12	2	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000028784-2025-12	6	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000030277-2025-12	6	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000032151-2025-12	8	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000032161-2025-12	9	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000032226-2025-12	4	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000032243-2025-12	5	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000032716-2025-12	1	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000032964-2025-12	21	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000033502-2025-12	5	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000033506-2025-12	6	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000033731-2025-12	20	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000033807-2025-12	7	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000034332-2025-12	1	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000034422-2025-12	5	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000034612-2025-12	5	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000035189-2025-12	10	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000036905-2025-12	1	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000038084-2025-12	1	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000039742-2025-12	1	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000039838-2025-12	2	1	2	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000041296-2025-12	6	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
